key	value
#_kv_fatigue_tables;0;db/_kv_fatigue_tables/_kv_fatigue	
charging	10.0000
climbing_walls	8.0000
combat	6.0000
fatigue_resistant_delta	-1.0000
gradient_shallow	7.0000
gradient_shallow_movement_multiplier	125.0000
gradient_steep	15.0000
gradient_steep_movement_multiplier	150.0000
gradient_very_steep	25.0000
gradient_very_steep_movement_multiplier	200.0000
idle	-12.0000
idle_in_building	-10.0000
idle_rain	-4.0000
idle_snow	-2.0000
limbering	6.0000
ready	-1.0000
reloading	2.0000
reloading_artillery	4.0000
running	7.0000
running_artillery_horse	4.0000
running_cavalry	2.0000
running_cavalry_light	2.0000
shooting	6.0000
threshold_active	4400.0000
threshold_exhausted	22000.0000
threshold_fresh	0.0000
threshold_max	28800.0000
threshold_tired	13200.0000
threshold_very_tired	17600.0000
threshold_winded	8800.0000
tight_formation	6.0000
under_fire_artillery	6.0000
under_fire_small_arms	5.0000
walking	-1.0000
walking_artillery	12.0000
walking_horse_artillery	2.0000
working	20.0000
