key	value
#_kv_morale_tables;0;db/_kv_morale_tables/_kv_morale	
army_destruction_alliance_strength_ratio	0.2000
army_destruction_enemy_strength_ratio	3.2000
artillery_near_miss_distance_squared	144.0000
blood_bonus_12	15.0000
blood_bonus_5	5.0000
blood_bonus_7	10.0000
broken_finish_base_timeout	300.0000
cavalry_effect_range	20.0000
charge_bonus	15.0000
charge_timeout	40.0000
defensive_fort	0.0000
enemy_control_land_defender_land_force_strength_modifier	100.0000
enemy_effect_range	80.0000
extended_casualties_penalty_10	-5.0000
extended_casualties_penalty_15	-10.0000
extended_casualties_penalty_33	-25.0000
extended_casualties_penalty_50	-50.0000
extended_casualties_penalty_80	-50.0000
fear_effect_range	40.0000
fighting_cavalry	-20.0000
general_aura_radius	75.0000
losing_combat	-15.0000
losing_combat_significantly	-25.0000
max_routing_enemies_to_consider	9.0000
max_routing_friends_to_consider	9.0000
minimium_increment_update_per_tick	1.0000
morale_base	30.0000
neighbour_effect_range	160.0000
open_flanks_effect_range	200.0000
percent_update_per_tick	0.1500
post_rally_no_rout_timer	45.0000
recent_casualties_penalty_10	0.0000
recent_casualties_penalty_15	0.0000
recent_casualties_penalty_33	0.0000
recent_casualties_penalty_50	0.0000
recent_casualties_penalty_6	0.0000
recent_casualties_shock_threshold	20.0000
routing_enemies_effect_weighting	1.2000
routing_friends_effect_weighting	2.5000
routing_unit_effect_distance_flank	100.0000
routing_unit_effect_distance_front	75.0000
surprise_timeout	200.0000
total_casualties_penalty_20	0.0000
total_casualties_penalty_40	-5.0000
total_casualties_penalty_60	-25.0000
total_casualties_penalty_80	-50.0000
total_casualties_penalty_90	-100.0000
ume_concerned_army_destruction	-75.0000
ume_concerned_attacked_by_artillery	-10.0000
ume_concerned_attacked_by_projectile	-10.0000
ume_concerned_captain_died_recently	-5.0000
ume_concerned_damaged_by_artillery	-15.0000
ume_concerned_elephants_frightened	-30.0000
ume_concerned_exhausted	-25.0000
ume_concerned_flanks_exposed_multiple	0.0000
ume_concerned_flanks_exposed_single	0.0000
ume_concerned_general_dead	-15.0000
ume_concerned_general_dead_ai	-10.0000
ume_concerned_general_died_recently	-30.0000
ume_concerned_general_died_recently_ai	-15.0000
ume_concerned_general_fled_recently	-30.0000
ume_concerned_general_fled_recently_ai	-15.0000
ume_concerned_horses_frightened	-20.0000
ume_concerned_night_battle_unprepared	-5.0000
ume_concerned_panic	-50.0000
ume_concerned_surprised	-30.0000
ume_concerned_tired	-5.0000
ume_concerned_under_friendly_fire	-5.0000
ume_concerned_unit_frightened	-15.0000
ume_concerned_very_tired	-10.0000
ume_encouraged_flanks_secure	5.0000
ume_encouraged_fortification	8.0000
ume_encouraged_fortification_compromised	3.0000
ume_encouraged_inspired	20.0000
ume_encouraged_on_the_hill	10.0000
ume_encouraged_settlement_plaza	15.0000
ume_inspiration_effect_base	5.0000
ums_broken_threshold_lower	-100.0000
ums_broken_threshold_upper	5.0000
ums_confident_threshold_lower	0.6500
ums_confident_threshold_upper	1.0000
ums_eager_threshold_lower	0.9000
ums_eager_threshold_upper	1.1000
ums_impetuous_threshold_lower	1.1000
ums_shaken_threshold_lower	15.0000
ums_shaken_threshold_upper	32.0000
ums_steady_threshold_lower	30.0000
ums_steady_threshold_upper	0.8000
ums_wavering_threshold_lower	0.0000
ums_wavering_threshold_upper	20.0000
warcry_effect_range	225.0000
was_attacked_in_flank	0.0000
was_attacked_in_front	0.0000
was_attacked_in_rear	-30.0000
waver_base_timeout	60.0000
winning_combat	10.0000
winning_combat_significantly	20.0000
winning_combat_slightly	5.0000
