key	value
#_kv_rules_tables;0;db/_kv_rules_tables/_kv_rules	
accuracy_modifier_fog	-10.0000
armour_melee_penetrating_divisor	4.0000
armour_melee_piercing_divisor	2.0000
armour_missile_penetrating_divisor	4.0000
armour_missile_piercing_divisor	2.0000
artillery_projectile_calibration_target_area	35.0000
attackpower_extreme_range_multplier	0.7000
attackpower_long_range_multiplier	0.8500
battle_camera_max_distance_from_army	200.0000
battlefield_zone_slot_threshold	60.0000
bayonet_melee_attack_bonus	0.0000
bayonet_ring_reload_time_penalty	0.0000
boarding_bonus_time	60.0000
boarding_melee_attack_bonus	10.0000
boarding_melee_defense_bonus	10.0000
boiling_oil_distance_multiplier	0.4000
bracing_calibration_ranks	8.0000
bracing_calibration_ranks_multiplier	3.0000
bracing_immovable_by_small_entity_mass	400.0000
bracing_max_multiplier_clamp	10.0000
break_off_ignore_collision_time	0.0000
break_off_speed_and_direction_checks	0.0000
broadsides_accuracy_modifier	0.1000
broadsides_damage_modifier	1.2500
building_ignition_rain_multiplier	0.2500
charge_cool_down_time	10.0000
climbing_ladder_fast_speed_modifier	1.5000
climbing_ladder_normal_speed_modifier	1.0000
climbing_walls_fall_chance_ashigaru	0.0120
climbing_walls_fall_chance_samurai	0.0080
climbing_walls_fast_speed_modifier	2.2500
climbing_walls_min_width	20.0000
climbing_walls_normal_speed_modifier	0.6000
collision_damage_armour_penetration_ratio	0.3000
collision_damage_default	20.0000
collision_damage_maximum	250.0000
collision_damage_modifier	3.0000
collision_damage_normaliser	0.7000
defense_melee_penetrating_divisor	4.0000
defense_melee_piercing_divisor	2.0000
defense_missile_penetrating_divisor	4.0000
defense_missile_piercing_divisor	2.0000
factor_attackdir_flankleft	15.0000
factor_attackdir_flankright	15.0000
factor_attackdir_front	0.0000
factor_attackdir_rear	35.0000
fire_damage_building_modifier	20.0000
fire_damage_deployable_modifier	5.0000
fire_damage_siege_vehicle_modifier	20.0000
fire_on_walls_accuracy_modifier	0.0000
fire_on_walls_range_modifier	0.0000
fire_on_walls_reload_modifier	0.0000
fire_rocket_projectile_calibration_target_area	20.0000
fire_volley_arrow_min_threshold	0.1000
fire_volley_gun_min_threshold	0.0250
fire_volley_max_aim_delay_training_ratio	0.1100
firing_drill_improved_platoon_fire_reload_modifier	50.0000
firing_drill_mass_fire_reload_modifier	0.0000
firing_drill_platoon_fire_reload_modifier	0.0000
firing_drill_rank_fire_reload_modifier	0.0000
hnbonus_bayonet	0.0000
hnbonus_melee_cavalry_v_infantry	5.0000
hnbonus_melee_cavalry_v_squareinfantry	0.0000
hnbonus_melee_loose_formation	10.0000
impact_reflection_attack_cooldown_timer	2.1000
impact_reflection_final_damage_modifier	1.0000
impact_reflection_knockback_chance	75.0000
impact_reflection_velocity_bonus_damage_modifier	3.0000
knockdown_getting_up_delay_armour_multiplier	0.0800
knockdown_getting_up_delay_max	4.0000
knockdown_getting_up_delay_min	2.0000
land_mortar_projectile_calibration_target_area	750.0000
last_stand_siege_attacker	15.0000
last_stand_siege_defender	-10.0000
magazine_explosion_interrupt_chance	15.0000
magazine_explosion_radius	25.0000
mangonel_projectile_calibration_target_area	40.0000
melee_attack_interval	0.7000
melee_charge_factor_power_divisor	1.0000
melee_defence_direction_penalty_coefficient_flank	0.5000
melee_defence_direction_penalty_coefficient_rear	0.0000
melee_defence_formed_attack_bonus	0.0000
melee_entrenchement_level_multiplier	3.0000
melee_environment_forest_multiplier	0.2000
melee_formed_charge_matched_combat_percentage	20.0000
melee_formed_vs_formed_matched_combat_percentage	40.0000
melee_formed_vs_free_matched_combat_percentage	60.0000
melee_height_damage_modifier_max_coefficient	0.3000
melee_height_damage_modifier_max_difference	1.0000
melee_hit_chance_base	40.0000
melee_hit_chance_max	75.0000
melee_hit_chance_min	15.0000
melee_hit_chance_normalisation_coefficient	1.0000
melee_hn_to_xholds_0_max	-6.0000
melee_hn_to_xholds_1_max	0.0000
melee_hn_to_xholds_2_max	6.0000
melee_hn_to_xholds_3_max	12.0000
melee_matched_combat_percentage	100.0000
melee_on_damage_effect_knockback_chance	0.7000
melee_on_damage_effect_knockback_threshold	0.3300
melee_on_damage_effect_knockdown_chance	0.0500
melee_on_damage_effect_knockdown_threshold	0.9000
melee_outnumbered_defence_penalty	1.0000
melee_secondary_attack_probability	1.0000
melee_xholds_knockback_0	70.0000
melee_xholds_knockback_1	90.0000
melee_xholds_knockback_2	110.0000
melee_xholds_knockback_3	150.0000
melee_xholds_knockback_4	200.0000
melee_xholds_knockdown_0	30.0000
melee_xholds_knockdown_1	50.0000
melee_xholds_knockdown_2	60.0000
melee_xholds_knockdown_3	80.0000
melee_xholds_knockdown_4	100.0000
melee_xholds_stepback_0	70.0000
melee_xholds_stepback_1	90.0000
melee_xholds_stepback_2	130.0000
melee_xholds_stepback_3	185.0000
melee_xholds_stepback_4	270.0000
misfire_cannon_flintlock	0.0000
misfire_cannon_matchlock	0.0000
misfire_musket_flintlock	0.0000
misfire_musket_matchlock	0.0000
misfire_musket_percussion_cap	0.0000
missile_armour_penetrating_coefficient	0.2500
missile_armour_piercing_coefficient	0.5000
missile_cover_factor_excellent	0.0000
missile_cover_factor_good	0.0000
missile_cover_factor_none	0.0000
missile_cover_factor_slight	0.0000
missile_cover_factor_some	0.0000
missile_distance_for_half_chance_hit	50.0000
missile_distance_for_half_chance_hit_artillery	300.0000
missile_distance_for_half_chance_hit_naval	300.0000
missile_extreme_range_lethality_modifier	120.0000
missile_heavy_fog_accuracy_multiplier	1.0000
missile_heavy_rain_accuracy_multiplier	1.0000
missile_heavy_snow_accuracy_multiplier	1.0000
missile_height_damage_modifier_max_coefficient	0.3000
missile_height_damage_modifier_max_difference	40.0000
missile_hn_to_xholds_0_max	-6.0000
missile_hn_to_xholds_1_max	0.0000
missile_hn_to_xholds_2_max	6.0000
missile_hn_to_xholds_3_max	12.0000
missile_lethality_coefficient_effective_range	40.0000
missile_lethality_coefficient_extreme_range	120.0000
missile_light_fog_accuracy_multiplier	1.0000
missile_light_rain_accuracy_multiplier	1.0000
missile_light_snow_accuracy_multiplier	1.0000
missile_medium_fog_accuracy_multiplier	1.0000
missile_medium_rain_accuracy_multiplier	1.0000
missile_medium_snow_accuracy_multiplier	1.0000
missile_range_lethality_modifier	40.0000
missile_saving_bonus_base	20.0000
missile_saving_bonus_coefficient	0.5000
missile_shield_piercing_coefficient	0.5000
missile_target_in_cover_penalty	0.2000
missile_xholds_knockdown_0	35.0000
missile_xholds_knockdown_1	40.0000
missile_xholds_knockdown_2	47.0000
missile_xholds_knockdown_3	55.0000
missile_xholds_knockdown_4	65.0000
naval_incendiary_projectile_chance_high	40.0000
naval_incendiary_projectile_chance_low	5.0000
naval_incendiary_projectile_chance_medium	15.0000
naval_incendiary_projectile_chance_very_high	80.0000
naval_incendiary_projectile_chance_very_low	0.1000
naval_projectile_calibration_target_area	9.0000
pike_attack_zone_cosine_angle	0.9450
pike_attack_zone_depth	1.0000
pike_lower_bearing_tolerance	0.7854
pike_lower_delay_combat	20.0000
pike_lower_delay_turn_rate_multiplier	1.5000
pike_wall_move_speed_modifier	0.7500
projectile_calibration_target_area	2.0000
projectile_damage_accuracy_multiplier	0.2500
projectile_damage_armour_divisor	0.5000
projectile_damage_base_multiplier	60.0000
projectile_damage_defense_divisor	4.0000
projectile_damage_distance_multiplier	2.0000
projectile_damage_shield_divisor	1.0000
projectile_environment_forest_multiplier	0.2000
projectile_incendiary_chance_high	0.0030
projectile_incendiary_chance_low	0.0010
projectile_incendiary_chance_medium	0.0020
relative_melee_experience_multiplier	2.0000
relative_melee_height_delta_divisor	0.0400
reload_rate_bow_modifier_rain	0.0000
reload_rate_bow_modifier_snow	0.0000
reload_rate_gun_modifier_rain	-6.0000
reload_rate_gun_modifier_snow	0.0000
ship_bonus_close_mod	1.0000
ship_bonus_range	0.3500
ship_chance_of_fire_rain_multiplier	0.5000
ship_combustion_rain_multiplier	2.0000
ship_on_fire_combustion_modifier	0.5000
ship_on_fire_hit_points_per_second_multiplier	0.0100
ship_penalty_far_mod	0.9000
ship_penalty_range	0.8000
ship_repair_max_percentage	0.7500
ship_repair_percentage_per_update	0.1250
ship_repair_rate	4.0000
tickets_multiple_victory_points	150.0000
tickets_single_victory_point	150.0000
unit_max_drag_width	38.0000
unit_max_drag_width_loose_formation	60.0000
