key	outcome	action_result_key	value	effect_record	effect_scope_record	opportune_failure_weighting	authority_value_coefficient	subterfuge_value_coefficient	zeal_value_coefficient
#action_results_additional_outcomes_tables;3;db/action_results_additional_outcomes_tables/action_results_additional_outcomes									
1	agent_wounded	agent_action_all_failure_critical_hinder_character	1.0000				0.0000	0.0000	0.0000
10	target_agent_converted	agent_action_all_hinder_agent_success_critical	0.0000				0.0000	0.0000	0.0000
100	target_province_public_order_unhappiness_disaffection	agent_action_dignitary_hinder_settlement_subterfuge_success_critical	-30.0000	rom_building_gdp_mod_trade_all	regions_in_this_province		0.0000	0.0000	0.0000
1000	target_agent_wounded	champion_action_hinder_character_success	0.0000			0	0.0000	0.0000	0.0000
1001	target_agent_killed	champion_action_hinder_character_success_critical	0.0000			0	0.0000	0.0000	0.0000
1002	agent_action_zero_cost	champion_action_failure_opportune_hinder_character	0.0000			0	0.0000	0.0000	0.0000
1004	agent_additional_experience	champion_action_failure_opportune_hinder_character	0.0000			0	0.0000	0.0000	0.0000
1005	target_steal_ancillary	champion_action_failure_opportune_hinder_character	0.0000			0	0.0000	0.0000	0.0000
1006	target_army_fervour_attribute_decrease	champion_action_failure_opportune_hinder_character	0.0000	rom_force_campaign_mod_movement_range	this_force_general	0	0.0000	0.0000	-0.5000
1007	target_army_fervour_attribute_decrease	champion_action_failure_hinder_character	0.0000	rom_force_campaign_mod_movement_range	this_force_general	0	0.0000	0.0000	-0.5000
1008	target_army_fervour_attribute_decrease	champion_action_failure_hinder_character	0.0000	age_agent_movement_mod	this_agent	0	0.0000	0.0000	-0.5000
1009	target_army_fervour_attribute_decrease	champion_action_failure_opportune_hinder_character	0.0000	age_agent_movement_mod	this_agent	0	0.0000	0.0000	-0.5000
101	agent_action_zero_cost	agent_action_all_failure_opportune_hinder_province	1.0000			2	0.0000	0.0000	0.0000
1010	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_campaign_mod_movement_range	this_agent_parent_army	0	0.0000	0.0000	0.5000
1011	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_morale	this_agent_parent_army	0	0.0000	0.0000	-0.5000
1012	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_building_recruitment_points	this_province	0	0.0000	0.0000	0.0000
1013	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_building_unit_training_morale_all	this_province	0	0.0000	0.0000	0.5000
1014	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_campaign_mod_raid_income	this_agent_parent_army	0	0.0000	0.0000	1.0000
