key	actor_effect_bundle	target_effect_bundle
#action_results_tables;0;db/action_results_tables/action_results		
agent_action_all_failure_critical_hinder_agent	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_character
agent_action_all_failure_critical_hinder_army	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_army
agent_action_all_failure_critical_hinder_character	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_character
agent_action_all_failure_critical_hinder_province	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_province
agent_action_all_failure_hinder_agent	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_character
agent_action_all_failure_hinder_army	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_army
agent_action_all_failure_hinder_character	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_character
agent_action_all_failure_hinder_province	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_province
agent_action_all_failure_opportune_hinder_agent	rom_agent_action_all_failure	rom_agent_action_all_failure_target_character
agent_action_all_failure_opportune_hinder_army	rom_agent_action_all_failure	rom_agent_action_all_failure_target_army
agent_action_all_failure_opportune_hinder_character	rom_agent_action_all_failure	rom_agent_action_all_failure_target_character
agent_action_all_failure_opportune_hinder_province	rom_agent_action_all_failure	rom_agent_action_all_failure_target_province
agent_action_all_hinder_agent_authority_success	rom_agent_action_all_hinder_agent_success_self	rom_agent_action_all_hinder_agent_authority_success
agent_action_all_hinder_agent_subterfuge_success	rom_agent_action_all_hinder_agent_success_self	rom_agent_action_all_hinder_agent_subterfuge_success
agent_action_all_hinder_agent_success_critical	rom_agent_action_all_hinder_agent_critical_success_self	rom_agent_action_all_agent_manipulated
agent_action_all_hinder_agent_zeal_success	rom_agent_action_all_hinder_agent_success_self	rom_agent_action_all_hinder_agent_zeal_success
agent_action_all_hinder_character_success	rom_agent_action_all_hinder_character_success_self	rom_agent_action_all_hinder_character_success_self
agent_action_all_hinder_character_success_critical	rom_agent_action_all_hinder_character_critical_success_self	rom_agent_action_all_hinder_character_critical_success_self
agent_action_champion_assist_army_zeal_cannot_fail	rom_agent_action_champion_assist_army_zeal_cannot_fail_self	rom_agent_action_champion_assist_army_zeal_cannot_fail
agent_action_champion_assist_province_zeal_cannot_fail	rom_agent_action_champion_assist_province_zeal_cannot_fail_self	rom_agent_action_champion_assist_province_zeal_cannot_fail
agent_action_champion_hinder_army_authority_success	rom_agent_action_champion_hinder_army_authority_success_self	rom_agent_action_champion_hinder_army_authority_success
agent_action_champion_hinder_army_authority_success_critical	rom_agent_action_champion_hinder_army_authority_success_self	rom_agent_action_champion_hinder_army_subterfuge_success
agent_action_champion_hinder_army_subterfuge_success	rom_agent_action_champion_hinder_army_subterfuge_success_self	rom_agent_action_champion_hinder_army_authority_success
agent_action_champion_hinder_army_subterfuge_success_critical	rom_agent_action_champion_hinder_army_subterfuge_success_self	rom_agent_action_champion_hinder_army_subterfuge_success
agent_action_champion_hinder_army_zeal_success	rom_agent_action_champion_hinder_army_zeal_success_self	rom_agent_action_champion_hinder_army_zeal_success
agent_action_champion_hinder_army_zeal_success_critical	rom_agent_action_champion_hinder_army_zeal_success_self	rom_agent_action_champion_hinder_army_zeal_success
agent_action_champion_hinder_province_zeal_cannot_fail	rom_agent_action_champion_hinder_province_zeal_cannot_fail_self	rom_agent_action_champion_hinder_province_zeal_cannot_fail
agent_action_champion_hinder_settlement_authority_success	rom_agent_action_champion_hinder_settlement_authority_success_self	rom_agent_action_champion_hinder_settlement_authority_success
agent_action_champion_hinder_settlement_authority_success_critical	rom_agent_action_champion_hinder_settlement_authority_success_self	rom_agent_action_champion_hinder_settlement_authority_success
agent_action_champion_hinder_settlement_subterfuge_success	rom_agent_action_champion_hinder_settlement_subterfuge_success_self	rom_agent_action_champion_hinder_settlement_subterfuge_success
agent_action_champion_hinder_settlement_subterfuge_success_critical	rom_agent_action_champion_hinder_settlement_subterfuge_success_self	rom_agent_action_champion_hinder_settlement_subterfuge_success
agent_action_champion_hinder_settlement_zeal_success	rom_agent_action_champion_hinder_settlement_zeal_success_self	rom_agent_action_champion_hinder_settlement_zeal_success
agent_action_champion_hinder_settlement_zeal_success_critical	rom_agent_action_champion_hinder_settlement_zeal_success_self	rom_agent_action_champion_hinder_settlement_zeal_success
agent_action_champion_passive_ability_zeal_cannot_fail	rom_agent_action_champion_passive_ability_zeal_cannot_fail	rom_agent_action_all_hinder_agent_success_self
agent_action_dignitary_assist_army_authority_cannot_fail	rom_agent_action_dignitary_assist_army_authority_cannot_fail_self	rom_agent_action_dignitary_assist_army_authority_cannot_fail
agent_action_dignitary_assist_province_authority_cannot_fail	rom_agent_action_dignitary_assist_province_authority_cannot_fail_self	rom_agent_action_dignitary_assist_province_authority_cannot_fail
agent_action_dignitary_hinder_army_authority_success	rom_agent_action_dignitary_hinder_army_authority_success_self	rom_agent_action_dignitary_hinder_army_authority_success
agent_action_dignitary_hinder_army_authority_success_critical	rom_agent_action_dignitary_hinder_army_authority_success_self_critical	rom_agent_action_dignitary_hinder_army_authority_success_critical
agent_action_dignitary_hinder_army_subterfuge_success	rom_agent_action_dignitary_hinder_army_subterfuge_success_self	rom_agent_action_dignitary_hinder_army_authority_success
agent_action_dignitary_hinder_army_subterfuge_success_critical	rom_agent_action_dignitary_hinder_army_subterfuge_success_self	rom_agent_action_dignitary_hinder_army_subterfuge_success
agent_action_dignitary_hinder_army_zeal_success	rom_agent_action_dignitary_hinder_army_zeal_success_self	rom_agent_action_dignitary_hinder_army_zeal_success
agent_action_dignitary_hinder_army_zeal_success_critical	rom_agent_action_dignitary_hinder_army_zeal_success_self_critical	rom_agent_action_dignitary_hinder_army_zeal_success_critical
agent_action_dignitary_hinder_character_subterfuge_success	rom_agent_action_dignitary_hinder_character_subterfuge_success_self	rom_agent_action_dignitary_hinder_character_subterfuge_success_self
agent_action_dignitary_hinder_character_subterfuge_success_critical	rom_agent_action_dignitary_hinder_character_subterfuge_critical_success_self	rom_agent_action_dignitary_hinder_character_subterfuge_critical_success_self
agent_action_dignitary_hinder_character_zeal_success	rom_agent_action_dignitary_hinder_character_zeal_success_self	rom_agent_action_dignitary_hinder_character_zeal_success
agent_action_dignitary_hinder_character_zeal_success_critical	rom_agent_action_dignitary_hinder_character_zeal_success_self	rom_agent_action_dignitary_hinder_character_zeal_success
agent_action_dignitary_hinder_province_authority_cannot_fail	rom_agent_action_dignitary_hinder_province_authority_cannot_fail_self	rom_agent_action_dignitary_hinder_province_authority_cannot_fail
agent_action_dignitary_hinder_settlement_authority_success	rom_agent_action_dignitary_hinder_settlement_authority_success_self	rom_agent_action_dignitary_hinder_settlement_authority_success
agent_action_dignitary_hinder_settlement_authority_success_critical	rom_agent_action_dignitary_hinder_settlement_authority_success_self	rom_agent_action_dignitary_hinder_settlement_authority_success
agent_action_dignitary_hinder_settlement_subterfuge_success	rom_agent_action_dignitary_hinder_settlement_subterfuge_success_self	rom_agent_action_dignitary_hinder_settlement_subterfuge_success
agent_action_dignitary_hinder_settlement_subterfuge_success_critical	rom_agent_action_dignitary_hinder_settlement_subterfuge_success_self	rom_agent_action_dignitary_hinder_settlement_subterfuge_success
agent_action_dignitary_hinder_settlement_zeal_success	rom_agent_action_dignitary_hinder_settlement_zeal_success_self	rom_agent_action_dignitary_hinder_settlement_zeal_success
agent_action_dignitary_hinder_settlement_zeal_success_critical	rom_agent_action_dignitary_hinder_settlement_zeal_success_self	rom_agent_action_dignitary_hinder_settlement_zeal_success
agent_action_dignitary_passive_ability_authority_cannot_fail	rom_agent_action_dignitary_passive_ability_authority_cannot_fail	rom_agent_action_all_hinder_agent_success_self
agent_action_spy_assist_army_subterfuge_cannot_fail	rom_agent_action_spy_assist_army_subterfuge_cannot_fail_self	rom_agent_action_spy_assist_army_subterfuge_cannot_fail
agent_action_spy_assist_province_subterfuge_cannot_fail	rom_agent_action_spy_assist_province_subterfuge_cannot_fail_self	rom_agent_action_spy_assist_province_subterfuge_cannot_fail
agent_action_spy_hinder_agent_subterfuge_success	age_agent_action_spy_steal_subterfuge_success_self	age_agent_action_spy_steal_subterfuge_success
agent_action_spy_hinder_agent_subterfuge_success_critical	age_agent_action_spy_steal_subterfuge_success_self	age_agent_action_spy_steal_subterfuge_success
agent_action_spy_hinder_agent_zeal_success	agent_action_spy_hinder_agent_zeal_success_self	agent_action_spy_hinder_agent_zeal_success
agent_action_spy_hinder_agent_zeal_success_critical	agent_action_spy_hinder_agent_zeal_success_self	agent_action_spy_hinder_agent_zeal_success
agent_action_spy_hinder_army_authority_success	rom_agent_action_spy_hinder_army_authority_success_self	rom_agent_action_spy_hinder_army_authority_success
agent_action_spy_hinder_army_authority_success_critical	rom_agent_action_spy_hinder_army_authority_success_self	rom_agent_action_spy_hinder_army_authority_success
agent_action_spy_hinder_army_subterfuge_success	rom_agent_action_spy_hinder_army_subterfuge_success_self	rom_agent_action_spy_hinder_army_subterfuge_success
agent_action_spy_hinder_army_subterfuge_success_critical	rom_agent_action_spy_hinder_army_subterfuge_success_self	rom_agent_action_spy_hinder_army_subterfuge_success_critical
agent_action_spy_hinder_army_zeal_success	rom_agent_action_spy_hinder_army_zeal_success_self	rom_agent_action_spy_hinder_army_authority_success
agent_action_spy_hinder_army_zeal_success_critical	rom_agent_action_spy_hinder_army_zeal_success_self	rom_agent_action_spy_hinder_army_subterfuge_success_critical
agent_action_spy_hinder_province_subterfuge_cannot_fail	rom_agent_action_spy_hinder_province_subterfuge_cannot_fail_self	rom_agent_action_spy_hinder_province_subterfuge_cannot_fail
agent_action_spy_hinder_settlement_authority_success	rom_agent_action_spy_hinder_settlement_authority_success_self	rom_agent_action_spy_hinder_settlement_authority_success
agent_action_spy_hinder_settlement_authority_success_critical	rom_agent_action_spy_hinder_settlement_authority_success_self	rom_agent_action_spy_hinder_settlement_authority_success
agent_action_spy_hinder_settlement_subterfuge_success	rom_agent_action_spy_hinder_settlement_subterfuge_success_self	rom_agent_action_spy_hinder_settlement_subterfuge_success
agent_action_spy_hinder_settlement_subterfuge_success_critical	rom_agent_action_spy_hinder_settlement_subterfuge_success_self	rom_agent_action_spy_hinder_settlement_subterfuge_success
agent_action_spy_hinder_settlement_zeal_success	rom_agent_action_spy_hinder_settlement_zeal_success_self	rom_agent_action_spy_hinder_settlement_zeal_success
agent_action_spy_hinder_settlement_zeal_success_critical	rom_agent_action_spy_hinder_settlement_zeal_success_self	rom_agent_action_spy_hinder_settlement_zeal_success
agent_action_spy_passive_ability_subterfuge_cannot_fail	rom_agent_action_spy_passive_ability_subterfuge_cannot_fail	rom_agent_action_all_hinder_agent_success_self
champion_action_failure_hinder_character	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_character
champion_action_failure_opportune_hinder_character	rom_agent_action_all_failure_compromised	rom_agent_action_all_failure_target_character
champion_action_hinder_character_success	rom_agent_action_all_hinder_character_success_self	rom_agent_action_all_hinder_character_success_self
champion_action_hinder_character_success_critical	rom_agent_action_all_hinder_character_critical_success_self	rom_agent_action_all_hinder_character_critical_success_self
dummy_cannot_fail	rom_dummy_effect_bundle	rom_dummy_effect_bundle
dummy_failure	rom_dummy_effect_bundle	rom_dummy_effect_bundle
dummy_failure_critical	rom_dummy_effect_bundle	rom_dummy_effect_bundle
dummy_failure_opportune	rom_dummy_effect_bundle	rom_dummy_effect_bundle
dummy_success	rom_dummy_effect_bundle	rom_dummy_effect_bundle
dummy_success_critical	rom_dummy_effect_bundle	rom_dummy_effect_bundle
inv_champion_action_all_trap_character_success	age_agent_action_all_trap_agent_success_self	age_agent_action_all_trap_agent_subterfuge_success
inv_champion_action_all_trap_character_success_critical	age_agent_action_all_trap_agent_success_self	age_agent_action_all_trap_agent_subterfuge_success
qq	age_agent_action_all_trap_agent_success_self	age_agent_action_all_trap_agent_subterfuge_success
