key	advice_thread	advice_thread_level	points_needed	game_area	category	sub_category	max_repeat_count	repeat_interval	pause_battle	priority_level	high_verbosity_only	locatable	parameter	on_display_script	on_click_script	suppressible	uninhibitable	audio_clip	advisor_name	for_loading_screen	movie_link
#advice_levels_tables;3;db/advice_levels_tables/advice_levels																					
-1002927119	1066_Campaign_Advice_Fleet_Selected_Thread	2	2	Campaign	Characters	Commanders	1	0	false	2	false	false	none			false	false	n	campaign_advisor	true	
-1009457400	0018_Battle_Tip_Outflanking_With_Cavalry_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1030015586	0101_Battle_Advice_Guard_Mode_Button_Thread	1	1	Battle	UI	Buttons	1	0	false	1	false	false	none			false	false	n	battle_advisor	false	
-1060140303	0040_Battle_Tip_Feigning_A_Rout_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1062679364	1114_Campaign_Advice_Keyboard_Shortcuts_Thread	2	2	Campaign	UI	Keyboard	1	0	false	2	true	false	none			false	false	n	campaign_advisor	true	
-1070740040	1167_Campaign_Advice_Warning_Ally_Betrayal_Thread	1	1	Campaign	Warnings	Diplomacy	1	0	false	1	true	false	none			false	false	n	campaign_advisor	false	
-1076388291	0061_Battle_Tip_Skirmish_Mode_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-109318922	0070_Battle_Tip_Kill_Their_General_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1241185070	1082_Campaign_Advice_Unit_Right_Click_Thread	1	1	Campaign	UI	Units	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	
-1243953931	1014b_Campaign_Advice_UI_Diplomacy_Panel_Thread	1	1	Campaign	UI	Buttons	1	0	false	1	false	false	none			false	false	n	campaign_advisor	false	/tutorial/r2_videos_diplomacy_MilitaryAlliance
-1246754910	0055_Battle_Tip_Missile_Cavalry_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
-1282356525	0036_Battle_Tip_Light_Cavalry_Tactics_Thread	1	1	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
-1341063580	0036_Battle_Tip_Light_Cavalry_Tactics_Thread	2	2	Battle	Units	Tactics	1	0	false	3	false	false	none			false	false	n	not applicable	true	
-1381776408	1115_Campaign_Advice_Camera_Controls_Thread	1	1	Campaign	UI	Camera	1	0	false	1	true	false	none			false	false	n	campaign_advisor	true	
-1394403499	1104_Campaign_Advice_Undeveloped_Port_Thread	1	5	Campaign	Warnings	Construction	0	5	false	2	true	true	region			false	false	n	campaign_advisor	false	
-1395907252	1138_Campaign_Advice_Warning_Shortages_Thread	1	1	Campaign	Warnings	Population	0	10	false	1	false	true	region			false	false	n	campaign_advisor	false	
-1442955838	0077_Battle_Tip_Unit_Morale_Thread	1	1	Battle	Units	Morale	1	0	false	3	true	false	none			false	false	n	not applicable	true	
-1467085177	0042_Battle_Tip_Study_Their_Lines_Thread	1	1	Battle	Units	Tactics	1	0	false	3	true	false	none			false	false	n	not applicable	true	
