key	critical_failure	critical_success	failure	oportune_failure	success
#agent_action_message_events_tables;0;db/agent_action_message_events_tables/agent_action_message_events					
champion_theirs_female_assist_army_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_theirs_female_assist_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
champion_theirs_female_hinder_agent_authority	battlemap_enemy_general_wounded	agent_their_champion_steal_character_authority_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_champion_steal_character_authority_stop
champion_theirs_female_hinder_agent_subterfuge	battlemap_enemy_general_wounded	agent_their_champion_steal_character_subterfuge_success	age_agent_theirs_trap_fail	age_agent_theirs_trap_fail	agent_their_champion_steal_character_subterfuge_success
champion_theirs_female_hinder_agent_zeal	battlemap_enemy_general_wounded	agent_their_champion_steal_character_zeal_success	agent_their_any_steal_character_fail	agent_their_any_steal_character_fail	agent_their_champion_steal_character_subterfuge_stop
champion_theirs_female_hinder_army_authority	battlemap_enemy_general_wounded	agent_their_champion_anti_army_authority_success	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_authority_success
champion_theirs_female_hinder_army_subterfuge	battlemap_enemy_general_wounded	agent_their_champion_anti_army_subterfuge_success	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_subterfuge_success
champion_theirs_female_hinder_army_zeal	battlemap_enemy_general_wounded	agent_their_champion_anti_army_zeal_success	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_fail	agent_their_champion_anti_army_zeal_success
champion_theirs_female_hinder_character_authority	battlemap_enemy_general_wounded	agent_their_champion_kill_character_authority_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_authority_wound
champion_theirs_female_hinder_character_subterfuge	battlemap_enemy_general_wounded	agent_their_champion_kill_character_subterfuge_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_subterfuge_wound
champion_theirs_female_hinder_character_zeal	battlemap_enemy_general_wounded	agent_their_champion_kill_character_zeal_success	agent_their_any_kill_character_fail	agent_their_any_kill_character_fail	agent_their_champion_kill_character_zeal_wound
champion_theirs_female_hinder_province_zeal	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event	agent_action_dummy_event
