ability	agent	attribute	cannot_fail	critical_failure	critical_success	failure	opportune_failure	success	localised_action_name	localised_action_description	your_message_events_male	your_message_events_female	their_message_events_male	their_message_events_female	enabled_by_effect
#agent_actions_tables;4;db/agent_actions_tables/agent_actions															
assist_army	champion	zeal	agent_action_champion_assist_army_zeal_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Military Training	Progressively [[col:green]]increases the experience[[/col]] of all units in parent army. (authority-based)	champion_yours_male_assist_army_zeal	champion_yours_female_assist_army_zeal	champion_theirs_male_assist_army_zeal	champion_theirs_female_assist_army_zeal	
assist_province	champion	zeal	agent_action_champion_assist_province_zeal_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Military Fervour	Brings word of glorious battles and great victories, thereby [[col:green]]inspiring the local populace[[/col]]. (authority-based)	champion_yours_male_assist_province_zeal	champion_yours_female_assist_province_zeal	champion_theirs_male_assist_province_zeal	champion_theirs_female_assist_province_zeal	
hinder_agent	champion	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_agent_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_agent_authority_success	Persuasion	Manipulates the target agent into [[col:green]]joining your cause[[/col]] by appealing to their sense of reason.	champion_yours_male_hinder_agent_authority	champion_yours_female_hinder_agent_authority	champion_theirs_male_hinder_agent_authority	champion_theirs_female_hinder_agent_authority	age_dummy_hide_action
hinder_agent	champion	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	inv_champion_action_all_trap_character_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	inv_champion_action_all_trap_character_success	Trap	Traps the target agent, reducing their [[col:green]]movement range[[/col]] and [[col:green]]making them vulnerable to agent actions[[/col]]. (cunning-based)	champion_yours_male_hinder_agent_subterfuge	champion_yours_female_hinder_agent_subterfuge	champion_theirs_male_hinder_agent_subterfuge	champion_theirs_female_hinder_agent_subterfuge	age_champion_unlock_action_trap
hinder_agent	champion	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_agent_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_agent_zeal_success	Coercion	Manipulates the target agent into [[col:green]]joining your cause[[/col]] by exploiting their fears and weaknesses.	champion_yours_male_hinder_agent_zeal	champion_yours_female_hinder_agent_zeal	champion_theirs_male_hinder_agent_zeal	champion_theirs_female_hinder_agent_zeal	age_dummy_hide_action
hinder_army	champion	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_champion_hinder_army_authority_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_champion_hinder_army_authority_success	Show of Force	[[col:green]]Reduces the morale and charge bonus[[/col]] of all units in the target army.	champion_yours_male_hinder_army_authority	champion_yours_female_hinder_army_authority	champion_theirs_male_hinder_army_authority	champion_theirs_female_hinder_army_authority	age_dummy_hide_action
hinder_army	champion	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_champion_hinder_army_subterfuge_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_champion_hinder_army_subterfuge_success	Harass	Causes [[col:green]]casualties[[/col]] within a single unit of an enemy army. (cunning-based)	champion_yours_male_hinder_army_subterfuge	champion_yours_female_hinder_army_subterfuge	champion_theirs_male_hinder_army_subterfuge	champion_theirs_female_hinder_army_subterfuge	age_agent_unlock_action_harass
hinder_army	champion	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_champion_hinder_army_zeal_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_champion_hinder_army_zeal_success	Demoralise Army	[[col:green]]Reduces the morale[[/col]] of all units in the target army. (zeal-based)	champion_yours_male_hinder_army_zeal	champion_yours_female_hinder_army_zeal	champion_theirs_male_hinder_army_zeal	champion_theirs_female_hinder_army_zeal	age_agent_champion_unlock_demoralize
hinder_character	champion	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_character_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_character_success	Single Combat	Challenges the target character to a 'fair and honourable' [[col:green]]fight to the death[[/col]].	champion_yours_male_hinder_character_authority	champion_yours_female_hinder_character_authority	champion_theirs_male_hinder_character_authority	champion_theirs_female_hinder_character_authority	age_dummy_hide_action
