agent	faction	gender	icon_path
#agent_string_faction_overrides_tables;1;db/agent_string_faction_overrides_tables/agent_string_faction_overrides			
champion	inv_rome_civil_war	m	inv_roman_champion_male
champion	inv_rome_secession	m	inv_roman_champion_male
champion	inv_rome	m	inv_roman_champion_male
champion	rom_gerrhaea	m	afroarabian_champion_male
champion	rom_himyar	m	afroarabian_champion_male
champion	rom_ma_in	m	afroarabian_champion_male
champion	rom_mascat	m	afroarabian_champion_male
champion	rom_nabatea	m	afroarabian_champion_male
champion	rom_qidri	m	afroarabian_champion_male
champion	rom_saba	m	afroarabian_champion_male
dignitary	rom_celtici	f	druidic_dignatary_female
dignitary	rom_celtici	m	druidic_dignatary_male
dignitary	rom_galleaci	f	druidic_dignatary_female
dignitary	rom_galleaci	m	druidic_dignatary_male
dignitary	rom_gerrhaea	m	afroarabian_dignitary_male
dignitary	rom_himyar	m	afroarabian_dignitary_male
dignitary	rom_ma_in	m	afroarabian_dignitary_male
dignitary	rom_mascat	m	afroarabian_dignitary_male
dignitary	rom_nabatea	m	afroarabian_dignitary_male
dignitary	rom_qidri	m	afroarabian_dignitary_male
dignitary	rom_saba	m	afroarabian_dignitary_male
dignitary	rom_turdetani	f	druidic_dignatary_female
dignitary	rom_turdetani	m	druidic_dignatary_male
spy	rom_gerrhaea	f	scythian_spy_female
spy	rom_gerrhaea	m	parthian_spy_male
spy	rom_himyar	f	scythian_spy_female
spy	rom_himyar	m	parthian_spy_male
spy	rom_ma_in	f	scythian_spy_female
spy	rom_ma_in	m	parthian_spy_male
spy	rom_mascat	f	scythian_spy_female
spy	rom_mascat	m	parthian_spy_male
spy	rom_nabatea	f	scythian_spy_female
spy	rom_nabatea	m	parthian_spy_male
spy	rom_qidri	f	scythian_spy_female
spy	rom_qidri	m	parthian_spy_male
spy	rom_saba	f	scythian_spy_female
spy	rom_saba	m	parthian_spy_male
