agent	gender	subculture	icon_path
#agent_string_subculture_overrides_tables;1;db/agent_string_subculture_overrides_tables/agent_string_subculture_overrides			
champion	m	sc_rom_african_arabian	afroarabian_champion_male
champion	m	sc_rom_barb_east	parthian_champion_male
champion	f	sc_rom_british	briton_champion_female
champion	m	sc_rom_british	briton_champion_male
champion	m	sc_rom_carthaginian	afroarabian_champion_male
champion	f	sc_rom_celtiberian	briton_champion_female
champion	m	sc_rom_celtiberian	gaul_champion_male
champion	f	sc_rom_celtic	briton_champion_female
champion	m	sc_rom_celtic	gaul_champion_male
champion	m	sc_rom_eastern	parthian_champion_male
champion	m	sc_rom_egyptian	egyptian_champion_male
champion	m	sc_rom_etruscan	inv_etruscan_champion_male
champion	f	sc_rom_gaul	briton_champion_female
champion	m	sc_rom_gaul	gaul_champion_male
champion	f	sc_rom_germanic	german_champion_female
champion	m	sc_rom_germanic	german_champion_male
champion	m	sc_rom_greek	greek_champion_male
champion	m	sc_rom_italic	inv_italian_champion_male
champion	m	sc_rom_numidian	afroarabian_champion_male
champion	m	sc_rom_nuragic	inv_nuragic_champion_male
champion	m	sc_rom_parthian	parthian_champion_male
champion	m	sc_rom_pontic	greek_champion_male
champion	m	sc_rom_roman	roman_champion_male
dignitary	m	sc_rom_african_arabian	afroarabian_dignitary_male
dignitary	m	sc_rom_barb_east	eastern_dignitary_male
dignitary	f	sc_rom_british	druidic_dignatary_female
dignitary	m	sc_rom_british	druidic_dignatary_male
dignitary	m	sc_rom_carthaginian	eastern_dignitary_male
dignitary	f	sc_rom_celtiberian	barbarian_dignitary_female.png
dignitary	m	sc_rom_celtiberian	briton_dignatary_male
dignitary	f	sc_rom_celtic	barbarian_dignitary_female
dignitary	m	sc_rom_celtic	briton_dignatary_male
dignitary	m	sc_rom_eastern	eastern_dignitary_male
dignitary	f	sc_rom_egyptian	egyptian_dignatary_female
dignitary	m	sc_rom_etruscan	hellenic_dignatary_male
dignitary	f	sc_rom_gaul	druidic_dignatary_female
dignitary	m	sc_rom_gaul	druidic_dignatary_male
dignitary	f	sc_rom_germanic	germanic_dignitary_female
dignitary	f	sc_rom_greek	hellenic_dignatary_female
dignitary	m	sc_rom_greek	hellenic_dignatary_male
dignitary	m	sc_rom_numidian	afroarabian_dignitary_male
dignitary	f	sc_rom_nuragic	hellenic_dignatary_female
dignitary	m	sc_rom_parthian	eastern_dignitary_male
dignitary	m	sc_rom_pontic	eastern_dignitary_male
dignitary	m	sc_rom_roman	roman_dignatary_male
spy	f	sc_rom_african_arabian	scythian_spy_female
spy	m	sc_rom_african_arabian	parthian_spy_male
spy	f	sc_rom_barb_east	scythian_spy_female
spy	m	sc_rom_barb_east	parthian_spy_male
spy	m	sc_rom_british	briton_spy_male
spy	f	sc_rom_carthaginian	roman_spy_female
spy	m	sc_rom_celtiberian	gaul_spy_male
spy	m	sc_rom_celtic	gaul_spy_male
spy	f	sc_rom_eastern	scythian_spy_female
spy	m	sc_rom_eastern	parthian_spy_male
spy	f	sc_rom_egyptian	roman_spy_female
spy	m	sc_rom_egyptian	parthian_spy_male
spy	m	sc_rom_etruscan	parthian_spy_male
spy	m	sc_rom_gaul	gaul_spy_male
spy	m	sc_rom_germanic	german_spy_male
spy	f	sc_rom_greek	roman_spy_female
spy	m	sc_rom_greek	rom_dignitary
spy	f	sc_rom_numidian	scythian_spy_female
spy	m	sc_rom_numidian	parthian_spy_male
spy	f	sc_rom_parthian	scythian_spy_female
spy	m	sc_rom_parthian	parthian_spy_male
spy	f	sc_rom_pontic	roman_spy_female
spy	m	sc_rom_pontic	parthian_spy_male
spy	f	sc_rom_roman	roman_spy_female
spy	m	sc_rom_roman	rom_dignitary
