uniform_name	filename	battle_filename	campaign_porthole_filename	audio_armour_type	audio_weapon_type	audio_shield_type	campaign_politician_filename
#agent_uniforms_tables;6;db/agent_uniforms_tables/agent_uniforms							
3c_Afr_General_01	3c_Afr_General_1_Campaign	3c_Afr_General_1_Battle	3c_Afr_General_1_Campaign	chainmail	sword	wood	3c_Afr_General_1_Politician
3c_Afr_General_02	3c_Afr_General_2_Campaign	3c_Afr_General_2_Battle	3c_Afr_General_2_Campaign	chainmail	sword	wood	3c_Afr_General_2_Politician
3c_Afr_General_03	3c_Afr_General_3_Campaign	3c_Afr_General_3_Battle	3c_Afr_General_3_Campaign	chainmail	sword	wood	3c_Afr_General_3_Politician
3c_Afr_General_04	3c_Afr_General_4_Campaign	3c_Afr_General_4_Battle	3c_Afr_General_4_Campaign	chainmail	sword	wood	3c_Afr_General_4_Politician
3c_Afr_General_05	3c_Afr_General_5_Campaign	3c_Afr_General_5_Battle	3c_Afr_General_5_Campaign	chainmail	sword	wood	3c_Afr_General_5_Politician
3c_Afr_General_06	3c_Afr_General_6_Campaign	3c_Afr_General_6_Battle	3c_Afr_General_6_Campaign	chainmail	sword	wood	3c_Afr_General_6_Politician
3c_Afr_General_07	3c_Afr_General_7_Campaign	3c_Afr_General_7_Battle	3c_Afr_General_7_Campaign	chainmail	sword	wood	3c_Afr_General_7_Politician
3c_Afr_General_08	3c_Afr_General_8_Campaign	3c_Afr_General_8_Battle	3c_Afr_General_8_Campaign	chainmail	sword	wood	3c_Afr_General_8_Politician
3c_Afr_General_09	3c_Afr_General_9_Campaign	3c_Afr_General_9_Battle	3c_Afr_General_9_Campaign	chainmail	sword	wood	3c_Afr_General_9_Politician
3c_Afr_General_10	3c_Afr_General_10_Campaign	3c_Afr_General_10_Battle	3c_Afr_General_10_Campaign	chainmail	sword	wood	3c_Afr_General_10_Politician
3c_Afr_General_11	3c_Afr_General_11_Campaign	3c_Afr_General_11_Battle	3c_Afr_General_11_Campaign	chainmail	sword	wood	3c_Afr_General_11_Politician
3c_Afr_General_12	3c_Afr_General_21_Campaign	3c_Afr_General_21_Battle	3c_Afr_General_21_Campaign	chainmail	sword	wood	3c_Afr_General_21_Politician
3c_Afr_General_13	3c_Afr_General_31_Campaign	3c_Afr_General_31_Battle	3c_Afr_General_31_Campaign	chainmail	sword	wood	3c_Afr_General_31_Politician
3c_Afr_General_14	3c_Afr_General_14_Campaign	3c_Afr_General_14_Battle	3c_Afr_General_14_Campaign	chainmail	sword	wood	3c_Afr_General_14_Politician
3c_Afr_General_15	3c_Afr_General_15_Campaign	3c_Afr_General_15_Battle	3c_Afr_General_15_Campaign	chainmail	sword	wood	3c_Afr_General_15_Politician
3c_Afr_General_16	3c_Afr_General_16_Campaign	3c_Afr_General_16_Battle	3c_Afr_General_16_Campaign	chainmail	sword	wood	3c_Afr_General_16_Politician
3c_Afr_General_17	3c_Afr_General_17_Campaign	3c_Afr_General_17_Battle	3c_Afr_General_17_Campaign	chainmail	sword	wood	3c_Afr_General_17_Politician
3c_Afr_General_18	3c_Afr_General_18_Campaign	3c_Afr_General_18_Battle	3c_Afr_General_18_Campaign	chainmail	sword	wood	3c_Afr_General_18_Politician
3c_Afr_General_19	3c_Afr_General_19_Campaign	3c_Afr_General_19_Battle	3c_Afr_General_19_Campaign	chainmail	sword	wood	3c_Afr_General_19_Politician
3c_Afr_General_20	3c_Afr_General_20_Campaign	3c_Afr_General_20_Battle	3c_Afr_General_20_Campaign	chainmail	sword	wood	3c_Afr_General_20_Politician
3c_Ala_General_01	3c_Ala_General_1_Campaign	3c_Ala_General_1_Battle	3c_Ala_General_1_Campaign	chainmail	sword	wood	3c_Ala_General_1_Politician
3c_Ala_General_02	3c_Ala_General_2_Campaign	3c_Ala_General_2_Battle	3c_Ala_General_2_Campaign	chainmail	sword	wood	3c_Ala_General_2_Politician
3c_Ala_General_03	3c_Ala_General_3_Campaign	3c_Ala_General_3_Battle	3c_Ala_General_3_Campaign	chainmail	sword	wood	3c_Ala_General_3_Politician
3c_Ala_General_04	3c_Ala_General_4_Campaign	3c_Ala_General_4_Battle	3c_Ala_General_4_Campaign	chainmail	sword	wood	3c_Ala_General_4_Politician
3c_Ala_General_05	3c_Ala_General_5_Campaign	3c_Ala_General_5_Battle	3c_Ala_General_5_Campaign	chainmail	sword	wood	3c_Ala_General_5_Politician
3c_Ala_General_06	3c_Ala_General_6_Campaign	3c_Ala_General_6_Battle	3c_Ala_General_6_Campaign	chainmail	sword	wood	3c_Ala_General_6_Politician
3c_Ala_General_07	3c_Ala_General_7_Campaign	3c_Ala_General_7_Battle	3c_Ala_General_7_Campaign	chainmail	sword	wood	3c_Ala_General_7_Politician
3c_Ala_General_08	3c_Ala_General_8_Campaign	3c_Ala_General_8_Battle	3c_Ala_General_8_Campaign	chainmail	sword	wood	3c_Ala_General_8_Politician
