key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	is_husband_ancillary	is_diplomatic_ancillary	is_dynastic_ancillary	spouse_subculture	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	spouse_type
#ancillaries_tables;12;db/ancillaries_tables/ancillaries																							
3c_event_sassanian_sculptor	Ancillary_Young_Man_Civ_Poor	general	true	true	true	1	-10000	10000			false	false	false	false	false	false		companion	16	30	30	50	
dk_foreign_intrigue_advisor	Ancillary_Young_Man_Civ_Rich	general	true	false	false	1	-10000	10000			false	false	false	false	false	false		companion	16	30	30	50	
inv_brennus_sword	Ancillary_Weapons_Long_Sword	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		apparel	16	30	30	50	
inv_dionysius_poetry	Ancillary_Manuscript	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		item	16	30	30	50	
inv_horned_helmet	Ancillary_Armour	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		apparel	16	30	30	50	
inv_illyrian_captain	Ancillary_Old_Man_Barb	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		apparel	16	30	30	50	
inv_illyrian_deckhand	Ancillary_Young_Man_Barb	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		apparel	16	30	30	50	
inv_illyrian_pirate	Ancillary_Young_Man_Barb	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		apparel	16	30	30	50	
inv_illyrian_traitor	Ancillary_Young_Man_Civ_Poor	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		companion	16	30	30	50	
inv_statue_of_baal_hammon	Ancillary_Statue	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		item	16	30	30	50	
inv_statue_of_juno	Ancillary_Statue	general	true	false	true	1	-10000	10000			false	false	false	false	false	false		item	16	30	30	50	
