ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/ancillary_included_subcultures	
3c_event_sassanian_sculptor	sc_rom_eastern
dk_foreign_intrigue_advisor	sc_rom_african_arabian
dk_foreign_intrigue_advisor	sc_rom_numidian
inv_brennus_sword	sc_rom_african_arabian
inv_brennus_sword	sc_rom_barb_east
inv_brennus_sword	sc_rom_british
inv_brennus_sword	sc_rom_carthaginian
inv_brennus_sword	sc_rom_celtic
inv_brennus_sword	sc_rom_eastern
inv_brennus_sword	sc_rom_egyptian
inv_brennus_sword	sc_rom_etruscan
inv_brennus_sword	sc_rom_gaul
inv_brennus_sword	sc_rom_germanic
inv_brennus_sword	sc_rom_greek
inv_brennus_sword	sc_rom_italic
inv_brennus_sword	sc_rom_numidian
inv_brennus_sword	sc_rom_nuragic
inv_brennus_sword	sc_rom_parthian
inv_brennus_sword	sc_rom_pontic
inv_brennus_sword	sc_rom_roman
inv_dionysius_poetry	sc_rom_african_arabian
inv_dionysius_poetry	sc_rom_barb_east
inv_dionysius_poetry	sc_rom_british
inv_dionysius_poetry	sc_rom_carthaginian
inv_dionysius_poetry	sc_rom_celtic
inv_dionysius_poetry	sc_rom_eastern
inv_dionysius_poetry	sc_rom_egyptian
inv_dionysius_poetry	sc_rom_etruscan
inv_dionysius_poetry	sc_rom_gaul
inv_dionysius_poetry	sc_rom_germanic
inv_dionysius_poetry	sc_rom_greek
inv_dionysius_poetry	sc_rom_italic
inv_dionysius_poetry	sc_rom_numidian
inv_dionysius_poetry	sc_rom_nuragic
inv_dionysius_poetry	sc_rom_parthian
inv_dionysius_poetry	sc_rom_pontic
inv_dionysius_poetry	sc_rom_roman
inv_horned_helmet	sc_rom_african_arabian
inv_horned_helmet	sc_rom_barb_east
inv_horned_helmet	sc_rom_british
inv_horned_helmet	sc_rom_carthaginian
inv_horned_helmet	sc_rom_celtic
inv_horned_helmet	sc_rom_eastern
inv_horned_helmet	sc_rom_egyptian
inv_horned_helmet	sc_rom_etruscan
inv_horned_helmet	sc_rom_gaul
inv_horned_helmet	sc_rom_germanic
inv_horned_helmet	sc_rom_greek
inv_horned_helmet	sc_rom_italic
inv_horned_helmet	sc_rom_numidian
inv_horned_helmet	sc_rom_nuragic
inv_horned_helmet	sc_rom_parthian
inv_horned_helmet	sc_rom_pontic
inv_horned_helmet	sc_rom_roman
inv_illyrian_captain	sc_rom_african_arabian
inv_illyrian_captain	sc_rom_barb_east
inv_illyrian_captain	sc_rom_british
inv_illyrian_captain	sc_rom_carthaginian
inv_illyrian_captain	sc_rom_celtic
inv_illyrian_captain	sc_rom_eastern
inv_illyrian_captain	sc_rom_egyptian
inv_illyrian_captain	sc_rom_etruscan
inv_illyrian_captain	sc_rom_gaul
inv_illyrian_captain	sc_rom_germanic
inv_illyrian_captain	sc_rom_greek
inv_illyrian_captain	sc_rom_italic
inv_illyrian_captain	sc_rom_numidian
inv_illyrian_captain	sc_rom_nuragic
inv_illyrian_captain	sc_rom_parthian
inv_illyrian_captain	sc_rom_pontic
inv_illyrian_captain	sc_rom_roman
inv_illyrian_deckhand	sc_rom_african_arabian
inv_illyrian_deckhand	sc_rom_barb_east
inv_illyrian_deckhand	sc_rom_british
inv_illyrian_deckhand	sc_rom_carthaginian
inv_illyrian_deckhand	sc_rom_celtic
inv_illyrian_deckhand	sc_rom_eastern
inv_illyrian_deckhand	sc_rom_egyptian
inv_illyrian_deckhand	sc_rom_etruscan
inv_illyrian_deckhand	sc_rom_gaul
inv_illyrian_deckhand	sc_rom_germanic
inv_illyrian_deckhand	sc_rom_greek
inv_illyrian_deckhand	sc_rom_italic
inv_illyrian_deckhand	sc_rom_numidian
inv_illyrian_deckhand	sc_rom_nuragic
inv_illyrian_deckhand	sc_rom_parthian
inv_illyrian_deckhand	sc_rom_pontic
inv_illyrian_deckhand	sc_rom_roman
inv_illyrian_pirate	sc_rom_african_arabian
inv_illyrian_pirate	sc_rom_barb_east
inv_illyrian_pirate	sc_rom_british
inv_illyrian_pirate	sc_rom_carthaginian
inv_illyrian_pirate	sc_rom_celtic
inv_illyrian_pirate	sc_rom_eastern
inv_illyrian_pirate	sc_rom_egyptian
inv_illyrian_pirate	sc_rom_etruscan
inv_illyrian_pirate	sc_rom_gaul
inv_illyrian_pirate	sc_rom_germanic
inv_illyrian_pirate	sc_rom_greek
inv_illyrian_pirate	sc_rom_italic
inv_illyrian_pirate	sc_rom_numidian
inv_illyrian_pirate	sc_rom_nuragic
inv_illyrian_pirate	sc_rom_parthian
inv_illyrian_pirate	sc_rom_pontic
inv_illyrian_pirate	sc_rom_roman
inv_illyrian_traitor	sc_rom_african_arabian
inv_illyrian_traitor	sc_rom_barb_east
inv_illyrian_traitor	sc_rom_british
inv_illyrian_traitor	sc_rom_carthaginian
inv_illyrian_traitor	sc_rom_celtic
inv_illyrian_traitor	sc_rom_eastern
inv_illyrian_traitor	sc_rom_egyptian
inv_illyrian_traitor	sc_rom_etruscan
inv_illyrian_traitor	sc_rom_gaul
inv_illyrian_traitor	sc_rom_germanic
inv_illyrian_traitor	sc_rom_greek
inv_illyrian_traitor	sc_rom_italic
inv_illyrian_traitor	sc_rom_numidian
inv_illyrian_traitor	sc_rom_nuragic
inv_illyrian_traitor	sc_rom_parthian
inv_illyrian_traitor	sc_rom_pontic
inv_illyrian_traitor	sc_rom_roman
inv_statue_of_baal_hammon	sc_rom_african_arabian
inv_statue_of_baal_hammon	sc_rom_barb_east
inv_statue_of_baal_hammon	sc_rom_british
inv_statue_of_baal_hammon	sc_rom_carthaginian
inv_statue_of_baal_hammon	sc_rom_celtic
inv_statue_of_baal_hammon	sc_rom_eastern
inv_statue_of_baal_hammon	sc_rom_egyptian
inv_statue_of_baal_hammon	sc_rom_etruscan
inv_statue_of_baal_hammon	sc_rom_gaul
inv_statue_of_baal_hammon	sc_rom_germanic
inv_statue_of_baal_hammon	sc_rom_greek
inv_statue_of_baal_hammon	sc_rom_italic
inv_statue_of_baal_hammon	sc_rom_numidian
inv_statue_of_baal_hammon	sc_rom_nuragic
inv_statue_of_baal_hammon	sc_rom_parthian
inv_statue_of_baal_hammon	sc_rom_pontic
inv_statue_of_baal_hammon	sc_rom_roman
inv_statue_of_juno	sc_rom_african_arabian
inv_statue_of_juno	sc_rom_barb_east
inv_statue_of_juno	sc_rom_british
inv_statue_of_juno	sc_rom_carthaginian
inv_statue_of_juno	sc_rom_celtic
inv_statue_of_juno	sc_rom_eastern
inv_statue_of_juno	sc_rom_egyptian
inv_statue_of_juno	sc_rom_etruscan
inv_statue_of_juno	sc_rom_gaul
inv_statue_of_juno	sc_rom_germanic
inv_statue_of_juno	sc_rom_greek
inv_statue_of_juno	sc_rom_italic
inv_statue_of_juno	sc_rom_numidian
inv_statue_of_juno	sc_rom_nuragic
inv_statue_of_juno	sc_rom_parthian
inv_statue_of_juno	sc_rom_pontic
inv_statue_of_juno	sc_rom_roman
inv_trophy_bear	sc_rom_gaul
inv_trophy_bear	sc_rom_italic
inv_trophy_bear	sc_rom_nuragic
inv_trophy_boar	sc_rom_gaul
inv_trophy_boar	sc_rom_italic
inv_trophy_boar	sc_rom_nuragic
inv_trophy_stag	sc_rom_gaul
inv_trophy_stag	sc_rom_italic
inv_trophy_stag	sc_rom_nuragic
inv_trophy_wolf	sc_rom_gaul
inv_trophy_wolf	sc_rom_italic
inv_trophy_wolf	sc_rom_nuragic
inv_weighted_scale	sc_rom_african_arabian
inv_weighted_scale	sc_rom_barb_east
inv_weighted_scale	sc_rom_british
inv_weighted_scale	sc_rom_carthaginian
inv_weighted_scale	sc_rom_celtic
inv_weighted_scale	sc_rom_eastern
inv_weighted_scale	sc_rom_egyptian
inv_weighted_scale	sc_rom_etruscan
inv_weighted_scale	sc_rom_gaul
inv_weighted_scale	sc_rom_germanic
inv_weighted_scale	sc_rom_greek
inv_weighted_scale	sc_rom_italic
inv_weighted_scale	sc_rom_numidian
inv_weighted_scale	sc_rom_nuragic
inv_weighted_scale	sc_rom_parthian
inv_weighted_scale	sc_rom_pontic
inv_weighted_scale	sc_rom_roman
r2_sp_anc_all_army_hero_berber_raider	sc_rom_african_arabian
r2_sp_anc_all_army_hero_berber_raider	sc_rom_barb_east
r2_sp_anc_all_army_hero_berber_raider	sc_rom_british
r2_sp_anc_all_army_hero_berber_raider	sc_rom_carthaginian
