ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ancillary_to_effects			
3c_event_sassanian_sculptor	rom_building_gdp_mod_culture_all	this_character_local_region_province	15.0000
dk_foreign_intrigue_advisor	dk_diplomacy_african_arabian	this_faction	-4.0000
dk_foreign_intrigue_advisor	rom_agent_attribute_authority_mod	this_agent	2.0000
inv_brennus_sword	rom_general_attribute_mod_zeal	this_general	2.0000
inv_brennus_sword	rom_general_bodyguard_mod_melee_attack	this_general_force	10.0000
inv_dionysius_poetry	rom_building_gdp_mod_culture_entertainment	this_character_local_region_province	20.0000
inv_horned_helmet	rom_general_attribute_mod_zeal	this_general	2.0000
inv_horned_helmet	rom_general_bodyguard_mod_melee_defence	this_general_force	15.0000
inv_illyrian_captain	rom_force_campaign_mod_movement_range	this_general_fleet	10.0000
inv_illyrian_deckhand	rom_general_attribute_mod_subterfuge	this_general	2.0000
inv_illyrian_pirate	3c_force_unit_mod_morale_enemy_territory	this_general_fleet	10.0000
inv_illyrian_pirate	rom_tech_military_management_ship_cost_mod	this_general_fleet	-7.0000
inv_illyrian_traitor	inv_force_unit_mod_morale_versus_illyrian_pirates	this_general_force	15.0000
inv_statue_of_baal_hammon	rom_force_unit_mod_morale	this_general_force	7.0000
inv_statue_of_baal_hammon	rom_general_attribute_mod_authority	this_general	2.0000
inv_statue_of_juno	rom_character_province_public_order	this_character_local_province	7.0000
inv_trophy_bear	rom_general_attribute_mod_authority	this_general	3.0000
inv_trophy_boar	rom_general_attribute_mod_zeal	this_general	3.0000
inv_trophy_stag	rom_general_attribute_mod_authority	this_general	3.0000
inv_trophy_wolf	rom_general_attribute_mod_subterfuge	this_general	3.0000
inv_weighted_scale	rom_character_faction_leader_looting_mod	this_general_force	10.0000
r2_sp_anc_all_army_hero_berber_raider	rom_force_unit_mod_cavalry_morale	this_general_force	10.0000
r2_sp_anc_all_army_hero_berber	rom_force_unit_mod_cavalry_morale	this_general_force	5.0000
r2_sp_anc_all_army_hero_saviour	rom_agent_defence_wound_chance_mod	this_agent	5.0000
r2_sp_anc_all_army_master_armourer	rom_force_unit_mod_armour	this_general_force	5.0000
r2_sp_anc_all_army_master_beast	rom_tech_engineering_siege_elephant_morale_mod	this_general_force	5.0000
r2_sp_anc_all_army_master_horse_archer	rom_force_unit_mod_cavalry_light_missile_range	this_general_force	5.0000
r2_sp_anc_all_army_master_horse_numidian	rom_force_unit_mod_cavalry_light_missile_range	this_general_force	5.0000
r2_sp_anc_all_army_master_horses	rom_force_unit_mod_cavalry_morale	this_general_force	5.0000
r2_sp_anc_all_army_master_hunter_trouble	rom_general_force_mod_campaign_spotting_chance	this_general_when_on_land	5.0000
r2_sp_anc_all_army_master_hunter	rom_general_force_mod_campaign_spotting_chance	this_general_when_on_land	10.0000
r2_sp_anc_all_army_master_mercenary	rom_force_campaign_mod_recruitment_cost_mercenary	this_general	-5.0000
r2_sp_anc_all_army_master_siege_engineer	rom_general_force_mod_siege_attack_holdout_time	this_force_general	1.0000
r2_sp_anc_all_army_master_smith	rom_force_unit_mod_armour	this_general_force	5.0000
r2_sp_anc_all_army_scout_british_chav	rom_force_campaign_mod_loot_income	this_general_army	5.0000
r2_sp_anc_all_army_scout_desert_arabian	rom_force_campaign_mod_line_of_sight	this_general	1.0000
r2_sp_anc_all_army_scout_desert_arabian	rom_force_unit_mod_morale_during_ambushes_desert	this_general_army	2.0000
r2_sp_anc_all_army_scout_desert	rom_force_campaign_mod_line_of_sight	this_general	1.0000
r2_sp_anc_all_army_scout_desert	rom_force_unit_mod_morale_during_ambushes_desert	this_general_army	2.0000
r2_sp_anc_all_army_scout_german	rom_force_campaign_mod_line_of_sight	this_general	1.0000
r2_sp_anc_all_army_scout_german	rom_force_unit_mod_morale_during_night_forest	this_general_army	2.0000
r2_sp_anc_all_army_shieldbearer	rom_force_unit_mod_armour	this_general_force	5.0000
r2_sp_anc_all_army_slaver	rom_general_force_mod_slave_capture	this_general_force	5.0000
r2_sp_anc_all_army_steed	rom_force_unit_mod_cavalry_light_movement_speed	this_general_force	5.0000
r2_sp_anc_all_auxiliary_philosopher	rom_building_research_points	this_character_faction	5.0000
r2_sp_anc_all_barbarian_pirate	rom_general_attribute_mod_zeal	this_agent	1.0000
r2_sp_anc_all_booze_companion	rom_force_unit_mod_morale	this_general_force	2.0000
r2_sp_anc_all_brazen_bull	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_brazen_bull	rom_general_attribute_mod_authority	this_general	1.0000
r2_sp_anc_all_christian_priest	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_crisis_manager	rom_character_province_public_order	this_character_local_province	2.0000
r2_sp_anc_all_east_eunuch_authority	rom_agent_attribute_authority_mod	this_agent	1.0000
r2_sp_anc_all_east_eunuch_authority	rom_agent_defence_wound_chance_mod	this_agent	10.0000
r2_sp_anc_all_east_eunuch_authority	rom_general_force_mod_campaign_spotting_chance	this_general	10.0000
r2_sp_anc_all_east_eunuch_subterfuge	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
r2_sp_anc_all_east_eunuch_subterfuge	rom_agent_defence_wound_chance_mod	this_agent	10.0000
r2_sp_anc_all_east_eunuch_subterfuge	rom_general_force_mod_campaign_spotting_chance	this_general	10.0000
r2_sp_anc_all_east_eunuch_zeal	rom_agent_attribute_zeal_mod	this_agent	1.0000
r2_sp_anc_all_east_eunuch_zeal	rom_agent_defence_wound_chance_mod	this_agent	10.0000
r2_sp_anc_all_east_eunuch_zeal	rom_general_force_mod_campaign_spotting_chance	this_general	10.0000
r2_sp_anc_all_ex_slum_lord	rom_general_attribute_mod_authority	this_general	1.0000
r2_sp_anc_all_family_mum_in_law_evil	rom_character_gravitas_per_turn_mod	this_general	-2.0000
r2_sp_anc_all_family_mum_in_law_evil	rom_force_unit_mod_morale	this_general_force	2.0000
