ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/ancillary_to_included_agents	
3c_event_sassanian_sculptor	general
dk_foreign_intrigue_advisor	general
inv_brennus_sword	general
inv_dionysius_poetry	general
inv_horned_helmet	general
inv_illyrian_captain	general
inv_illyrian_deckhand	general
inv_illyrian_pirate	general
inv_illyrian_traitor	general
inv_statue_of_baal_hammon	general
inv_statue_of_juno	general
inv_trophy_bear	general
inv_trophy_boar	general
inv_trophy_stag	general
inv_trophy_wolf	general
inv_weighted_scale	general
r2_sp_anc_all_army_hero_berber_raider	general
r2_sp_anc_all_army_hero_berber	general
r2_sp_anc_all_army_hero_saviour	general
r2_sp_anc_all_army_master_armourer	general
r2_sp_anc_all_army_master_beast	general
r2_sp_anc_all_army_master_horse_archer	general
r2_sp_anc_all_army_master_horse_numidian	general
r2_sp_anc_all_army_master_horses	general
r2_sp_anc_all_army_master_hunter_trouble	general
r2_sp_anc_all_army_master_hunter	general
r2_sp_anc_all_army_master_mercenary	general
r2_sp_anc_all_army_master_siege_engineer	general
r2_sp_anc_all_army_master_smith	general
r2_sp_anc_all_army_scout_british_chav	general
r2_sp_anc_all_army_scout_desert_arabian	general
r2_sp_anc_all_army_scout_desert	general
r2_sp_anc_all_army_scout_german	general
r2_sp_anc_all_army_shieldbearer	general
r2_sp_anc_all_army_slaver	general
r2_sp_anc_all_army_steed	general
r2_sp_anc_all_barbarian_pirate	champion
r2_sp_anc_all_barbarian_pirate	dignitary
r2_sp_anc_all_barbarian_pirate	general
r2_sp_anc_all_barbarian_pirate	spy
r2_sp_anc_all_booze_companion	general
r2_sp_anc_all_christian_priest	champion
r2_sp_anc_all_christian_priest	dignitary
r2_sp_anc_all_christian_priest	general
r2_sp_anc_all_christian_priest	spy
r2_sp_anc_all_crisis_manager	champion
r2_sp_anc_all_crisis_manager	dignitary
r2_sp_anc_all_crisis_manager	general
r2_sp_anc_all_crisis_manager	spy
r2_sp_anc_all_east_eunuch_authority	champion
r2_sp_anc_all_east_eunuch_authority	dignitary
r2_sp_anc_all_east_eunuch_authority	general
r2_sp_anc_all_east_eunuch_authority	spy
r2_sp_anc_all_east_eunuch_subterfuge	champion
r2_sp_anc_all_east_eunuch_subterfuge	dignitary
r2_sp_anc_all_east_eunuch_subterfuge	general
r2_sp_anc_all_east_eunuch_subterfuge	spy
r2_sp_anc_all_east_eunuch_zeal	champion
r2_sp_anc_all_east_eunuch_zeal	dignitary
r2_sp_anc_all_east_eunuch_zeal	general
r2_sp_anc_all_east_eunuch_zeal	spy
r2_sp_anc_all_ex_slum_lord	champion
r2_sp_anc_all_ex_slum_lord	dignitary
r2_sp_anc_all_ex_slum_lord	general
r2_sp_anc_all_ex_slum_lord	spy
r2_sp_anc_all_govt_dealer_horse	general
r2_sp_anc_all_govt_goldsmith	dignitary
r2_sp_anc_all_govt_merchant_adventurer	champion
r2_sp_anc_all_govt_money_treasurer	general
r2_sp_anc_all_govt_trader_parthia	champion
r2_sp_anc_all_govt_translator_polite	dignitary
