type	ui_icon
#ancillary_types_tables;0;db/ancillary_types_tables/ancillary_types	
Ancillary_Amulet	Ancillary_Amulet.png
Ancillary_Animal_B_Cat	Ancillary_Animal_B_Cat.png
Ancillary_Animal_Bear	Ancillary_Animal_Bear.png
Ancillary_Animal_Bones	Ancillary_Animal_Bones.png
Ancillary_Animal_Chicken	Ancillary_Animal_Chicken.png
Ancillary_Animal_Dog	Ancillary_Animal_Dog.png
Ancillary_Animal_Eel	Ancillary_Animal_Eel.png
Ancillary_Animal_Elephant	Ancillary_Animal_Elephant.png
Ancillary_Animal_Fish	Ancillary_Animal_Fish.png
Ancillary_Animal_Goat	Ancillary_Animal_Goat.png
Ancillary_Animal_Horse	Ancillary_Animal_Horse.png
Ancillary_Animal_Jackdaw	Ancillary_Animal_Jackdaw.png
Ancillary_Animal_Monkey	Ancillary_Animal_Monkey.png
Ancillary_Animal_Sheep	Ancillary_Animal_Sheep.png
Ancillary_Animal_Snake	Ancillary_Animal_Snake.png
Ancillary_Animal_Tortoise	Ancillary_Animal_Tortoise.png
Ancillary_Animal_W_Cat	Ancillary_Animal_W_Cat.png
Ancillary_Ankh	Ancillary_Ankh.png
Ancillary_Armour	Ancillary_Armour.png
Ancillary_Barbarian_Warrior	Ancillary_Barbarian_Warrior.png
Ancillary_Becloaked_Figure	Ancillary_Becloaked_Figure.png
Ancillary_Berber_Warrior	Ancillary_Berber_Warrior.png
Ancillary_Bread	Ancillary_Bread.png
Ancillary_Cataphract	Ancillary_Cataphract.png
Ancillary_Cauldron	Ancillary_Cauldron.png
Ancillary_Chainmail	Ancillary_Chainmail.png
Ancillary_Chinese_Man	Ancillary_Chinese_Man.png
Ancillary_Chris_Knight	Ancillary_Chris_Knight.png
Ancillary_Clay_Jar	Ancillary_Clay_Jar.png
Ancillary_Crockery	Ancillary_Crockery.png
Ancillary_Drinking_Horn	Ancillary_Drinking_Horn.png
Ancillary_Dylan	Ancillary_Dylan.png
Ancillary_Eastern_Beauty	Ancillary_Eastern_Beauty.png
Ancillary_Elephant_Chisel	Ancillary_Elephant_Chisel.png
Ancillary_Fasces	Ancillary_Fasces.png
Ancillary_Game	Ancillary_Game.png
Ancillary_Gladiator	Ancillary_Gladiator.png
Ancillary_Glass	Ancillary_Glass.png
Ancillary_Greek_Hoplite	Ancillary_Greek_Hoplite.png
Ancillary_Heart	Ancillary_Heart.png
Ancillary_Hooded_Torturer	Ancillary_Hooded_Torturer.png
Ancillary_Iron_Foot	Ancillary_Iron_Foot.png
Ancillary_Iron_Hand	Ancillary_Iron_Hand.png
Ancillary_Jewelled_Mask	Ancillary_Jewelled_Mask.png
Ancillary_Jewellery	Ancillary_Jewellery.png
Ancillary_Kate	Ancillary_Kate.png
Ancillary_Manuscript	Ancillary_Manuscript.png
Ancillary_Mithras	Ancillary_Mithras.png
Ancillary_Numidian_Warrior	Ancillary_Numidian_Warrior.png
Ancillary_Oil_Lamp	Ancillary_Oil_Lamp.png
Ancillary_Old_Man_Barb	Ancillary_Old_Man_Barb.png
Ancillary_Old_Man_Civil	Ancillary_Old_Man_Civil.png
Ancillary_Old_Woman_Barb	Ancillary_Old_Woman_Barb.png
Ancillary_Old_Woman_Civil	Ancillary_Old_Woman_Civil.png
Ancillary_Parasol	Ancillary_Parasol.png
Ancillary_Pelt	Ancillary_Pelt.png
Ancillary_Pharaoh	Ancillary_Pharaoh.png
Ancillary_Roman_Marian	Ancillary_Roman_Marian.png
Ancillary_Roman_Pre_Marian	Ancillary_Roman_Pre_Marian.png
Ancillary_Scrolls	Ancillary_Scrolls.png
Ancillary_Severed_Head	Ancillary_Severed_Head.png
Ancillary_Shield_Rectangular	Ancillary_Shield_Rectangular.png
Ancillary_Shield_Round	Ancillary_Shield_Round.png
Ancillary_Statue	Ancillary_Statue.png
Ancillary_Statuette	Ancillary_Statuette.png
Ancillary_Steppe_Warrior	Ancillary_Steppe_Warrior.png
Ancillary_Tim_Hough	Ancillary_Tim_Hough.png
Ancillary_Torc	Ancillary_Torc.png
Ancillary_Trophy_Stag	Ancillary_Trophy_Stag.png
Ancillary_Vine_Stickj	Ancillary_Vine_Stickj.png
Ancillary_War_Horn	Ancillary_War_Horn.png
Ancillary_Weapons_Club	Ancillary_Weapons_Club.png
Ancillary_Weapons_Composite_Bow	Ancillary_Weapons_Composite_Bow.png
Ancillary_Weapons_Dagger	Ancillary_Weapons_Dagger.png
Ancillary_Weapons_Long_Bow	Ancillary_Weapons_Long_Bow.png
Ancillary_Weapons_Long_Sword	Ancillary_Weapons_Long_Sword.png
Ancillary_Weapons_Pike	Ancillary_Weapons_Pike.png
Ancillary_Weapons_Rhomphaia	Ancillary_Weapons_Rhomphaia.png
Ancillary_Weighted_Scales	Ancillary_Vae_Victis.png
Ancillary_Will_Overgard	Ancillary_Will_Overgard.png
Ancillary_Writing_Tablet	Ancillary_Writing_Tablet.png
Ancillary_Young_Man_Barb	Ancillary_Young_Man_Barb.png
Ancillary_Young_Man_Civ_Poor	Ancillary_Young_Man_Civ_Poor.png
Ancillary_Young_Man_Civ_Rich	Ancillary_Young_Man_Civ_Rich.png
Ancillary_Young_Woman_Civ_Poor	Ancillary_Young_Woman_Civ_Poor.png
Ancillary_Young_Woman_Civ_Rich	Ancillary_Young_Woman_Civ_Rich.png
Ancillary_Young_woman_Barb	Ancillary_Young_woman_Barb.png
cleopatra	Ancillary_Cleopatra.png
portrait_PH	portrait_PH.png
