key	filename	level	priority	window_in	window_out	repeat_wait_ms	event_category	time_after_event
#battle_cinematic_events_tables;3;db/battle_cinematic_events_tables/battle_cinematic_events								
01_being_charged	01_being_charged.txt	UNIT	2	5	10	100000	being_charged_cavalry	500
02_charge	02_charge.txt	UNIT	2	5	10	100000	charging_cavalry	500
03_enemy_approaching_land	03_enemy_approaching_land.txt	ARMY	3	5	10	100000	unit_spotted	500
04_unit_on_fire	04_unit_on_fire.txt	ENTITY	2	5	10	100000	unit_on_fire	500
05_enemy_spotted	05_enemy_spotted.txt	UNIT	2	5	10	100000	unit_spotted	500
06_boarding	06_boarding.txt	UNIT	2	5	10	100000	boarding	500
07_ramming	07_ramming.txt	UNIT	2	5	10	100000	ramming	500
08_BOP	08_BOP.txt	UNIT	3	5	10	100000	balance_of_power_shift	500
09_enemy_approaching_naval	09_enemy_approaching_naval.txt	ARMY	3	5	10	100000	unit_spotted	500
10_enemy_routing	10_enemy_routing.txt	ARMY	2	5	10	100000	unit_routing	500
11_ally_routing	11_ally_routing.txt	ARMY	2	5	10	100000	unit_routing	500
12_withdraw_naval	12_withdraw_naval.txt	ARMY	3	5	10	100000	unit_withdrawing	500
13_withdraw_land	13_withdraw_land.txt	ARMY	3	5	10	100000	unit_withdrawing	500
14_lost_land	14_lost_land.txt	ARMY	2	5	10	100000	balance_of_power_shift	500
15_won_land	15_won_land.txt	ARMY	2	5	10	100000	balance_of_power_shift	500
16_lost_naval	16_lost_naval.txt	ARMY	2	5	10	100000	balance_of_power_shift	500
17_won_naval	17_won_naval.txt	ARMY	2	5	10	100000	balance_of_power_shift	500
18_morale_wave	18_morale_wave.txt	UNIT	2	5	10	100000	unit_routing	500
19_morale_rout	19_morale_rout.txt	UNIT	2	5	10	100000	unit_routing	500
20_morale_broken	20_morale_broken.txt	UNIT	2	5	10	100000	unit_routing	500
21_siege_equip	21_siege_equip.txt	UNIT	2	5	10	100000	artillery_picked_up	500
22_hidden	22_hidden	UNIT	2	5	10	100000	unit_spotted	500
23_key_building	23_key_building.txt	UNIT	2	5	10	100000	captured_point	500
24_siege_equip_dest	24_siege_equip_dest.txt	UNIT	2	5	10	100000	vehicle_destroyed	500
25_attacked_range_naval	25_attacked_range_naval.txt	UNIT	2	5	10	100000	none	500
26_attacked_range_land	26_attacked_range_land.txt	UNIT	2	5	10	100000	none	500
27_attacked_artillery_land	27_attacked_artillery_land.txt	UNIT	2	5	10	100000	none	500
28_attacked_artillery_naval	28_attacked_artillery_naval.txt	UNIT	2	5	10	100000	none	500
29_attacked_melee	29_attacked_melee.txt	UNIT	2	5	10	100000	none	500
30_attack_range_land	30_attack_range_land.txt	UNIT	2	5	10	100000	none	500
31_attack_range_naval	31_attack_range_naval.txt	UNIT	2	5	10	100000	none	500
32_attack_artillery_land	32_attack_artillery_land.txt	UNIT	2	5	10	100000	none	500
33_attack_artillery_naval	33_attack_artillery_naval.txt	UNIT	2	5	10	100000	none	500
34_attack_melee	34_attack_melee.txt	UNIT	2	5	10	100000	none	500
35_rally	35_rally.txt	UNIT	2	5	10	100000	none	500
36_being_rammed	36_being_rammed.txt	UNIT	2	5	10	100000	being_rammed	500
37_being_boarded	37_being_boarded.txt	UNIT	2	5	10	100000	being_boarded	500
38_on_fire_naval	38_on_fire_naval.txt	ENTITY	2	5	10	100000	ship_on_fire	500
