climate_type	season	weather_type	key	probability	heat_fatigue	cold_fatigue	spotting_scalar
#battle_climate_weather_descriptions_tables;1;db/battle_climate_weather_descriptions_tables/battle_climate_weather_descriptions							
ROME_Atlantic	season_autumn	dry	japan_deciduous_dry_autumn	250	0	0	1.0000
ROME_Atlantic	season_autumn	fog	japan_deciduous_fog_autumn	150	0	0	0.8000
ROME_Atlantic	season_autumn	rain	japan_deciduous_rain_autumn	200	0	0	0.9000
ROME_Atlantic	season_spring	dry	japan_deciduous_dry_spring	250	0	0	1.0000
ROME_Atlantic	season_spring	fog	japan_deciduous_fog_spring	150	0	0	0.8000
ROME_Atlantic	season_spring	rain	japan_deciduous_rain_spring	200	0	1	0.9000
ROME_Atlantic	season_summer	dry	japan_deciduous_dry_summer	250	0	0	1.0000
ROME_Atlantic	season_summer	fog	japan_deciduous_fog_summer	150	0	0	0.8000
ROME_Atlantic	season_summer	rain	japan_deciduous_rain_summer	200	0	0	0.9000
ROME_Atlantic	season_winter	dry	japan_deciduous_dry_winter	250	0	0	1.0000
ROME_Atlantic	season_winter	fog	japan_deciduous_fog_winter	150	0	0	0.8000
ROME_Atlantic	season_winter	snow	japan_deciduous_snow_winter	100	0	1	0.9000
ROME_Continental	season_autumn	dry	japan_evergreen_dry_autumn	200	0	0	1.0000
ROME_Continental	season_autumn	fog	japan_evergreen_fog_autumn	100	0	0	0.8000
ROME_Continental	season_autumn	rain	japan_evergreen_rain_autumn	150	0	0	0.9000
ROME_Continental	season_spring	dry	japan_evergreen_dry_spring	200	0	0	1.0000
ROME_Continental	season_spring	fog	japan_evergreen_fog_spring	100	0	0	0.8000
ROME_Continental	season_spring	rain	japan_evergreen_rain_spring	150	0	0	0.9000
ROME_Continental	season_summer	dry	japan_evergreen_dry_summer	200	0	0	1.0000
ROME_Continental	season_summer	fog	japan_evergreen_fog_summer	100	0	0	0.8000
ROME_Continental	season_summer	rain	japan_evergreen_rain_summer	150	0	0	0.9000
ROME_Continental	season_winter	dry	japan_evergreen_dry_winter	200	0	0	1.0000
ROME_Continental	season_winter	fog	japan_evergreen_fog_winter	100	0	0	0.8000
ROME_Continental	season_winter	snow	japan_evergreen_snow_winter	100	0	1	0.9500
ROME_Desert	season_autumn	dry	japan_lowland_dry_autumn	300	1	0	1.0000
ROME_Desert	season_autumn	fog	japan_lowland_fog_autumn	40	0	0	0.8000
ROME_Desert	season_autumn	rain	japan_lowland_rain_autumn	150	0	0	0.9000
ROME_Desert	season_spring	dry	japan_lowland_dry_spring	300	1	0	1.0000
ROME_Desert	season_spring	fog	japan_lowland_fog_spring	40	0	0	0.8000
ROME_Desert	season_spring	rain	japan_lowland_rain_spring	150	0	0	0.9000
ROME_Desert	season_summer	dry	japan_lowland_dry_summer	300	1	0	1.0000
