key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	tracking_threshold	min_turning_speed	display_model_offset_z
#battle_entities_tables;5;db/battle_entities_tables/battle_entities																								
ammo_caisson_large	ammo_caisson	1.6200	3.4200	2.0000	2.0000	5.2200	1.0000	20.0000	20.0000	20.0000	2.0000	ellipse	0.2500	900.0000	2.5000	360.0000	360.0000	45.0000	35	true	true	1.4500	0.0000	0.0000
artillery_ballista_giant	artillery	1.0000	1.1000	1.0000	2.0000	1.1000	0.7000	30.0000	20.0000	20.0000	6.8000	ellipse	0.6500	5000.0000	8.0000	60.0000	60.0000	15.0000	550	true	true	1.4500	0.0000	0.0000
artillery_ballista_medium	artillery	1.6000	2.0000	0.9000	2.0000	2.0000	0.7000	30.0000	20.0000	20.0000	4.2000	ellipse	0.6000	5000.0000	4.8000	90.0000	90.0000	15.0000	450	true	true	1.4500	0.0000	0.0000
artillery_ballista_medium_shp	artillery	0.6300	1.3500	2.0000	4.0000	1.3500	0.7000	30.0000	20.0000	20.0000	3.5000	ellipse	0.3000	5000.0000	4.0000	360.0000	360.0000	15.0000	450	true	true	1.4500	0.0000	0.0000
artillery_light	artillery	1.8000	2.2000	2.0000	2.0000	2.2000	1.0000	30.0000	20.0000	20.0000	1.5000	ellipse	0.5000	200.0000	1.2000	60.0000	60.0000	45.0000	180	true	true	1.4500	0.0000	0.0000
artillery_light_shp	artillery	1.8000	2.2000	2.0000	2.0000	2.2000	1.0000	30.0000	20.0000	20.0000	1.5000	ellipse	0.5000	200.0000	1.2000	360.0000	360.0000	45.0000	180	true	true	1.4500	0.0000	0.0000
artillery_medium	artillery	1.6000	1.8000	1.0000	2.0000	1.8000	0.7000	30.0000	20.0000	20.0000	1.5000	ellipse	0.5000	1500.0000	1.3000	90.0000	90.0000	45.0000	450	true	true	1.4500	0.0000	0.0000
artillery_onager	artillery	1.6000	1.8000	1.2000	2.0000	1.8000	0.7000	30.0000	20.0000	20.0000	3.5000	ellipse	0.6000	5000.0000	3.2000	90.0000	90.0000	25.0000	500	true	true	1.4500	0.0000	0.0000
artillery_onager_large	artillery	1.4000	1.3000	0.2000	1.0000	1.3000	0.7000	30.0000	20.0000	20.0000	5.8000	ellipse	0.6500	5000.0000	7.5000	90.0000	90.0000	15.0000	600	true	true	1.4500	0.0000	0.0000
artillery_onager_prologue	artillery	1.0000	1.0000	1.0000	2.0000	1.0000	1.0000	20.0000	20.0000	20.0000	3.5000	ellipse	0.6000	5000.0000	4.0000	90.0000	90.0000	15.0000	500	true	true	1.4500	0.0000	0.0000
artillery_onager_shp	artillery	0.6300	1.3500	2.0000	4.0000	1.3500	0.7000	30.0000	20.0000	20.0000	2.7500	ellipse	0.6500	5000.0000	3.0000	360.0000	360.0000	15.0000	500	true	true	1.4500	0.0000	0.0000
athenai_three	ship	6.0000	6.0000	1.4000	3.1000	7.4000	5.5000	70.0000	70.0000	70.0000	14.0000	capsule	0.2350	70000.0000	3.5000	360.0000	360.0000	14.0000	693	true	true	1.1000	0.5000	0.0000
barbarian_greek_five	ship	2.5000	2.5000	0.4000	1.4000	3.4000	2.5000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	5.0000	880	true	true	1.1000	0.0000	0.0000
barbarian_heavy_raider	ship	3.0000	3.0000	0.4000	1.5000	3.6000	3.0000	75.6000	75.6000	75.6000	16.0000	capsule	0.2600	75600.0000	3.0000	360.0000	360.0000	8.0000	1290	true	true	1.1000	0.0000	0.0000
barbarian_medium_raider_melee	ship	3.0000	3.0000	0.6000	1.6500	3.9500	3.0000	65.6000	65.6000	65.6000	14.5000	capsule	0.2650	65600.0000	3.5000	360.0000	360.0000	8.0000	1067	true	true	1.1000	0.0000	0.0000
barbarian_medium_raider_ranged	ship	3.0000	3.0000	0.6000	1.6500	3.9500	3.0000	65.6000	65.6000	65.6000	14.5000	capsule	0.2650	65600.0000	3.5000	360.0000	360.0000	8.0000	1067	true	true	1.1000	0.0000	0.0000
barbarian_persian_four	ship	2.6000	2.6000	0.6000	1.4500	3.4500	2.6000	80.8000	80.8000	80.8000	16.5000	capsule	0.2250	80800.0000	3.0000	360.0000	360.0000	6.0000	760	true	true	1.1000	0.0000	0.0000
barbarian_raider_melee	ship	3.1000	3.1000	0.5500	1.7500	4.1500	3.1000	57.4000	57.4000	57.4000	12.0000	capsule	0.2800	57400.0000	3.5000	360.0000	360.0000	8.0000	875	true	true	1.1000	0.0000	0.0000
barbarian_raider_ranged	ship	3.1000	3.1000	0.5500	1.7500	4.1500	3.1000	57.4000	57.4000	57.4000	12.0000	capsule	0.2800	57400.0000	3.5000	360.0000	360.0000	8.0000	875	true	true	1.1000	0.0000	0.0000
barbarian_roman_five	ship	2.5000	2.5000	0.4000	1.4000	3.4000	2.5000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	360.0000	360.0000	5.0000	817	true	true	1.1000	0.0000	0.0000
barbarian_roman_five_art	ship	2.5000	2.5000	0.4000	1.4000	3.4000	2.5000	90.0000	90.0000	90.0000	19.0000	capsule	0.2400	90000.0000	4.0000	30.0000	30.0000	5.0000	817	true	true	1.1000	0.0000	0.0000
