key	soldier_model	man_animations_table	type	missile_type	variant
#battle_personalities_tables;3;db/battle_personalities_tables/battle_personalities					
3c_Ala_Officer_Cav	target_marker	rome_man_spear_shield_cavalry	officer		3c_Ala_Officer_Cav
3c_Ala_Officer_Cav_Axe	target_marker	rome_man_sword_shield_cavalry	officer		3c_Ala_Officer_Cav_Axe
3c_Ala_Officer_Female	target_marker	rome_man_bow_cavalry	officer		3c_Ala_Officer_Female
3c_Ala_Officer_Inf	target_marker	rome_man_sword_shield	officer		3c_Ala_Officer_Inf
3c_Ala_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Ala_Officer_Lance
3c_Ala_Officer_Low_Tier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Ala_Officer_Low_Tier
3c_Ala_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Ala_Standard_Bearer
3c_Ara_Officer_Cavalry	target_marker	rome_man_spear_shield_cavalry	officer		3c_Ara_Officer_Cavalry
3c_Ara_Officer_Cavalry_Camel	target_marker	rome_man_camel_cavalry	officer		3c_Ara_Officer_Infantry
3c_Ara_Officer_Infantry	target_marker	rome_man_sword_shield_cavalry	officer		3c_Ara_Officer_Infantry
3c_Arm_Officer_Archer	target_marker	rome_man_bow_cavalry	officer		3c_Arm_Officer_Archer
3c_Arm_Officer_Cavalry	target_marker	rome_man_spear_shield_cavalry	officer		3c_Arm_Officer_Cavalry
3c_Arm_Officer_Elephants	target_marker	rome_man_elephant_cavalry	officer		3c_Arm_Officer_Elephants
3c_Arm_Officer_Infantry	target_marker	rome_man_sword_shield_cavalry	officer		3c_Arm_Officer_Infantry
3c_Arm_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Arm_Officer_Lance
3c_Arm_Officer_Low_Tier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Arm_Officer_Low_Tier
3c_Arm_Officer_Pike	target_marker	rome_man_pike	officer		3c_Arm_Officer_Pike
3c_Arm_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Arm_Standard_Bearer
3c_Arm_Standard_Bearer_Cloak	target_marker	rome_man_standard_bearer	standard_bearer		3c_Arm_Standard_Bearer_Cloak
3c_Aux_Officer_Cavalry	target_marker	rome_man_spear_shield_cavalry	officer		3c_Aux_Officer_Cavalry
3c_Aux_Officer_Eastern	target_marker	rome_man_sword_shield_cavalry	officer		3c_Aux_Officer_Eastern
3c_Aux_Officer_Eastern_Cav	target_marker	rome_man_spear_shield_cavalry	officer		3c_Aux_Officer_Eastern_Cav
3c_Aux_Officer_Egyptian_Pike	target_marker	rome_man_pike	officer		3c_Aux_Officer_Egyptian_Pike
3c_Aux_Officer_Infantry	target_marker	rome_man_sword_shield	officer		3c_Aux_Officer_Infantry
3c_Aux_Officer_Pike	target_marker	rome_man_pike	officer		3c_Aux_Officer_Pike
3c_Cal_Officer_Cavalry	target_marker	rome_man_spear_shield_cavalry	officer		3c_Cal_Officer_Cavalry
3c_Cal_Officer_Chariot	target_marker	rome_man_chariot_rider_javelin	officer		3c_Cal_Officer_Infantry
3c_Cal_Officer_Infantry	target_marker	rome_man_sword_shield	officer		3c_Cal_Officer_Infantry
3c_Cal_Officer_LowTier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Cal_Officer_LowTier
3c_Cal_Scatha_Officer	target_marker	rome_man_sword_shield_cavalry	officer		3c_Cal_Scatha_Officer
3c_Cal_Scatha_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Cal_Scatha_Standard_Bearer
3c_Cal_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Cal_Standard_Bearer
3c_Cal_Standard_Bearer_LowTier	target_marker	rome_man_standard_bearer	standard_bearer		3c_Cal_Standard_Bearer_LowTier
3c_Gal_Officer	target_marker	rome_man_sword_shield_cavalry	officer		3c_Gal_Officer_Infantry
3c_Gal_Officer_Cav	target_marker	rome_man_spear_shield_cavalry	officer		3c_Gal_Officer_Cavalry
3c_Gal_Officer_Chariot	target_marker	rome_man_chariot_rider_javelin	officer		3c_Gal_Officer_Infantry
3c_Gal_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Gal_Officer_Lance
3c_Gal_Officer_infantry_Scutum	target_marker	rome_man_sword_shield_cavalry	officer		3c_Gal_Officer_infantry_Scutum
3c_Ger_Officer_Cavalry	target_marker	rome_man_spear_shield_cavalry	officer		3c_Ger_Officer_Cavalry
3c_Ger_Officer_Infantry	target_marker	rome_man_sword_shield	officer		3c_Ger_Officer_Infantry
3c_Ger_Officer_LowTier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Ger_Officer_LowTier
3c_Ger_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Ger_Standard_Bearer
