battle_type	attacker_victory_condition	defender_victory_condition
#battle_types_to_victory_conditions_tables;2;db/battle_types_to_victory_conditions_tables/battle_types_to_victory_conditions		
ambush	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
capture_point	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS
classic	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
coastal_battle	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
limes	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
limes	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
naval	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
naval_siege	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_SETTLEMENT	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
naval_siege	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
river_crossing_battle	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
river_crossing_battle	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
siege	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_SETTLEMENT	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
siege	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
unfortified_port	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
unfortified_settlement	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
