key	category	model	audio_material	hit_points	gun_type	onscreen_name	ignition_threshold	radar_icon	visible_in_public_ted	fortwall_penetration_chance	collision_3d	destruct_thresholds	joiner	auxiliary	burn_rate
#battlefield_buildings_tables;15;db/battlefield_buildings_tables/battlefield_buildings															
30_30_10	generic	30_30_10	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
30_30_10_45	generic	30_30_10_45	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
30_30_30	generic	30_30_30	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
30_60_10_30	generic	30_60_10_30	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
30_60_10_30mirrored	generic	30_60_10_30mirrored	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
60_20_10	generic	60_20_10	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
60_20_30	generic	60_20_30	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
60_60_10	generic	60_60_10	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
60_60_10_45	generic	60_60_10_45	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
60_60_30	generic	60_60_30	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
acropolis_plinth_a	generic	acropolis_plinth_a	stone	500			100		false	0	true		false	false	1.0000
altar_of_zeus_at_pergamon	generic	altar_of_zeus_at_pergamon	stone	500			100		false	0	true		false	false	1.0000
amphitheater	generic	amphitheater	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
archerytarget	incidental	archerytarget	stone	10		building	100		false	0	true		false	false	1.0000
arena	generic	arena	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
athens_acropolis	generic	athens_acropolis	stone	500		fort_wall	100		false	0	true		false	false	1.0000
athens_acropolis_1	generic	athens_acropolis_1	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
athens_acropolis_2	generic	athens_acropolis_2	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
athens_acropolis_3	generic	athens_acropolis_3	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
athens_acropolis_4	generic	athens_acropolis_4	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
axe	incidental	axe	stone	10		building	100		false	0	true		false	false	1.0000
bam_citadel	generic	bam_citadel	stone	500			100		false	0	true		false	false	1.0000
banner01	incidental	banner01	stone	10		building	100		false	0	true		false	false	1.0000
banner02	incidental	banner02	stone	10		building	100		false	0	true		false	false	1.0000
banner03	incidental	banner03	stone	10		building	100		false	0	true		false	false	1.0000
banner04	incidental	banner04	stone	10		building	100		false	0	true		false	false	1.0000
bannerbig_01	incidental	bannerbig_01	stone	10		building	100		false	0	true		false	false	1.0000
bannerbig_02	incidental	bannerbig_02	stone	10		building	100		false	0	true		false	false	1.0000
bannerbig_03	incidental	bannerbig_03	stone	10		building	100		false	0	true		false	false	1.0000
bannerbig_04	incidental	bannerbig_04	stone	10		building	100		false	0	true		false	false	1.0000
bannerhuge	incidental	bannerhuge	stone	10		building	100		false	0	true		false	false	1.0000
barbarian_ahouse_1	generic	barbarian_ahouse_1	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_ahouse_2	generic	barbarian_ahouse_2	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_city_building_1	generic	barbarian_city_building_1	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_city_building_2	generic	barbarian_city_building_2	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_court_corner	generic	barbarian_court_corner	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_court_door	generic	barbarian_court_door	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_court_wall	generic	barbarian_court_wall	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_dolmens_big01	generic	barbarian_dolmens_big01	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_dolmens_big02	generic	barbarian_dolmens_big02	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_dolmens_curve	generic	barbarian_dolmens_curve	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_dolmens_gate	generic	barbarian_dolmens_gate	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_dolmens_medium	generic	barbarian_dolmens_medium	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_dolmens_pileofrocks	generic	barbarian_dolmens_pileofrocks	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_dolmens_small	generic	barbarian_dolmens_small	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_fort_bridgingcolumn_left	fort_wall	barbarian_fort_bridgingcolumn_left	stone	1800		fort_wall	100		false	0	true	0.7	false	true	1.0000
barbarian_fort_bridgingcolumn_right	fort_wall	barbarian_fort_bridgingcolumn_right	stone	1800		fort_wall	100		false	0	true	0.7	false	true	1.0000
barbarian_fort_curve_20m_radius	fort_wall	barbarian_fort_curve_20m_radius	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_curve_60m_radius	fort_wall	barbarian_fort_curve_60m_radius	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_curved_bastion	unbreachable_fort_wall	barbarian_fort_curved_bastion	stone	2300		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_endcap_left	fort_wall	barbarian_fort_endcap_left	stone	1800		fort_wall	100		false	0	true		false	false	1.0000
barbarian_fort_endcap_right	fort_wall	barbarian_fort_endcap_right	stone	1800		fort_wall	100		false	0	true		false	false	1.0000
barbarian_fort_gateway_a	gate	barbarian_fort_gateway_a	stone	2800		gate	3000		false	0	true	0.7	false	false	4.0000
barbarian_fort_internal_curve_20m_radius	fort_wall	barbarian_fort_internal_curve_20m_radius	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_kink_left	fort_wall	barbarian_fort_kink_left	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_kink_right	fort_wall	barbarian_fort_kink_right	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_step_down_a	fort_wall	barbarian_fort_step_down_a	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_step_up_a	fort_wall	barbarian_fort_step_up_a	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_straight	fort_wall	barbarian_fort_straight	stone	1800		fort_wall	100		false	0	true	0.7	false	false	1.0000
barbarian_fort_watchtower_b	fort_tower	barbarian_fort_watchtower_b	wood	950	tower_watchtower	watchtower	650		false	0	true	0.7	false	false	1.0000
barbarian_grain_store	generic	barbarian_grain_store	wood	200		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_longhouse_1	generic	barbarian_longhouse_1	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_longhouse_2	generic	barbarian_longhouse_2	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_marchingcamp_equipment01	incidental	barbarian_marchingcamp_equipment01	stone	10		building	100		false	0	true		false	false	1.0000
barbarian_marchingcamp_table	incidental	barbarian_marchingcamp_table	wood	10		building	100		false	0	true		false	false	1.0000
barbarian_roundhouse_1	generic	barbarian_roundhouse_1	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_roundhouse_2	generic	barbarian_roundhouse_2	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_roundhouse_3	generic	barbarian_roundhouse_3	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_roundhouse_4	generic	barbarian_roundhouse_4	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_standing_stone_a	generic	barbarian_standing_stone_a	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_townhouse_1	generic	barbarian_townhouse_1	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_townhouse_2	generic	barbarian_townhouse_2	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_townhouse_3	generic	barbarian_townhouse_3	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
barbarian_woven_fence_10m	incidental	barbarian_woven_fence_10m	wood	10		building	100		false	0	true		false	false	1.0000
barrel	incidental	barrel	wood	10		building	100		false	0	true		false	false	1.0000
battle_prop_cart_flag1	incidental	battle_prop_cart_flag1	stone	10		building	100		false	0	true		false	false	1.0000
battle_prop_cart_flag2	incidental	battle_prop_cart_flag2	stone	10		building	100		false	0	true		false	false	1.0000
battle_prop_cart_flag3	incidental	battle_prop_cart_flag3	stone	10		building	100		false	0	true		false	false	1.0000
battle_prop_roman_flag1	incidental	battle_prop_roman_flag1	stone	10		building	100		false	0	true		false	false	1.0000
battle_prop_roman_flag2	incidental	battle_prop_roman_flag2	stone	10		building	100		false	0	true		false	false	1.0000
battle_prop_roman_flag3	incidental	battle_prop_roman_flag3	stone	10		building	100		false	0	true		false	false	1.0000
black_sea_serender	generic	black_sea_serender	wood	500			100		false	0	true		false	false	1.0000
boulder_a	generic	boulder_a	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_b	generic	boulder_b	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_c	generic	boulder_c	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_d	generic	boulder_d	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_e	generic	boulder_e	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_f	generic	boulder_f	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_g	generic	boulder_g	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_small_a	generic	boulder_small_a	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_small_b	generic	boulder_small_b	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_small_c	generic	boulder_small_c	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_small_d	generic	boulder_small_d	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
boulder_small_e	generic	boulder_small_e	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
braizer	incidental	braizer	stone	10		building	100		false	0	true		false	false	1.0000
brasero_lions	generic	brasero_lions	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
bridge_wood_1	bridge	bridge_wood_1	wood	200		bridge	100	bridge.tga	false	0	true		false	false	1.0000
bridge_wood_1_end	bridge	bridge_wood_1_end	wood	200		bridge	100	bridge.tga	false	0	true		false	false	1.0000
bridge_wood_2	bridge	bridge_wood_2	wood	200		bridge	100	bridge.tga	false	0	true		false	false	1.0000
bridge_wood_20m	bridge	bridge_wood_20m	wood	15		bridge	100	bridge.tga	false	0	true		false	false	1.0000
bridge_wood_20m_end	bridge	bridge_wood_20m_end	wood	15		bridge	100	bridge.tga	false	0	true		false	false	1.0000
bridge_wood_2_end	bridge	bridge_wood_2_end	wood	200		bridge	100	bridge.tga	false	0	true		false	false	1.0000
bridge_wood_complete	bridge	bridge_wood_complete	wood	15		bridge	100		false	0	true		false	false	1.0000
bunting_attached_14m	incidental	bunting_attached_14m	stone	10		building	100		false	0	true		false	false	1.0000
bunting_attached_14m_side	incidental	bunting_attached_14m_side	stone	10		building	100		false	0	true		false	false	1.0000
bunting_attached_8m	incidental	bunting_attached_8m	stone	10		building	100		false	0	true		false	false	1.0000
bunting_attached_8m_side	incidental	bunting_attached_8m_side	stone	10		building	100		false	0	true		false	false	1.0000
bunting_hanging_14m	incidental	bunting_hanging_14m	stone	10		building	100		false	0	true		false	false	1.0000
bunting_hanging_8m	incidental	bunting_hanging_8m	stone	10		building	100		false	0	true		false	false	1.0000
camp_fire	incidental	camp_fire	stone	10		building	100		false	0	true		false	false	1.0000
carport_stable	incidental	carport_stable	wood	50		building	100		false	0	true		false	false	1.0000
cart_1	incidental	cart_1	wood	50		building	100		false	0	true		false	false	1.0000
cart_2	incidental	cart_2	wood	50		building	100		false	0	true		false	false	1.0000
carthage_cothon_ring_v6	generic	carthage_cothon_ring_v6	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
carthage_lighthouse	generic	carthage_lighthouse	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
chickencoop	incidental	chickencoop	wood	10		building	100		false	0	true		false	false	1.0000
cinematic_barbarian_funerary_bier	incidental	cinematic_barbarian_funerary_bier	stone	10		building	100		false	0	true		false	false	1.0000
cinematic_basilica	generic	cinematic_basilica	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_basilica_julia	generic	cinematic_basilica_julia	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_bog	generic	cinematic_bog	stone	15			100		false	0	true		false	false	1.0000
cinematic_bog_bridge	generic	cinematic_bog_bridge	stone	15			100		false	0	true		false	false	1.0000
cinematic_brazier_lions	incidental	cinematic_brazier_lions	stone	10			100		false	0	true		false	false	1.0000
cinematic_braziers	incidental	cinematic_braziers	stone	10		building	100		false	0	true		false	false	1.0000
cinematic_bundles_sticks	generic	cinematic_bundles_sticks	stone	15			100		false	0	true		false	false	1.0000
cinematic_cart2_broken	generic	cinematic_cart2_broken	stone	20			100		false	0	true		false	false	1.0000
