key	battlefield_siege_vehicle	level	type
#battlefield_deployable_siege_items_tables;4;db/battlefield_deployable_siege_items_tables/battlefield_deployable_siege_items			
battering_ram_heavy	battering_ram_heavy	2	battering_rams
battering_ram_light	battering_ram_light	0	battering_rams
battering_ram_medium	battering_ram_medium	1	battering_rams
gallery_heavy	gallery_heavy	2	galleries
gallery_light	gallery_light	0	galleries
gallery_medium	gallery_medium	1	galleries
sambuca	sambuca	1	sambuca
siege_ladder_15m	siege_ladder_15m	0	15m_siege_ladders
siege_ladder_8m	siege_ladder_8m	0	8m_siege_ladders
siege_tower_15m_heavy	siege_tower_15m_heavy	2	15m_siege_towers
siege_tower_15m_light	siege_tower_15m_light	0	15m_siege_towers
siege_tower_15m_medium	siege_tower_15m_medium	1	15m_siege_towers
siege_tower_8m_heavy	siege_tower_8m_heavy	2	8m_siege_towers
siege_tower_8m_light	siege_tower_8m_light	0	8m_siege_towers
siege_tower_8m_medium	siege_tower_8m_medium	1	8m_siege_towers
tortoise	tortoise	0	tortoise
