key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	can_move
#battlefield_engines_tables;4;db/battlefield_engines_tables/battlefield_engines								
ballista_giant	rome_ballista_giant_destroyed	rome_ballista_giant_destruction_anim	Rome_Ballista_Giant	rome_engine_ballista_giant	rome_ballista_giant	rome_ballista_giant	artillery_ballista_giant	false
ballista_medium	rome_ballista_medium_destroyed	rome_ballista_medium_destruction_anim	Rome_Ballista_Medium	rome_engine_ballista_medium	rome_ballista_medium	rome_ballista_medium	artillery_ballista_medium	true
ballista_medium_bastion	rome_ballista_medium_ship_destroyed	rome_ballista_medium_ship_destruction_anim	Rome_Ballista_Medium	rome_engine_ballista_medium	rome_ballista_medium_bastion	rome_ballista_medium_ship	artillery_ballista_medium	false
ballista_medium_ship	rome_ballista_medium_ship_destroyed	rome_ballista_medium_ship_destruction_anim	Rome_Ballista_Medium_Ship	rome_engine_ballista_medium	rome_ballista_shp	rome_ballista_medium_ship	artillery_ballista_medium_shp	false
beehive_thrower	rome_onager_destroyed	rome_onager_destruction_anim	Rome_Onager	rome_engine_onager	rome_beehive	rome_onager	artillery_onager	true
cheiroballistra	rome_cheiroballistra_destroyed	rome_cheiroballistra_destruction_anim	Rome_Cheiroballistra	rome_engine_cheiroballistra	rome_cheiroballistra	rome_cheiroballistra	artillery_light	true
harpax	rome_harpax_destroyed	rome_harpax_destruction_anim	Rome_Ballista_Medium	rome_engine_harpax	rome_scorpio	rome_harpax	artillery_light	false
onager	rome_onager_destroyed	rome_onager_destruction_anim	Rome_Onager	rome_engine_onager	rome_onager	rome_onager	artillery_onager	true
onager_bastion	rome_onager_ship_destroyed	rome_onager_ship_destruction_anim	Rome_Onager	rome_engine_onager	rome_onager_bastion	rome_onager_ship	artillery_onager	false
onager_large	rome_onager_large_destroyed	rome_onager_large_destruction_anim	Rome_Onager_Large	rome_engine_onager_large	rome_onager_large	rome_onager_large	artillery_onager_large	true
onager_prologue	rome_ballista_medium_destroyed	rome_ballista_medium_destruction_anim	Rome_Ballista_Medium	rome_engine_ballista_medium	rome_onager_prologue	rome_ballista_medium	artillery_ballista_medium	false
onager_ship	rome_onager_ship_destroyed	rome_onager_ship_destruction_anim	Rome_Onager_Ship	rome_engine_onager	rome_onager_shp	rome_onager_ship	artillery_onager_shp	false
polybolos	rome_polybolos_destroyed	rome_polybolos_destruction_anim	Rome_Polybolos	rome_engine_polybolos	rome_polybolos	rome_polybolos	artillery_light	false
polybolos_autonomous	rome_polybolos_destroyed	rome_polybolos_destruction_anim	Rome_Polybolos_Fixed	rome_engine_polybolos	rome_polybolos	rome_polybolos	artillery_light	false
polybolos_bastion	rome_polybolos_destroyed	rome_polybolos_destruction_anim	Rome_Polybolos	rome_engine_polybolos	rome_polybolos_bastion	rome_polybolos	artillery_light	false
scorpio	rome_scorpio_destroyed	rome_scorpio_destruction_anim	Rome_Scorpio	rome_engine_scorpio	rome_scorpio	rome_scorpio	artillery_light	false
scorpio_autonomous	rome_scorpio_destroyed	rome_scorpio_destruction_anim	Rome_Scorpio_Fixed	rome_engine_scorpio	rome_scorpio	rome_scorpio	artillery_light	false
scorpio_bastion	rome_scorpio_destroyed	rome_scorpio_destruction_anim	Rome_Scorpio	rome_engine_scorpio	rome_scorpio_bastion	rome_scorpio	artillery_light	false
scorpio_shp	rome_scorpio_destroyed	rome_scorpio_destruction_anim	Rome_Scorpio	rome_engine_scorpio	shp_scorpion	rome_scorpio	artillery_light_shp	false
scorpion_pot_thrower	rome_ballista_medium_destroyed	rome_ballista_medium_destruction_anim	Rome_Ballista_Medium	rome_engine_ballista_medium	rome_scorpion_pot	rome_ballista_medium	artillery_ballista_medium	true
snake_pot_thrower	rome_ballista_medium_destroyed	rome_ballista_medium_destruction_anim	Rome_Ballista_Medium	rome_engine_ballista_medium	rome_snake_pot	rome_ballista_medium	artillery_ballista_medium	true
