building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/building_chain_availability_sets	
3c_all_cults	3c_all_cults
3c_armenia_military	3c_armenia_military
3c_barb_agriculture	3c_barb_agriculture
3c_barb_agriculture_nomad	3c_barb_agriculture_nomad
3c_barb_amber	3c_barb_amber
3c_barb_artisan	3c_barb_artisan
3c_barb_city	3c_barb_city
3c_barb_commons	3c_barb_commons
3c_barb_commons_nomad	3c_barb_commons_nomad
3c_barb_craftsmen	3c_barb_craftsmen
3c_barb_resource_dummy	3c_barb_dummy_resource
3c_barb_glass	3c_barb_glass
3c_barb_gold	3c_barb_gold
3c_barb_grain	3c_barb_grain
3c_barb_horse	3c_barb_horse
3c_barb_iron	3c_barb_iron
3c_barb_lead	3c_barb_lead
3c_barb_leather	3c_barb_leather
3c_barb_lumber	3c_barb_lumber
3c_barb_marble	3c_barb_marble
3c_barb_military_buff	3c_barb_military_buff
3c_barb_mine	3c_barb_mine
3c_barb_navalbuff	3c_barb_navalbuff
3c_barb_olive	3c_barb_olive
3c_barb_port	3c_barb_port
3c_barb_purple_dye	3c_barb_purple_dye
3c_barb_religious_briton	3c_barb_religios_briton
3c_barb_religious_german	3c_barb_religios_germanic
3c_barb_religious_nomad	3c_barb_religios_nomad
3c_barb_religious	3c_barb_religious
3c_barb_silk	3c_barb_silk
3c_barb_town	3c_barb_town
3c_barb_water	3c_barb_water
3c_barb_wine	3c_barb_wine
3c_barbarian_cults	3c_barbarian_cults
3c_east_administration	3c_east_administration
3c_east_agriculture	3c_east_agriculture
3c_east_amber	3c_east_amber
3c_east_city	3c_east_city
3c_east_city_centre	3c_east_city_centre
3c_east_resource_dummy	3c_east_dummy_resource
3c_east_glass	3c_east_glass
3c_east_gold	3c_east_gold
3c_east_grain	3c_east_grain
3c_east_horse	3c_east_horse
3c_east_industry	3c_east_industry
3c_east_iron	3c_east_iron
3c_east_lead	3c_east_lead
3c_east_leather	3c_east_leather
3c_east_lumber	3c_east_lumber
3c_east_marble	3c_east_marble
3c_east_military_buff	3c_east_military_buff
3c_east_military_cav	3c_east_military_cav
3c_east_military_siege	3c_east_military_siege
