chain	slot
#building_chain_to_slots_tables;0;db/building_chain_to_slots_tables/building_chain_to_slots	
all_mine	settlement_sho_generic
barb_agriculture_nomad	settlement_sho_generic
barb_agriculture	settlement_sho_generic
barb_amber	settlement_castle
barb_artisan	settlement_sho_generic
barb_city	settlement_castle
barb_commons_nomad	settlement_sho_generic
barb_commons	settlement_sho_generic
barb_craftsmen	settlement_sho_generic
barb_glass	settlement_castle
barb_gold	settlement_castle
barb_grain	settlement_castle
barb_horse	settlement_castle
barb_iron	settlement_castle
barb_lead	settlement_castle
barb_leather	settlement_castle
barb_lumber	settlement_castle
barb_marble	settlement_castle
barb_military_buff	settlement_sho_generic
barb_olive	settlement_castle
barb_port	settlement_sho_generic
barb_purple_dye	settlement_castle
barb_religious_briton	settlement_sho_generic
barb_religious_dacian	settlement_sho_generic
barb_religious_gaul	settlement_sho_generic
barb_religious_german	settlement_sho_generic
barb_religious_iberian	settlement_sho_generic
barb_religious_illyrian	settlement_sho_generic
barb_religious_nomad	settlement_sho_generic
barb_religious_thrace	settlement_sho_generic
barb_religious	settlement_sho_generic
barb_silk	settlement_castle
barb_town	settlement_castle
barb_water	settlement_sho_generic
barb_wine	settlement_castle
pro_ROMAN_city_major	settlement_castle
pro_ROMAN_military_equipment	settlement_sho_generic
pun_ROMAN_military_main	settlement_sho_generic
rom_ALL_industry_minor	settlement_sho_generic
rom_BARBARIAN_city_minor_fish	settlement_castle
rom_BARBARIAN_city_minor_glass	settlement_castle
rom_BARBARIAN_city_minor_gold	settlement_castle
rom_BARBARIAN_city_minor_grain	settlement_castle
rom_BARBARIAN_city_minor_hides	settlement_castle
rom_BARBARIAN_city_minor_iron	settlement_castle
rom_BARBARIAN_city_minor_limestone	settlement_castle
rom_BARBARIAN_city_minor_marble	settlement_castle
rom_BARBARIAN_city_minor_olives	settlement_castle
rom_BARBARIAN_city_minor_purple_dye	settlement_castle
rom_BARBARIAN_city_minor_silk	settlement_castle
rom_BARBARIAN_city_minor_silver	settlement_castle
rom_BARBARIAN_city_minor_timber	settlement_castle
rom_BARBARIAN_city_minor_township	settlement_castle
rom_BARBARIAN_city_minor_wine	settlement_castle
rom_BARBARIAN_religious_celtic_minor	settlement_sho_generic
rom_BARBARIAN_religious_dacian_minor	settlement_castle
rom_BARBARIAN_religious_dacian	settlement_castle
rom_BARBARIAN_religious_germanic_minor	settlement_sho_generic
rom_BARBARIAN_religious_iberian_minor	settlement_castle
rom_BARBARIAN_religious_iberian	settlement_castle
rom_BARBARIAN_religious_illyrian_minor	settlement_castle
rom_BARBARIAN_religious_illyrian	settlement_castle
rom_BARBARIAN_religious_nomad_minor	settlement_castle
rom_BARBARIAN_religious_nomad	settlement_castle
rom_BARBARIAN_religious_thracian_minor	settlement_castle
rom_BARBARIAN_religious_thracian	settlement_castle
rom_EASTERN_city_minor_fish	settlement_castle
rom_EASTERN_city_minor_glass	settlement_castle
rom_EASTERN_city_minor_gold	settlement_castle
rom_EASTERN_city_minor_grain	settlement_castle
rom_EASTERN_city_minor_hides	settlement_castle
rom_EASTERN_city_minor_iron	settlement_castle
rom_EASTERN_city_minor_limestone	settlement_castle
rom_EASTERN_city_minor_marble	settlement_castle
rom_EASTERN_city_minor_olives	settlement_castle
rom_EASTERN_city_minor_purple_dye	settlement_castle
rom_EASTERN_city_minor_silk	settlement_castle
rom_EASTERN_city_minor_silver	settlement_castle
rom_EASTERN_city_minor_timber	settlement_castle
rom_EASTERN_city_minor_township	settlement_castle
rom_EASTERN_city_minor_wine	settlement_castle
rom_HELLENIC_city_minor_fish	settlement_castle
rom_HELLENIC_city_minor_glass	settlement_castle
rom_HELLENIC_city_minor_gold	settlement_castle
rom_HELLENIC_city_minor_grain	settlement_castle
rom_HELLENIC_city_minor_hides	settlement_castle
rom_HELLENIC_city_minor_iron	settlement_castle
rom_HELLENIC_city_minor_limestone	settlement_castle
rom_HELLENIC_city_minor_marble	settlement_castle
rom_HELLENIC_city_minor_olives	settlement_castle
rom_HELLENIC_city_minor_purple_dye	settlement_castle
rom_HELLENIC_city_minor_silk	settlement_castle
rom_HELLENIC_city_minor_silver	settlement_castle
rom_HELLENIC_city_minor_timber	settlement_castle
rom_HELLENIC_city_minor_township	settlement_castle
rom_HELLENIC_city_minor_wine	settlement_castle
rom_HELLENIC_temple_PTOLEMAIC	settlement_castle
rom_HELLENIC_temple_PUNIC	settlement_castle
rom_HELLENIC_temple_minor_PTOLEMAIC	settlement_castle
rom_HELLENIC_temple_minor_PUNIC	settlement_castle
rom_ROMAN_city_major	settlement_castle
rom_ROMAN_city_minor_fish	settlement_castle
rom_ROMAN_city_minor_glass	settlement_castle
rom_ROMAN_city_minor_gold	settlement_castle
rom_ROMAN_city_minor_grain	settlement_castle
rom_ROMAN_city_minor_hides	settlement_castle
rom_ROMAN_city_minor_iron	settlement_castle
rom_ROMAN_city_minor_limestone	settlement_castle
rom_ROMAN_city_minor_marble	settlement_castle
rom_ROMAN_city_minor_olives	settlement_castle
rom_ROMAN_city_minor_purple_dye	settlement_castle
rom_ROMAN_city_minor_silk	settlement_castle
rom_ROMAN_city_minor_silver	settlement_castle
rom_ROMAN_city_minor_timber	settlement_castle
rom_ROMAN_city_minor_township	settlement_castle
rom_ROMAN_city_minor_wine	settlement_castle
rom_ROMAN_city_slot	settlement_sho_generic
rom_ROMAN_military_buff	settlement_sho_generic
rom_ROMAN_military_equipment	settlement_sho_generic
rom_ROMAN_military_main	settlement_sho_generic
rom_ROMAN_outskirts	settlement_sho_generic
