key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain
#building_chains_tables;2;db/building_chains_tables/building_chains					
3c_all_cults			cult	false	3c_rom_cults
3c_armenia_military			military	false	MilitaryMain
3c_barb_agriculture			money	false	Agriculture
3c_barb_agriculture_nomad			money	false	Agriculture
3c_barb_amber			military	true	ResourceAmber
3c_barb_artisan			military	true	MilitaryMain
3c_barb_city			military	true	SettlementMajor
3c_barb_commons			money	true	CityCentre
3c_barb_commons_nomad			money	true	CityCentre
3c_barb_craftsmen			military	true	MilitarySecondary
3c_barb_glass			military	true	ResourceGlass
3c_barb_gold			military	true	ResourceGold
3c_barb_grain			military	true	ResourceGrain
3c_barb_horse			military	true	ResourceHorse
3c_barb_iron			military	true	ResourceIron
3c_barb_lead			military	true	ResourceLead
3c_barb_leather			military	true	ResourceLeather
3c_barb_lumber			military	true	ResourceLumber
3c_barb_marble			military	true	ResourceMarble
3c_barb_military_buff			military	true	MilitaryBuff
3c_barb_mine			money	true	Mine
3c_barb_navalbuff			military	false	NavalBuff
3c_barb_olive			military	true	ResourceOlive
3c_barb_port			military	true	Port
3c_barb_purple_dye			military	true	ResourceDye
3c_barb_religious			temple	false	Temple
3c_barb_religious_briton			temple	false	Temple
3c_barb_religious_german			temple	false	Temple
3c_barb_religious_nomad			temple	false	Temple
3c_barb_resource_dummy			money	false	3c_resource_dummy
3c_barb_silk			military	true	ResourceSilk
3c_barb_town			military	true	SettlementMinor
3c_barb_water			happiness	true	SanitationBarb
3c_barb_wine			military	true	ResourceWine
3c_barbarian_cults			cult	false	3c_rom_cults
3c_east_administration			money	true	3c_rom_administration
3c_east_agriculture			money	true	Agriculture
3c_east_amber			military	true	ResourceAmber
3c_east_city			military	true	SettlementMajor
3c_east_city_centre			money	true	CityCentre
3c_east_glass			military	true	ResourceGlass
3c_east_gold			military	true	ResourceGold
3c_east_grain			military	true	ResourceGrain
3c_east_horse			military	true	ResourceHorse
