building	culture	subculture	faction	battlefield_building	artpiece	artpiece_animated	description	icon	disables	short_description	flavour	display_tooltip
#building_culture_variants_tables;3;db/building_culture_variants_tables/building_culture_variants												
3c_armenia_military_cavalry_4	rom_Eastern		3c_armenia		campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_military_buff_cav_5	false	twr2_rome_eastern_Royal_barracks_short	twr2_rome_eastern_Levy_camp_flavour	true
3c_armenia_military_infantry_1	rom_Eastern		3c_armenia		campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_military_main_1	false	twr2_rome_eastern_Levy_camp_short	twr2_rome_eastern_Levy_camp_flavour	true
3c_armenia_military_infantry_2	rom_Eastern		3c_armenia		campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_military_main_aux_3	false	twr2_rome_eastern_Infantry_tents_short	twr2_rome_eastern_Levy_camp_flavour	true
3c_armenia_military_infantry_3	rom_Eastern		3c_armenia		campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_military_main_aux_4	false	twr2_rome_eastern_Infantry_quarters_short	twr2_rome_eastern_Levy_camp_flavour	true
3c_armenia_military_infantry_4	rom_Eastern		3c_armenia		campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_ROMAN_military_main_aux_5	false	twr2_rome_eastern_Royal_barracks_short	twr2_rome_eastern_Levy_camp_flavour	true
3c_barb_agriculture_1	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_1	false	twr2_rome_barbarian_Enclosed_land_short	twr2_rome_barbarian_Enclosed_land_flavour	true
3c_barb_agriculture_cattle_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_cattle_3	false	twr2_rome_barbarian_Cattle_pens_short	twr2_rome_barbarian_Cattle_pens_flavour	true
3c_barb_agriculture_cattle_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_cattle_4	false	twr2_rome_barbarian_Cattle_farm_short	twr2_rome_barbarian_Cattle_pens_flavour	true
3c_barb_agriculture_cattle_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_cattle_5	false	twr2_rome_barbarian_Cattle_ranch_short	twr2_rome_barbarian_Cattle_pens_flavour	true
3c_barb_agriculture_farm_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_grain_3	false	twr2_rome_barbarian_Field_short	twr2_rome_barbarian_Field_flavour	true
3c_barb_agriculture_farm_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_grain_4	false	twr2_rome_barbarian_Farm_short	twr2_rome_barbarian_Field_flavour	true
3c_barb_agriculture_farm_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_food_grain_5	false	twr2_rome_barbarian_Lynchet_short	twr2_rome_barbarian_Field_flavour	true
3c_barb_agriculture_horse_2	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_stables_3	false	twr2_rome_barbarian_Horse_pens_short	twr2_rome_barbarian_Horse_pens	true
3c_barb_agriculture_horse_3	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_stables_4	false	twr2_rome_barbarian_Stables_short	twr2_rome_barbarian_Horse_pens	true
3c_barb_agriculture_horse_4	rom_Barbarian				campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_stables_5	false	twr2_rome_barbarian_Horse_ranch_short	twr2_rome_barbarian_Horse_pens	true
3c_barb_agriculture_nomad_1		sc_rom_barb_east			campaign_sho_castle_1_fort		rom_PLACEHOLDER	rom_BARBARIAN_enclosure_1	false	twr2_rome_barbarian_Enclosed_land_short	twr2_rome_barbarian_Enclosed_land_flavour	true
