building_level_key	technology_key
#building_level_required_technology_junctions_tables;0;db/building_level_required_technology_junctions_tables/building_level_required_technology_junctions	
3c_armenia_military_cavalry_4	3c_armenia_military_recruitment_reorganize_military_hierarchy
3c_armenia_military_cavalry_4	3c_sassanid_military_recruitment_reorganize_your_military_hierarchy
3c_armenia_military_infantry_2	3c_armenia_military_recruitment_exact_your_levies
3c_armenia_military_infantry_3	3c_armenia_military_recruitment_emphasize_on_your_cavalry
3c_armenia_military_infantry_4	3c_armenia_military_recruitment_reorganize_military_hierarchy
3c_armenia_military_infantry_4	3c_sassanid_military_recruitment_reorganize_your_military_hierarchy
3c_barb_agriculture_cattle_2	3c_gothi_civil_economy_allocate_land
3c_barb_agriculture_cattle_3	3c_gothi_civil_economy_select_workers
3c_barb_agriculture_cattle_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_agriculture_farm_2	3c_gothi_civil_economy_allocate_land
3c_barb_agriculture_farm_3	3c_gothi_civil_economy_select_workers
3c_barb_agriculture_farm_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_agriculture_horse_2	3c_gothi_military_recruitment_gather_brave_souls
3c_barb_agriculture_horse_3	3c_gothi_military_recruitment_lead_by_example
3c_barb_agriculture_horse_4	3c_gothi_military_recruitment_instill_military_discipline
3c_barb_agriculture_nomad_camp_2	3c_gothi_civil_economy_allocate_land
3c_barb_agriculture_nomad_camp_3	3c_gothi_civil_economy_select_workers
3c_barb_agriculture_nomad_camp_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_agriculture_nomad_herd_2	3c_gothi_military_recruitment_gather_brave_souls
3c_barb_agriculture_nomad_herd_3	3c_gothi_military_recruitment_lead_by_example
3c_barb_agriculture_nomad_herd_4	3c_gothi_military_recruitment_instill_military_discipline
3c_barb_agriculture_nomad_weaver_2	3c_gothi_civil_economy_allocate_land
3c_barb_agriculture_nomad_weaver_3	3c_gothi_civil_economy_select_workers
3c_barb_agriculture_nomad_weaver_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_amber_2	3c_gothi_civil_governance_gain_recognition
3c_barb_amber_3	3c_gothi_civil_governance_gather_able_men
3c_barb_amber_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_artisan_bronze_2	3c_gothi_military_recruitment_gather_brave_souls
3c_barb_artisan_bronze_3	3c_gothi_military_recruitment_lead_by_example
3c_barb_artisan_bronze_4	3c_gothi_military_recruitment_instill_military_discipline
3c_barb_artisan_coin_2	3c_gothi_civil_economy_oversee_natural_economy
3c_barb_artisan_coin_3	3c_gothi_civil_economy_set_up_markets
3c_barb_artisan_coin_4	3c_gothi_civil_economy_introduce_king_currency
3c_barb_artisan_maker_2	3c_gothi_civil_economy_allocate_land
3c_barb_artisan_maker_3	3c_gothi_civil_economy_select_workers
3c_barb_artisan_maker_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_city_2	3c_gothi_civil_governance_gain_recognition
3c_barb_city_3	3c_gothi_civil_governance_gather_able_men
3c_barb_city_industry_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_city_trade_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_city_tribal_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_commons_chieftan_2	3c_gothi_civil_governance_gain_recognition
3c_barb_commons_chieftan_3	3c_gothi_civil_governance_gather_able_men
3c_barb_commons_chieftan_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_commons_chieftan_5	3c_gothi_civil_governance_proclaim_legendary_reikdom
3c_barb_commons_chieftan_5	3c_marcomanni_civil_governance_proclaim_legendary_kingdom
3c_barb_commons_lore_2	3c_gothi_civil_culture_organize_feasts
3c_barb_commons_lore_3	3c_gothi_civil_culture_organize_fairs
3c_barb_commons_lore_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_commons_lore_4	3c_saxoni_civil_culture_venerate_the_irminsul
3c_barb_commons_market_2	3c_gothi_civil_economy_oversee_natural_economy
3c_barb_commons_market_3	3c_gothi_civil_economy_set_up_markets
3c_barb_commons_market_4	3c_gothi_civil_economy_introduce_king_currency
3c_barb_commons_nomad_chieftan_2	3c_gothi_civil_governance_gain_recognition
3c_barb_commons_nomad_chieftan_3	3c_gothi_civil_governance_gather_able_men
3c_barb_commons_nomad_chieftan_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_commons_nomad_lore_2	3c_gothi_civil_culture_organize_feasts
3c_barb_commons_nomad_lore_3	3c_gothi_civil_culture_organize_fairs
3c_barb_commons_nomad_lore_4	3c_alani_civil_culture_uphold_the_old_ways
3c_barb_commons_nomad_market_2	3c_gothi_civil_economy_oversee_natural_economy
3c_barb_commons_nomad_market_3	3c_gothi_civil_economy_set_up_markets
3c_barb_commons_nomad_market_4	3c_gothi_civil_economy_introduce_king_currency
3c_barb_commons_nomad_slave_2	3c_gothi_civil_economy_oversee_natural_economy
3c_barb_commons_nomad_slave_3	3c_gothi_civil_economy_set_up_markets
3c_barb_commons_nomad_storage_2	3c_gothi_civil_economy_allocate_land
3c_barb_commons_nomad_storage_3	3c_gothi_civil_economy_select_workers
3c_barb_commons_nomad_storage_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_commons_slave_2	3c_gothi_civil_economy_oversee_natural_economy
3c_barb_commons_slave_3	3c_gothi_civil_economy_set_up_markets
3c_barb_commons_storage_2	3c_gothi_civil_economy_allocate_land
3c_barb_commons_storage_3	3c_gothi_civil_economy_select_workers
3c_barb_commons_storage_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_craftsmen_pot_2	3c_gothi_civil_economy_allocate_land
3c_barb_craftsmen_pot_3	3c_gothi_civil_economy_select_workers
3c_barb_craftsmen_pot_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_craftsmen_salt_2	3c_gothi_civil_economy_oversee_natural_economy
3c_barb_craftsmen_salt_3	3c_gothi_civil_economy_set_up_markets
3c_barb_craftsmen_salt_4	3c_gothi_civil_economy_introduce_king_currency
3c_barb_craftsmen_wood_2	3c_gothi_military_recruitment_gather_brave_souls
3c_barb_craftsmen_wood_3	3c_gothi_military_recruitment_lead_by_example
3c_barb_craftsmen_wood_4	3c_gothi_military_recruitment_instill_military_discipline
3c_barb_glass_2	3c_gothi_civil_governance_gain_recognition
3c_barb_glass_3	3c_gothi_civil_governance_gather_able_men
3c_barb_glass_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_gold_2	3c_gothi_civil_governance_gain_recognition
3c_barb_gold_3	3c_gothi_civil_governance_gather_able_men
3c_barb_gold_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_grain_2	3c_gothi_civil_governance_gain_recognition
3c_barb_grain_3	3c_gothi_civil_governance_gather_able_men
3c_barb_grain_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_horse_2	3c_gothi_military_recruitment_intensify_physical_conditioning
3c_barb_horse_3	3c_gothi_military_recruitment_improve_cavalry_tactics
3c_barb_iron_armour_2	3c_gothi_military_recruitment_intensify_physical_conditioning
3c_barb_iron_armour_3	3c_gothi_military_recruitment_improve_cavalry_tactics
3c_barb_iron_weapon_2	3c_gothi_military_recruitment_intensify_physical_conditioning
3c_barb_iron_weapon_3	3c_gothi_military_recruitment_improve_cavalry_tactics
3c_barb_lead_2	3c_gothi_civil_governance_gain_recognition
3c_barb_lead_3	3c_gothi_civil_governance_gather_able_men
3c_barb_lead_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_leather_2	3c_gothi_civil_governance_gain_recognition
3c_barb_leather_3	3c_gothi_civil_governance_gather_able_men
3c_barb_leather_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_lumber_2	3c_gothi_civil_governance_gain_recognition
3c_barb_lumber_3	3c_gothi_civil_governance_gather_able_men
3c_barb_lumber_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_marble_2	3c_gothi_civil_governance_gain_recognition
3c_barb_marble_3	3c_gothi_civil_governance_gather_able_men
3c_barb_marble_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_military_buff_gold_2	3c_gothi_military_recruitment_intensify_physical_conditioning
3c_barb_military_buff_gold_3	3c_gothi_military_recruitment_improve_cavalry_tactics
3c_barb_military_buff_gold_4	3c_caledoni_military_recruitment_assign_retainers_to_elite
3c_barb_military_buff_gold_4	3c_gothi_military_recruitment_oversee_young_bloods
3c_barb_military_buff_grounds_2	3c_gothi_military_recruitment_intensify_physical_conditioning
3c_barb_military_buff_grounds_3	3c_gothi_military_recruitment_improve_cavalry_tactics
3c_barb_military_buff_grounds_4	3c_caledoni_military_recruitment_assign_retainers_to_elite
3c_barb_military_buff_grounds_4	3c_gothi_military_recruitment_oversee_young_bloods
3c_barb_military_buff_tavern_2	3c_gothi_military_recruitment_intensify_physical_conditioning
3c_barb_military_buff_tavern_3	3c_gothi_military_recruitment_improve_cavalry_tactics
3c_barb_military_buff_tavern_4	3c_caledoni_military_recruitment_assign_retainers_to_elite
3c_barb_military_buff_tavern_4	3c_gothi_military_recruitment_oversee_young_bloods
3c_barb_mine_2	3c_armenia_civil_economy_order_land_reclamation
3c_barb_mine_2	3c_gothi_civil_economy_allocate_land
3c_barb_mine_2	3c_rome_civil_economy_focus_on_local_production
3c_barb_mine_2	3c_sassanid_civil_economy_reclaim_your_desert
3c_barb_mine_3	3c_armenia_civil_economy_plan_irrigation_infrastructure
3c_barb_mine_3	3c_gothi_civil_economy_select_workers
3c_barb_mine_3	3c_rome_civil_economy_extend_labour_facilities
3c_barb_mine_3	3c_sassanid_civil_economy_plan_your_irrigation_infrastructure
3c_barb_mine_4	3c_armenia_civil_economy_implement_terraced_fields
3c_barb_mine_4	3c_gothi_civil_economy_improve_infrastructure
3c_barb_mine_4	3c_rome_civil_economy_restrict_the_coloni
3c_barb_mine_4	3c_sassanid_civil_economy_implenet_your_terraced_fields
3c_barb_navalbuff_2	3c_gothi_military_recruitment_intensify_physical_conditioning
3c_barb_navalbuff_3	3c_gothi_military_recruitment_improve_cavalry_tactics
3c_barb_navalbuff_4	3c_caledoni_military_recruitment_assign_retainers_to_elite
3c_barb_navalbuff_4	3c_gothi_military_recruitment_oversee_young_bloods
3c_barb_olive_2	3c_gothi_civil_governance_gain_recognition
3c_barb_olive_3	3c_gothi_civil_governance_gather_able_men
3c_barb_olive_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_port_fishing_2	3c_gothi_civil_economy_allocate_land
3c_barb_port_fishing_3	3c_gothi_civil_economy_select_workers
3c_barb_port_fishing_4	3c_gothi_civil_economy_improve_infrastructure
