building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/building_set_to_building_junctions			
	3c_rome_administration_1	3c_building_set_admin	false
	3c_rome_administration_security_2	3c_building_set_admin	false
	3c_rome_administration_security_3	3c_building_set_admin	false
	3c_rome_administration_spies_2	3c_building_set_admin	false
	3c_rome_administration_spies_3	3c_building_set_admin	false
	3c_rome_administration_taxes_2	3c_building_set_admin	false
	3c_rome_administration_taxes_3	3c_building_set_admin	false
	3c_rome_cult_christ_2	3c_building_set_christ_cult	false
	3c_rome_cult_christ_3	3c_building_set_christ_cult	false
	3c_rome_cult_christ_4	3c_building_set_christ_cult	false
	3c_sassanid_religious_christ_2	3c_building_set_christian	false
	3c_sassanid_religious_christ_3	3c_building_set_christian	false
	3c_sassanid_religious_christ_4	3c_building_set_christian	false
	3c_sassanid_religious_christ_5	3c_building_set_christian	false
3c_barb_commons		3c_building_set_city_centre	false
	3c_rome_cult_1	3c_building_set_cults	false
	3c_rome_cult_christ_2	3c_building_set_cults	false
	3c_rome_cult_christ_3	3c_building_set_cults	false
	3c_rome_cult_christ_4	3c_building_set_cults	false
	3c_rome_cult_manich_2	3c_building_set_cults	false
	3c_rome_cult_manich_3	3c_building_set_cults	false
	3c_rome_cult_manich_4	3c_building_set_cults	false
	3c_rome_cult_mithra_2	3c_building_set_cults	false
	3c_rome_cult_mithra_3	3c_building_set_cults	false
	3c_rome_cult_mithra_4	3c_building_set_cults	false
	3c_barb_agriculture_1	3c_building_set_farms	false
	3c_barb_agriculture_farm_2	3c_building_set_farms	false
	3c_barb_agriculture_farm_3	3c_building_set_farms	false
	3c_barb_agriculture_farm_4	3c_building_set_farms	false
	3c_rome_city_centre_circus_5	3c_building_set_gallic_entertainment	false
	3c_rome_city_centre_gladiator_2	3c_building_set_gallic_entertainment	false
	3c_rome_city_centre_gladiator_3	3c_building_set_gallic_entertainment	false
	3c_rome_city_centre_gladiator_4	3c_building_set_gallic_entertainment	false
	3c_rome_city_centre_gladiator_5	3c_building_set_gallic_entertainment	false
	3c_rome_sanitation_baths_2	3c_building_set_gallic_entertainment	false
	3c_rome_sanitation_baths_3	3c_building_set_gallic_entertainment	false
	3c_rome_sanitation_baths_4	3c_building_set_gallic_entertainment	false
	3c_rome_town_centre_theatre_2	3c_building_set_gallic_entertainment	false
	3c_rome_town_centre_theatre_3	3c_building_set_gallic_entertainment	false
	3c_rome_town_centre_theatre_4	3c_building_set_gallic_entertainment	false
	3c_rome_cult_manich_2	3c_building_set_manichean	false
	3c_rome_cult_manich_3	3c_building_set_manichean	false
	3c_rome_cult_manich_4	3c_building_set_manichean	false
	3c_rome_cult_mithra_2	3c_building_set_mithraic	false
	3c_rome_cult_mithra_3	3c_building_set_mithraic	false
	3c_rome_cult_mithra_4	3c_building_set_mithraic	false
3c_gallicemp_agriculture		3c_building_set_roman_civil	false
3c_gallicemp_religious		3c_building_set_roman_civil	false
3c_palmyra_religious		3c_building_set_roman_civil	false
3c_rome_administration		3c_building_set_roman_civil	false
3c_rome_agriculture		3c_building_set_roman_civil	false
3c_rome_city_centre		3c_building_set_roman_civil	false
3c_rome_industry		3c_building_set_roman_civil	false
	3c_rome_port_1	3c_building_set_roman_civil	false
	3c_rome_port_fish_2	3c_building_set_roman_civil	false
	3c_rome_port_fish_3	3c_building_set_roman_civil	false
	3c_rome_port_fish_4	3c_building_set_roman_civil	false
	3c_rome_port_trade_2	3c_building_set_roman_civil	false
	3c_rome_port_trade_3	3c_building_set_roman_civil	false
	3c_rome_port_trade_4	3c_building_set_roman_civil	false
3c_rome_religious		3c_building_set_roman_civil	false
3c_rome_sanitation		3c_building_set_roman_civil	false
3c_rome_town_centre		3c_building_set_roman_civil	false
	3c_rome_religious_sol_invictus_2	3c_building_set_sol_invictus	false
	3c_rome_religious_sol_invictus_3	3c_building_set_sol_invictus	false
	3c_rome_religious_sol_invictus_4	3c_building_set_sol_invictus	false
	3c_rome_religious_sol_invictus_5	3c_building_set_sol_invictus	false
	3c_barb_religious_german_wodanaz_2	3c_building_set_wodanaz	false
	3c_barb_religious_german_wodanaz_3	3c_building_set_wodanaz	false
	3c_barb_religious_german_wodanaz_4	3c_building_set_wodanaz	false
	3c_barb_agriculture_nomad_weaver_2	3c_builidng_set_nomad_sheep	false
	3c_barb_agriculture_nomad_weaver_3	3c_builidng_set_nomad_sheep	false
	3c_barb_agriculture_nomad_weaver_4	3c_builidng_set_nomad_sheep	false
3c_all_cults		dk_building_set_all	false
3c_armenia_military		dk_building_set_all	false
3c_barb_agriculture		dk_building_set_all	false
3c_barb_agriculture_nomad		dk_building_set_all	false
3c_barb_amber		dk_building_set_all	false
3c_barb_artisan		dk_building_set_all	false
3c_barb_city		dk_building_set_all	false
3c_barb_commons		dk_building_set_all	false
3c_barb_commons_nomad		dk_building_set_all	false
3c_barb_craftsmen		dk_building_set_all	false
3c_barb_glass		dk_building_set_all	false
3c_barb_gold		dk_building_set_all	false
3c_barb_grain		dk_building_set_all	false
3c_barb_horse		dk_building_set_all	false
3c_barb_iron		dk_building_set_all	false
3c_barb_lead		dk_building_set_all	false
3c_barb_leather		dk_building_set_all	false
3c_barb_lumber		dk_building_set_all	false
3c_barb_marble		dk_building_set_all	false
3c_barb_mine		dk_building_set_all	false
3c_barb_navalbuff		dk_building_set_all	false
3c_barb_olive		dk_building_set_all	false
3c_barb_port		dk_building_set_all	false
3c_barb_purple_dye		dk_building_set_all	false
3c_barb_religious		dk_building_set_all	false
3c_barb_religious_briton		dk_building_set_all	false
3c_barb_religious_german		dk_building_set_all	false
3c_barb_religious_nomad		dk_building_set_all	false
3c_barb_resource_dummy		dk_building_set_all	false
3c_barb_silk		dk_building_set_all	false
3c_barb_town		dk_building_set_all	false
3c_barb_water		dk_building_set_all	false
3c_barb_wine		dk_building_set_all	false
3c_barbarian_cults		dk_building_set_all	false
3c_east_administration		dk_building_set_all	false
3c_east_agriculture		dk_building_set_all	false
3c_east_amber		dk_building_set_all	false
3c_east_city		dk_building_set_all	false
3c_east_city_centre		dk_building_set_all	false
3c_east_glass		dk_building_set_all	false
3c_east_gold		dk_building_set_all	false
3c_east_grain		dk_building_set_all	false
3c_east_horse		dk_building_set_all	false
3c_east_industry		dk_building_set_all	false
3c_east_iron		dk_building_set_all	false
3c_east_lead		dk_building_set_all	false
3c_east_leather		dk_building_set_all	false
3c_east_lumber		dk_building_set_all	false
3c_east_marble		dk_building_set_all	false
3c_east_military_buff		dk_building_set_all	false
3c_east_military_cav		dk_building_set_all	false
3c_east_military_siege		dk_building_set_all	false
3c_east_olive		dk_building_set_all	false
3c_east_port		dk_building_set_all	false
3c_east_purple_dye		dk_building_set_all	false
3c_east_resource_dummy		dk_building_set_all	false
3c_east_silk		dk_building_set_all	false
3c_east_town		dk_building_set_all	false
3c_east_town_centre		dk_building_set_all	false
3c_east_water		dk_building_set_all	false
3c_east_wine		dk_building_set_all	false
3c_eastern_cults		dk_building_set_all	false
3c_gallicemp_agriculture		dk_building_set_all	false
3c_gallicemp_military		dk_building_set_all	false
3c_gallicemp_religious		dk_building_set_all	false
3c_palmyra_city_major		dk_building_set_all	false
3c_palmyra_religious		dk_building_set_all	false
3c_rom_resource_dummy		dk_building_set_all	false
3c_rome_administration		dk_building_set_all	false
3c_rome_agriculture		dk_building_set_all	false
3c_rome_amber		dk_building_set_all	false
3c_rome_city_centre		dk_building_set_all	false
3c_rome_city_major		dk_building_set_all	false
3c_rome_glass		dk_building_set_all	false
3c_rome_gold		dk_building_set_all	false
3c_rome_grain		dk_building_set_all	false
3c_rome_horse		dk_building_set_all	false
3c_rome_industry		dk_building_set_all	false
3c_rome_iron		dk_building_set_all	false
3c_rome_lead		dk_building_set_all	false
3c_rome_leather		dk_building_set_all	false
3c_rome_lumber		dk_building_set_all	false
3c_rome_marble		dk_building_set_all	false
3c_rome_military		dk_building_set_all	false
3c_rome_military_aux		dk_building_set_all	false
3c_rome_military_buff		dk_building_set_all	false
3c_rome_military_siege		dk_building_set_all	false
3c_rome_navalbuff		dk_building_set_all	false
3c_rome_olive		dk_building_set_all	false
3c_rome_port		dk_building_set_all	false
3c_rome_purple_dye		dk_building_set_all	false
3c_rome_religious		dk_building_set_all	false
3c_rome_sanitation		dk_building_set_all	false
3c_rome_silk		dk_building_set_all	false
3c_rome_town		dk_building_set_all	false
3c_rome_town_centre		dk_building_set_all	false
3c_rome_wine		dk_building_set_all	false
3c_sassanid_military		dk_building_set_all	false
3c_sassanid_navalbuff		dk_building_set_all	false
3c_sassanid_religious		dk_building_set_all	false
all_mine		dk_building_set_all	false
barb_agriculture		dk_building_set_all	false
barb_agriculture_minor		dk_building_set_all	false
barb_agriculture_minor_nomad		dk_building_set_all	false
barb_agriculture_nomad		dk_building_set_all	false
barb_amber		dk_building_set_all	false
barb_artisan		dk_building_set_all	false
barb_city		dk_building_set_all	false
barb_commons		dk_building_set_all	false
barb_commons_nomad		dk_building_set_all	false
barb_craftsmen		dk_building_set_all	false
barb_glass		dk_building_set_all	false
barb_gold		dk_building_set_all	false
barb_grain		dk_building_set_all	false
barb_horse		dk_building_set_all	false
barb_iron		dk_building_set_all	false
barb_lead		dk_building_set_all	false
barb_leather		dk_building_set_all	false
barb_lumber		dk_building_set_all	false
barb_marble		dk_building_set_all	false
barb_olive		dk_building_set_all	false
barb_port		dk_building_set_all	false
barb_purple_dye		dk_building_set_all	false
barb_religious		dk_building_set_all	false
barb_religious_briton		dk_building_set_all	false
barb_religious_dacian		dk_building_set_all	false
barb_religious_gaul		dk_building_set_all	false
barb_religious_german		dk_building_set_all	false
barb_religious_iberian		dk_building_set_all	false
barb_religious_illyrian		dk_building_set_all	false
barb_religious_nomad		dk_building_set_all	false
barb_religious_thrace		dk_building_set_all	false
barb_silk		dk_building_set_all	false
barb_spice		dk_building_set_all	false
barb_town		dk_building_set_all	false
barb_water		dk_building_set_all	false
barb_wine		dk_building_set_all	false
dk_afr_city_centre		dk_building_set_all	false
dk_all_city		dk_building_set_all	false
dk_all_industry		dk_building_set_all	false
dk_all_military_cavalry		dk_building_set_all	false
dk_all_military_infantry		dk_building_set_all	false
dk_all_minor_settlement		dk_building_set_all	false
dk_ara_city_centre		dk_building_set_all	false
dk_ara_town_centre		dk_building_set_all	false
dk_gen_sanitation		dk_building_set_all	false
dk_kush_industry		dk_building_set_all	false
dk_kush_religious		dk_building_set_all	false
dk_kush_town_centre		dk_building_set_all	false
dk_military_siege		dk_building_set_all	false
dk_military_training		dk_building_set_all	false
dk_minor_amber		dk_building_set_all	false
dk_minor_glass		dk_building_set_all	false
dk_minor_gold		dk_building_set_all	false
dk_minor_grain		dk_building_set_all	false
dk_minor_horse		dk_building_set_all	false
dk_minor_iron		dk_building_set_all	false
dk_minor_lead		dk_building_set_all	false
dk_minor_leather		dk_building_set_all	false
dk_minor_lumber		dk_building_set_all	false
dk_minor_marble		dk_building_set_all	false
dk_minor_olive		dk_building_set_all	false
dk_minor_purple_dye		dk_building_set_all	false
dk_minor_silk		dk_building_set_all	false
dk_minor_spice		dk_building_set_all	false
dk_minor_wine		dk_building_set_all	false
dk_nabatea_religious		dk_building_set_all	false
dk_numidia_religious		dk_building_set_all	false
dk_saba_marib_dam		dk_building_set_all	false
dk_saba_religious		dk_building_set_all	false
east_agriculture		dk_building_set_all	false
east_amber		dk_building_set_all	false
east_city		dk_building_set_all	false
east_city_centre		dk_building_set_all	false
east_glass		dk_building_set_all	false
east_gold		dk_building_set_all	false
east_grain		dk_building_set_all	false
east_horse		dk_building_set_all	false
east_industry		dk_building_set_all	false
east_iron		dk_building_set_all	false
east_lead		dk_building_set_all	false
east_leather		dk_building_set_all	false
east_lumber		dk_building_set_all	false
east_marble		dk_building_set_all	false
east_military_buff		dk_building_set_all	false
east_military_infantry		dk_building_set_all	false
east_military_siege		dk_building_set_all	false
east_military_stables		dk_building_set_all	false
east_olive		dk_building_set_all	false
east_port		dk_building_set_all	false
east_purple_dye		dk_building_set_all	false
east_religious		dk_building_set_all	false
east_silk		dk_building_set_all	false
east_spice		dk_building_set_all	false
east_tax		dk_building_set_all	false
east_town		dk_building_set_all	false
east_town_centre		dk_building_set_all	false
east_water		dk_building_set_all	false
east_wine		dk_building_set_all	false
greek_agriculture		dk_building_set_all	false
greek_amber		dk_building_set_all	false
greek_city		dk_building_set_all	false
greek_city_centre		dk_building_set_all	false
greek_glass		dk_building_set_all	false
greek_gold		dk_building_set_all	false
greek_grain		dk_building_set_all	false
greek_horse		dk_building_set_all	false
greek_industrial		dk_building_set_all	false
greek_iron		dk_building_set_all	false
greek_lead		dk_building_set_all	false
greek_leather		dk_building_set_all	false
greek_lumber		dk_building_set_all	false
greek_marble		dk_building_set_all	false
greek_military		dk_building_set_all	false
greek_military_buff		dk_building_set_all	false
greek_military_siege		dk_building_set_all	false
greek_olive		dk_building_set_all	false
greek_port		dk_building_set_all	false
greek_purple_dye		dk_building_set_all	false
greek_religious		dk_building_set_all	false
greek_religious_egypt		dk_building_set_all	false
greek_religious_punic		dk_building_set_all	false
greek_silk		dk_building_set_all	false
greek_spice		dk_building_set_all	false
greek_town		dk_building_set_all	false
greek_town_centre		dk_building_set_all	false
greek_water		dk_building_set_all	false
greek_wine		dk_building_set_all	false
inv_all_carthago		dk_building_set_all	false
inv_car_agriculture		dk_building_set_all	false
inv_car_amber		dk_building_set_all	false
inv_car_city		dk_building_set_all	false
inv_car_city_centre		dk_building_set_all	false
inv_car_glass		dk_building_set_all	false
inv_car_gold		dk_building_set_all	false
inv_car_grain		dk_building_set_all	false
inv_car_horse		dk_building_set_all	false
inv_car_industrial		dk_building_set_all	false
inv_car_iron		dk_building_set_all	false
inv_car_lead		dk_building_set_all	false
inv_car_leather		dk_building_set_all	false
inv_car_lumber		dk_building_set_all	false
inv_car_marble		dk_building_set_all	false
inv_car_military		dk_building_set_all	false
inv_car_military_buff		dk_building_set_all	false
inv_car_military_siege		dk_building_set_all	false
inv_car_olive		dk_building_set_all	false
inv_car_port		dk_building_set_all	false
inv_car_purple_dye		dk_building_set_all	false
