key	max_instances_per_region
#building_superchains_tables;0;db/building_superchains_tables/building_superchains	
3c_resource_dummy	0
3c_rom_Agriculture	1
3c_rom_administration	1
3c_rom_cults	1
Administration	1
Agriculture	1
AgricultureBarb	1
CityCentre	1
Industry	1
MilitaryBuff	1
MilitaryMain	1
MilitarySecondary	1
MilitarySiege	1
Mine	1
NavalBuff	1
Port	1
ResourceAmber	1
ResourceDye	1
ResourceGlass	1
ResourceGold	1
ResourceGrain	1
ResourceHorse	1
ResourceIron	1
ResourceLead	1
ResourceLeather	1
ResourceLumber	1
ResourceMarble	1
ResourceMine	1
ResourceOlive	1
ResourceSalt	1
ResourceSilk	1
ResourceSpice	1
ResourceWine	1
Sanitation	1
SanitationBarb	1
SettlementMajor	1
SettlementMinor	1
SuperchainFarmTEST	3
SuperchainFinanceTEST	1
SuperchainMilitaryTEST	3
SuperchainPortTEST	1
SuperchainSlumTEST	10
Tax	1
Temple	1
TownCentre	1
dk_saba_marib_dam	0
inv_etr_main_administration	1
inv_etr_main_agriculture	1
inv_etr_main_city	1
inv_etr_main_industry	1
inv_etr_main_military	1
inv_etr_main_port	1
inv_etr_main_religion	1
inv_etr_minor_agriculture	10
inv_etr_minor_industry	1
inv_etr_minor_military	10
inv_etr_minor_religious	10
inv_resource_building_dummy	1
rom_CityLotMajor	1
rom_EconomicPrimaryMajor	1
rom_EconomicPrimaryMinor	1
rom_EconomicSecondaryMajor	1
rom_EconomicSecondaryMinor	1
rom_GENERIC_city_minor_fish	1
rom_GENERIC_city_minor_glass	1
rom_GENERIC_city_minor_gold	1
rom_GENERIC_city_minor_grain	1
rom_GENERIC_city_minor_hides	1
rom_GENERIC_city_minor_holy_site	1
rom_GENERIC_city_minor_iron	1
rom_GENERIC_city_minor_limestone	1
rom_GENERIC_city_minor_marble	1
rom_GENERIC_city_minor_military_tradition	1
rom_GENERIC_city_minor_olives	1
rom_GENERIC_city_minor_purple_dye	1
rom_GENERIC_city_minor_silk	1
rom_GENERIC_city_minor_silver	1
rom_GENERIC_city_minor_timber	1
rom_GENERIC_city_minor_township	1
rom_GENERIC_city_minor_wine	1
rom_IndustryMinor	1
rom_MilitaryAnimals	1
rom_MilitaryBuffMajor	1
rom_MilitaryEquipment	1
rom_MilitaryMainMajor	1
rom_MilitaryMainMinor	1
rom_PortMajor	0
rom_PortMinor	0
rom_Sanitation	1
rom_SettlementMajor	0
rom_SettlementMinor	0
rom_Slum	0
rom_TempleLocal	1
rom_TempleMajor	1
rom_TempleMinor	1
