from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/building_upgrades_junction	
3c_armenia_military_infantry_1	3c_armenia_military_infantry_2
3c_armenia_military_infantry_2	3c_armenia_military_infantry_3
3c_armenia_military_infantry_3	3c_armenia_military_cavalry_4
3c_armenia_military_infantry_3	3c_armenia_military_infantry_4
3c_barb_agriculture_1	3c_barb_agriculture_cattle_2
3c_barb_agriculture_1	3c_barb_agriculture_farm_2
3c_barb_agriculture_1	3c_barb_agriculture_horse_2
3c_barb_agriculture_cattle_2	3c_barb_agriculture_cattle_3
3c_barb_agriculture_cattle_3	3c_barb_agriculture_cattle_4
3c_barb_agriculture_farm_2	3c_barb_agriculture_farm_3
3c_barb_agriculture_farm_3	3c_barb_agriculture_farm_4
3c_barb_agriculture_horse_2	3c_barb_agriculture_horse_3
3c_barb_agriculture_horse_3	3c_barb_agriculture_horse_4
3c_barb_agriculture_nomad_1	3c_barb_agriculture_nomad_camp_2
3c_barb_agriculture_nomad_1	3c_barb_agriculture_nomad_herd_2
3c_barb_agriculture_nomad_1	3c_barb_agriculture_nomad_weaver_2
3c_barb_agriculture_nomad_camp_2	3c_barb_agriculture_nomad_camp_3
3c_barb_agriculture_nomad_camp_3	3c_barb_agriculture_nomad_camp_4
3c_barb_agriculture_nomad_herd_2	3c_barb_agriculture_nomad_herd_3
3c_barb_agriculture_nomad_herd_3	3c_barb_agriculture_nomad_herd_4
3c_barb_agriculture_nomad_weaver_2	3c_barb_agriculture_nomad_weaver_3
3c_barb_agriculture_nomad_weaver_3	3c_barb_agriculture_nomad_weaver_4
3c_barb_amber_1	3c_barb_amber_2
3c_barb_amber_2	3c_barb_amber_3
3c_barb_amber_3	3c_barb_amber_4
3c_barb_artisan_1	3c_barb_artisan_bronze_2
3c_barb_artisan_1	3c_barb_artisan_coin_2
3c_barb_artisan_1	3c_barb_artisan_maker_2
3c_barb_artisan_bronze_2	3c_barb_artisan_bronze_3
3c_barb_artisan_bronze_3	3c_barb_artisan_bronze_4
3c_barb_artisan_coin_2	3c_barb_artisan_coin_3
3c_barb_artisan_coin_3	3c_barb_artisan_coin_4
3c_barb_artisan_maker_2	3c_barb_artisan_maker_3
3c_barb_artisan_maker_3	3c_barb_artisan_maker_4
