building_key	economic_value	prestige_value	happiness_value	military_value	education_value	existing_buildings_apply_discount_over_limit	existing_buildings_discount_per_building	existing_buildings_maximum_discount
#cai_base_building_context_values_tables;1;db/cai_base_building_context_values_tables/cai_base_building_context_values								
rom_BARBARIAN_city_major_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_major_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_fish_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_fish_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_fish_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_fish_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_glass_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_glass_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_glass_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_glass_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_gold_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_gold_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_gold_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_gold_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_grain_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_grain_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_grain_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_grain_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_hides_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_hides_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_hides_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_hides_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_iron_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_iron_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_iron_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_iron_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_limestone_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_limestone_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_limestone_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_limestone_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_marble_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_marble_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_marble_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_marble_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_olives_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_olives_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_olives_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_olives_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_purple_dye_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_purple_dye_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_purple_dye_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_purple_dye_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
