building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/cai_construction_system_building_values																												
		3c_armenia_military_cavalry_4				cai_military_land_group					-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	2250
		3c_armenia_military_infantry_1	3c_armenia_military_infantry_3			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	1600	430	1500	400	1500	400	1650	450
		3c_armenia_military_infantry_4				cai_military_land_group					-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	2250
		3c_barb_agriculture_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	45
		3c_barb_agriculture_1				cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	35
		3c_barb_agriculture_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	60
		3c_barb_agriculture_cattle_2	3c_barb_agriculture_cattle_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	525	105
		3c_barb_agriculture_cattle_2	3c_barb_agriculture_cattle_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	700	140
		3c_barb_agriculture_farm_2	3c_barb_agriculture_farm_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	225	45
		3c_barb_agriculture_farm_2	3c_barb_agriculture_farm_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	80
		3c_barb_agriculture_horse_2	3c_barb_agriculture_horse_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	225	45
		3c_barb_agriculture_horse_2	3c_barb_agriculture_horse_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	175	35
		3c_barb_agriculture_horse_2	3c_barb_agriculture_horse_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	10000	3200	9000	3100	9000	3100	11000	3200
		3c_barb_agriculture_nomad_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	45
		3c_barb_agriculture_nomad_1				cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	35
		3c_barb_agriculture_nomad_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	60
		3c_barb_agriculture_nomad_camp_2	3c_barb_agriculture_nomad_camp_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	225	45
		3c_barb_agriculture_nomad_camp_2	3c_barb_agriculture_nomad_camp_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	80
		3c_barb_agriculture_nomad_herd_2	3c_barb_agriculture_nomad_herd_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	225	45
		3c_barb_agriculture_nomad_herd_2	3c_barb_agriculture_nomad_herd_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	175	35
