cai_construction_system_category	cai_construction_system_category_group	cai_construction_system_template	value
#cai_construction_system_templates_junctions_tables;0;db/cai_construction_system_templates_junctions_tables/cai_construction_system_templates_junctions			
	cai_economic_group	cai_construction_system_template_anarchistic_balanced	15.0000
	cai_food_group	cai_construction_system_template_anarchistic_balanced	10.0000
	cai_military_land_group	cai_construction_system_template_anarchistic_balanced	40.0000
	cai_military_sea_group	cai_construction_system_template_anarchistic_balanced	30.0000
	cai_public_order_group	cai_construction_system_template_anarchistic_balanced	10.0000
	cai_economic_group	cai_construction_system_template_anarchistic_military	10.0000
	cai_food_group	cai_construction_system_template_anarchistic_military	5.0000
	cai_military_land_group	cai_construction_system_template_anarchistic_military	45.0000
	cai_military_sea_group	cai_construction_system_template_anarchistic_military	35.0000
	cai_public_order_group	cai_construction_system_template_anarchistic_military	10.0000
	cai_economic_group	cai_construction_system_template_basic_balanced	25.0000
	cai_food_group	cai_construction_system_template_basic_balanced	10.0000
	cai_military_land_group	cai_construction_system_template_basic_balanced	35.0000
	cai_military_sea_group	cai_construction_system_template_basic_balanced	25.0000
	cai_public_order_group	cai_construction_system_template_basic_balanced	10.0000
	cai_economic_group	cai_construction_system_template_basic_economic	30.0000
	cai_food_group	cai_construction_system_template_basic_economic	10.0000
	cai_military_land_group	cai_construction_system_template_basic_economic	35.0000
	cai_military_sea_group	cai_construction_system_template_basic_economic	20.0000
	cai_public_order_group	cai_construction_system_template_basic_economic	10.0000
	cai_economic_group	cai_construction_system_template_basic_military	15.0000
	cai_food_group	cai_construction_system_template_basic_military	5.0000
	cai_military_land_group	cai_construction_system_template_basic_military	40.0000
	cai_military_sea_group	cai_construction_system_template_basic_military	35.0000
	cai_public_order_group	cai_construction_system_template_basic_military	10.0000
	cai_economic_group	cai_construction_system_template_economist_balanced	30.0000
	cai_food_group	cai_construction_system_template_economist_balanced	10.0000
	cai_military_land_group	cai_construction_system_template_economist_balanced	35.0000
	cai_military_sea_group	cai_construction_system_template_economist_balanced	20.0000
	cai_public_order_group	cai_construction_system_template_economist_balanced	10.0000
	cai_economic_group	cai_construction_system_template_economist_economic	40.0000
	cai_food_group	cai_construction_system_template_economist_economic	10.0000
	cai_military_land_group	cai_construction_system_template_economist_economic	30.0000
	cai_military_sea_group	cai_construction_system_template_economist_economic	20.0000
	cai_public_order_group	cai_construction_system_template_economist_economic	10.0000
	cai_economic_group	cai_construction_system_template_economist_military	20.0000
	cai_food_group	cai_construction_system_template_economist_military	10.0000
	cai_military_land_group	cai_construction_system_template_economist_military	35.0000
	cai_military_sea_group	cai_construction_system_template_economist_military	30.0000
	cai_public_order_group	cai_construction_system_template_economist_military	10.0000
	cai_economic_group	cai_construction_system_template_militaristic_balanced	15.0000
	cai_food_group	cai_construction_system_template_militaristic_balanced	10.0000
	cai_military_land_group	cai_construction_system_template_militaristic_balanced	30.0000
	cai_military_sea_group	cai_construction_system_template_militaristic_balanced	30.0000
	cai_public_order_group	cai_construction_system_template_militaristic_balanced	10.0000
	cai_economic_group	cai_construction_system_template_militaristic_economic	25.0000
	cai_food_group	cai_construction_system_template_militaristic_economic	10.0000
	cai_military_land_group	cai_construction_system_template_militaristic_economic	35.0000
	cai_military_sea_group	cai_construction_system_template_militaristic_economic	25.0000
	cai_public_order_group	cai_construction_system_template_militaristic_economic	10.0000
	cai_economic_group	cai_construction_system_template_militaristic_military	10.0000
	cai_food_group	cai_construction_system_template_militaristic_military	10.0000
	cai_military_land_group	cai_construction_system_template_militaristic_military	40.0000
	cai_military_sea_group	cai_construction_system_template_militaristic_military	35.0000
	cai_public_order_group	cai_construction_system_template_militaristic_military	10.0000
