first_event	second_event	max_turn_difference	value
#cai_diplomacy_complex_treacheries_tables;0;db/cai_diplomacy_complex_treacheries_tables/cai_diplomacy_complex_treacheries			
CLIENT_STATE	CLIENT_STATE_BROKEN	10	9.0000
CLIENT_STATE_BROKEN	WAR	10	9.0000
DEFENSIVE_ALLIANCE	DEFENSIVE_ALLIANCE_BROKEN	10	7.0000
DEFENSIVE_ALLIANCE_BROKEN	WAR	10	9.0000
MILITARY_ACCESS	MILITARY_ACCESS_BROKEN	10	6.0000
MILITARY_ACCESS_BROKEN	WAR	10	6.0000
MILITARY_ALLIANCE	MILITARY_ALLIANCE_BROKEN	10	7.0000
MILITARY_ALLIANCE_BROKEN	WAR	10	9.0000
NON_AGGRESSION_PACT	NON_AGGRESSION_PACT_BROKEN	10	6.0000
NON_AGGRESSION_PACT_BROKEN	WAR	10	6.0000
PEACE	WAR	10	16.0000
STATE_GIFT_ACCEPTED	WAR	10	7.0000
TRADE_AGREEMENT	TRADE_AGREEMENT_BROKEN	10	6.0000
TRADE_AGREEMENT_BROKEN	WAR	10	6.0000
VASSALAGE	VASSALAGE_BROKEN	10	9.0000
VASSALAGE_BROKEN	WAR	10	9.0000
VASSALAGE_FORCED	VASSALAGE_BROKEN	10	9.0000
WAR	PEACE	10	9.0000
