budget_allocation_key	budget_context_key	budget_policy_key	priority
#cai_personalities_budget_allocation_policy_junctions_tables;0;db/cai_personalities_budget_allocation_policy_junctions_tables/cai_personalities_budget_allocation_policy_junctions			
last_stand_diplomat	cai_strategic_context_type_last_stand	balanced_diplomatic	0
peace_diplomat	cai_strategic_context_type_peace	balanced_diplomatic	0
tension_diplomat	cai_strategic_context_type_tension	balanced_diplomatic	0
total_war_diplomat	cai_strategic_context_type_total_war	balanced_diplomatic	0
war_diplomat	cai_strategic_context_type_war	balanced_diplomatic	0
last_stand_generic_extra_research	cai_strategic_context_type_last_stand	balanced_extra_research	0
peace_generic_extra_research	cai_strategic_context_type_peace	balanced_extra_research	0
tension_generic_extra_research	cai_strategic_context_type_tension	balanced_extra_research	0
total_war_generic_extra_research	cai_strategic_context_type_total_war	balanced_extra_research	0
war_generic_extra_research	cai_strategic_context_type_war	balanced_extra_research	0
total_war_generic	cai_strategic_context_type_last_stand	builder	0
peace_generic	cai_strategic_context_type_peace	builder	0
peace_generic	cai_strategic_context_type_tension	builder	0
war_generic	cai_strategic_context_type_total_war	builder	0
tension_generic	cai_strategic_context_type_war	builder	0
last_stand_generic	cai_strategic_context_type_last_stand	default_budget_policy	5
peace_generic	cai_strategic_context_type_peace	default_budget_policy	1
tension_generic	cai_strategic_context_type_tension	default_budget_policy	2
total_war_generic	cai_strategic_context_type_total_war	default_budget_policy	4
war_generic	cai_strategic_context_type_war	default_budget_policy	3
last_stand_generic_extra_research	cai_strategic_context_type_last_stand	militaristic_extra_research	0
war_generic_extra_research	cai_strategic_context_type_peace	militaristic_extra_research	0
total_war_generic_extra_research	cai_strategic_context_type_tension	militaristic_extra_research	0
last_stand_generic_extra_research	cai_strategic_context_type_total_war	militaristic_extra_research	0
total_war_generic_extra_research	cai_strategic_context_type_war	militaristic_extra_research	0
last_stand_naval_extra_research	cai_strategic_context_type_last_stand	militaristic_naval_extra_research	0
war_naval_extra_research	cai_strategic_context_type_peace	militaristic_naval_extra_research	0
total_war_naval_extra_research	cai_strategic_context_type_tension	militaristic_naval_extra_research	0
war_naval_extra_research	cai_strategic_context_type_total_war	militaristic_naval_extra_research	0
total_war_naval_extra_research	cai_strategic_context_type_war	militaristic_naval_extra_research	0
last_stand_naval	cai_strategic_context_type_last_stand	militaristic_naval	0
war_naval	cai_strategic_context_type_peace	militaristic_naval	0
total_war_naval	cai_strategic_context_type_tension	militaristic_naval	0
last_stand_naval	cai_strategic_context_type_total_war	militaristic_naval	0
total_war_naval	cai_strategic_context_type_war	militaristic_naval	0
last_stand_generic	cai_strategic_context_type_last_stand	militaristic	0
war_generic	cai_strategic_context_type_peace	militaristic	0
total_war_generic	cai_strategic_context_type_tension	militaristic	0
last_stand_generic	cai_strategic_context_type_total_war	militaristic	0
total_war_generic	cai_strategic_context_type_war	militaristic	0
last_stand_generic	cai_strategic_context_type_last_stand	pel_naval_state_policy	3
