key	default_budget_allocation_key
#cai_personalities_budget_policies_tables;0;db/cai_personalities_budget_policies_tables/cai_personalities_budget_policies	
balanced	war_generic
balanced_diplomatic	war_diplomat
balanced_extra_research	war_generic_extra_research
builder	war_generic
default_budget_policy	war_generic
militaristic	war_generic
militaristic_extra_research	war_generic_extra_research
militaristic_naval	war_naval
militaristic_naval_extra_research	war_naval_extra_research
pel_naval_state_policy	pel_naval
