key	agent_distribution_profile_key	agent_recruitment_profile_key	budget_policy_key	character_skill_tree_manager_key	military_aggressiveness_policy	military_behaviour_policy	reliability_policy_key	religious_conversion_policy	technology_manager_key	allowed_for_random_selection	diplomatic_component	strategic_component	cultural_component	deal_evaluation_component	deal_generation_component	construction_system_policy	task_management_system_task_generation_profile	negotiation_component	income_allocation_policy	occupation_decision_component
#cai_personalities_tables;10;db/cai_personalities_tables/cai_personalities																				
3c_minor_afroarabian	cai_adp_standard	cai_arp_standard	builder	default	cai_pmap_very_low	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	inv_militaristic	false	default	default	default	trader	default	economist_construction_system_policy	default_task_generator_profile	haggler	default	default
3c_minor_afroarabian_alternative	cai_adp_standard	cai_arp_standard	builder	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	default	reckless	default	trader	default	economist_construction_system_policy	default_task_generator_profile	haggler	default	default
3c_minor_eastern	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	default	strategic_opportunist	default	opportunistic	default	default_construction_system_policy	default_task_generator_profile	haggler	default	default
3c_minor_germanic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	default	default	default	warlike	default	anarchist_construction_system_policy	default_task_generator_profile	straightforward	default	default
3c_minor_germanic_alternative	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	inv_militaristic	false	historian	reckless	default	stance_driven	default	anarchist_construction_system_policy	default_task_generator_profile	straightforward	default	default
3c_minor_nomadic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	default	default	default	warlike	default	anarchist_construction_system_policy	default_task_generator_profile	determined	default	default
3c_playable_british	cai_adp_standard	cai_arp_standard	builder	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	default	default	default	loyal	default	militarist_construction_system_policy	default_task_generator_profile	straightforward	default	default
3c_playable_celtic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	default	default	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	hot_headed	default	default
3c_playable_germanic	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	default	strategist	default	default	default	militarist_construction_system_policy	default_task_generator_profile	straightforward	default	default
3c_playable_pathian	cai_adp_standard	cai_arp_standard	militaristic	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	inv_militaristic	false	default	default	default	stance_driven	default	militarist_construction_system_policy	default_task_generator_profile	haggler	default	default
3c_playable_roman	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	inv_militaristic	false	diplomat	strategist	default	warlike	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
default	cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	true	default	gaul_default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default
gaul_minor_friendly	cai_adp_standard	cai_arp_standard	balanced_extra_research	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_very_high	cai_prcp_evasive	gaul_buffs	false	diplomat	gaul_default	default	friendly	default	default_construction_system_policy	default_task_generator_profile	balanced	default	default
gaul_minor_money_driven	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_low	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	gaul_military	false	dynamic	gaul_default	default	money_driven	default	default_construction_system_policy	default_task_generator_profile	default	default	default
gaul_minor_money_hater	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_default	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	gaul_military	false	historian	gaul_default	default	money_hater	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
gaul_minor_naval_aggressive	cai_adp_standard	cai_arp_standard	militaristic_naval_extra_research	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	gaul_military	false	default	gaul_strategic_opportunist	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
gaul_minor_naval_defensive	cai_adp_standard	cai_arp_standard	militaristic_naval_extra_research	default	cai_pmap_very_low	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	gaul_buffs	false	diplomat	gaul_default	default	default	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
gaul_minor_opportunist	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	gaul_buffs	false	historian	gaul_strategic_opportunist	default	unfriendly	default	default_construction_system_policy	default_task_generator_profile	default	default	default
gaul_minor_warlike	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	gaul_military	false	default	gaul_reckless	default	warlike	default	anarchist_construction_system_policy	default_task_generator_profile	default	default	default
gaul_playable_barbarian_extra_research	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	gaul_military	false	default	gaul_default	default	default	default	militarist_construction_system_policy	default_task_generator_profile	straightforward	default	default
gaul_playable_roman_extra_research	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_high	cai_pmbp_balanced	cai_prp_low	cai_prcp_evasive	gaul_roman	false	default	gaul_strategic_opportunist	default	stance_driven	default	militarist_construction_system_policy	default_task_generator_profile	haggler	default	default
inv_aggressive	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_high	cai_prcp_evasive	inv_militaristic	false	historian	strategist	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_aggressive_loyal	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_very_high	cai_prcp_evasive	inv_militaristic	false	historian	strategist	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_aggressive_treacherous	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_very_low	cai_prcp_evasive	inv_militaristic	false	historian	strategist	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
inv_aggressive_unreliable	cai_adp_standard	cai_arp_standard	militaristic_extra_research	default	cai_pmap_very_high	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	inv_militaristic	false	historian	strategist	default	warlike	default	militarist_construction_system_policy	default_task_generator_profile	default	default	default
