deal_component	personality_component	best_friends_value	bitter_enemies_value	friendly_value	neutral_value	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value
#cai_personality_deal_evaluation_deal_component_values_tables;3;db/cai_personality_deal_evaluation_deal_component_values_tables/cai_personality_deal_evaluation_deal_component_values														
BREAK_DEFENSIVE_ALLIANCE	default	-75.0000	25.0000	-15.0000	7.0000	20.0000	20.0000	15.0000	-45.0000	20.0000	15.0000	15.0000	15.0000	-1.0000
BREAK_MILITARY_ALLIANCE	default	-100.0000	25.0000	-15.0000	7.0000	20.0000	20.0000	15.0000	-60.0000	20.0000	15.0000	15.0000	15.0000	-1.0000
BREAK_NON_AGGRESSION_PACT	default	-50.0000	19.0000	-10.0000	0.0000	-8.0000	-10.0000	5.0000	-25.0000	15.0000	-6.0000	-5.0000	-5.0000	-1.0000
CANCEL_CLIENT_STATE	default	-75.0000	20.0000	-35.0000	-20.0000	20.0000	20.0000	0.0000	-45.0000	2.0000	15.0000	15.0000	15.0000	-1.0000
CANCEL_MILITARY_ACCESS	default	-50.0000	15.0000	-25.0000	-20.0000	-20.0000	-20.0000	-5.0000	-30.0000	10.0000	-15.0000	-15.0000	-15.0000	-1.0000
CANCEL_TRADE_AGREEMENT	default	-40.0000	25.0000	-20.0000	-5.0000	-8.0000	-10.0000	12.0000	-30.0000	20.0000	-6.0000	-5.0000	-5.0000	-1.0000
CANCEL_VASSALAGE	default	-100.0000	15.0000	-40.0000	-25.0000	20.0000	20.0000	-20.0000	-60.0000	0.0000	15.0000	15.0000	15.0000	-1.0000
DEFENSIVE_ALLIANCE	default	-14.0000	-300.0000	-24.0000	-34.0000	20.0000	25.0000	-45.0000	-19.0000	-55.0000	18.0000	15.0000	15.0000	1.0000
MILITARY_ACCESS	default	-1.0000	-100.0000	-4.0000	-10.0000	6.0000	6.0000	-20.0000	-2.0000	-40.0000	5.0000	4.0000	3.0000	1.0000
MILITARY_ALLIANCE	default	-27.0000	-500.0000	-45.0000	-54.0000	25.0000	35.0000	-65.0000	-34.0000	-200.0000	15.0000	10.0000	10.0000	1.0000
NON_AGGRESSION_PACT	default	-6.0000	-40.0000	-3.0000	-3.0000	6.0000	7.0000	-9.0000	-5.0000	-20.0000	6.0000	5.0000	4.0000	1.0000
OFFER_BREAK_DEFENSIVE_ALLIANCE	default	-75.0000	25.0000	-15.0000	7.0000	20.0000	20.0000	15.0000	-45.0000	20.0000	15.0000	15.0000	15.0000	-1.0000
OFFER_BREAK_MILITARY_ALLIANCE	default	-100.0000	25.0000	-15.0000	7.0000	20.0000	20.0000	15.0000	-60.0000	20.0000	15.0000	15.0000	15.0000	-1.0000
OFFER_BREAK_NON_AGGRESSION_PACT	default	-50.0000	19.0000	-10.0000	0.0000	-8.0000	-10.0000	10.0000	-25.0000	15.0000	-6.0000	-5.0000	-5.0000	-1.0000
OFFER_CANCEL_CLIENT_STATE	default	-75.0000	20.0000	-35.0000	-20.0000	20.0000	20.0000	0.0000	-45.0000	2.0000	15.0000	15.0000	15.0000	-1.0000
OFFER_CANCEL_MILITARY_ACCESS	default	-50.0000	15.0000	-25.0000	-20.0000	-20.0000	-20.0000	-5.0000	-30.0000	10.0000	-15.0000	-15.0000	-15.0000	-1.0000
OFFER_CANCEL_TRADE_AGREEMENT	default	-40.0000	25.0000	-20.0000	-5.0000	-8.0000	-10.0000	12.0000	-30.0000	20.0000	-6.0000	-5.0000	-5.0000	-1.0000
