component_key	generator_key	last_stand_priority	param1	param2	param3	param4	peace_priority	tension_priority	war_priority	total_war_priority	failure_timeout	min_payment_cap	max_payment_cap	max_payment_pct
#cai_personality_deal_generation_generator_priorities_tables;2;db/cai_personality_deal_generation_generator_priorities_tables/cai_personality_deal_generation_generator_priorities														
default	BREAK_TREATIES_WITH_DISLIKED_FACTIONS	10.0000	0.0000	0.0000	0.0000	0.0000	90.0000	60.0000	25.0000	35.0000	5	0	20000	20.0000
default	DECLARE_WAR_ON_FACTIONS_I_DISLIKE	20.0000	0.0000	-190.0000	0.0000	0.0000	190.0000	190.0000	110.0000	140.0000	5	0	20000	40.0000
default	DEMAND_GIFTS_FROM_WEAKER_FACTIONS	-30.0000	50.0000	-30.0000	0.0000	0.0000	-30.0000	-30.0000	-30.0000	-30.0000	5	0	20000	20.0000
default	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	60.0000	0.0000	-60.0000	0.0000	0.0000	60.0000	60.0000	60.0000	60.0000	5	0	20000	20.0000
default	FORM_CONFEDERATION	40.0000	0.0000	-20.0000	0.0000	0.0000	60.0000	60.0000	40.0000	60.0000	5	0	20000	20.0000
default	MILITARY_ACCESS	130.0000	0.0000	-200.0000	0.0000	0.0000	200.0000	160.0000	140.0000	150.0000	5	0	20000	20.0000
default	OFFER_GIFTS_TO_STRONGER_FACTIONS	25.0000	-30.0000	-25.0000	0.0000	0.0000	25.0000	25.0000	25.0000	25.0000	5	0	20000	20.0000
default	OFFER_TO_JOIN_ALLYS_WAR	20.0000	0.0000	-90.0000	0.0000	0.0000	90.0000	80.0000	60.0000	70.0000	5	0	20000	20.0000
default	OFFER_TO_JOIN_WAR_AGAINST_FACTION_I_DISLIKE	5.0000	0.0000	-60.0000	0.0000	0.0000	60.0000	60.0000	20.0000	40.0000	5	0	20000	20.0000
default	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ENEMIES	120.0000	0.0000	-120.0000	0.0000	0.0000	5.0000	20.0000	100.0000	60.0000	5	0	20000	20.0000
default	PEACE	250.0000	0.0000	-50.0000	0.0000	0.0000	60.0000	60.0000	160.0000	70.0000	5	0	20000	20.0000
default	REQUEST_ALLY_TO_JOIN_WAR	220.0000	0.0000	-220.0000	0.0000	0.0000	50.0000	90.0000	160.0000	120.0000	5	0	20000	20.0000
default	TRADE_AGREEMENT	130.0000	0.0000	-190.0000	0.0000	0.0000	190.0000	160.0000	140.0000	150.0000	5	0	20000	20.0000
default	TREATIES_WITH_ALLIES_OF_ALLIES	60.0000	0.0000	-60.0000	0.0000	0.0000	140.0000	90.0000	60.0000	60.0000	5	0	20000	20.0000
default	TREATIES_WITH_NEIGHBOURS	130.0000	0.0000	-200.0000	0.0000	0.0000	200.0000	160.0000	140.0000	150.0000	5	0	20000	20.0000
default	UPGRADE_TREATIES	120.0000	0.0000	-60.0000	0.0000	0.0000	170.0000	150.0000	130.0000	140.0000	5	0	20000	20.0000
