id	diplomatic_factor_group_active	diplomatic_factor_group_inactive
#cai_personality_diplomatic_events_tables;2;db/cai_personality_diplomatic_events_tables/cai_personality_diplomatic_events		
ALLY_REFUSED_TO_JOIN_WAR	diplomatic_factor_broken_treaties	
BATTLE_ALLY_SUPPORT_REFUSED	diplomatic_factor_war_atrocities	
BATTLE_ATTACK	diplomatic_factor_war_atrocities	
BATTLE_SUPPORT	diplomatic_factor_reinforcements	
CITY_BESIEGED	diplomatic_factor_war_atrocities	
CITY_LOOTED	diplomatic_factor_war_atrocities	
CITY_OCCUPIED	diplomatic_factor_war_atrocities	
CITY_RAZED	diplomatic_factor_war_atrocities	
CITY_SACKED	diplomatic_factor_war_atrocities	
CLIENT_STATE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
CLIENT_STATE_BROKEN	diplomatic_factor_broken_treaties	
CULTURAL_DIFFERENCES	diplomatic_factor_cultural_differences	
CULTURAL_SIMILARITIES	diplomatic_factor_cultural_similarities	
DEFENSIVE_ALLIANCE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
DEFENSIVE_ALLIANCE_BROKEN	diplomatic_factor_broken_treaties	
DEFENSIVE_ALLIANCE_PAST	diplomatic_factor_past_treaties	
DIPLOMATIC_MARRIAGE	diplomatic_factor_marriage	
DIPLOMAT_CRITICAL_FAILURE	diplomatic_factor_diplomatic_missions	
DIPLOMAT_CRITICAL_SUCCESS	diplomatic_factor_diplomatic_missions	
DIPLOMAT_FAILURE	diplomatic_factor_diplomatic_missions	
DIPLOMAT_SUCCESS	diplomatic_factor_diplomatic_missions	
DIVORCE	diplomatic_factor_divorce	
EXPANSIONISM	diplomatic_factor_expansion	
FACTION_KILLED	diplomatic_factor_war_atrocities	
FACTION_LIBERATED	diplomatic_factor_liberation	
HOSTILE_AGENT_ACTION	diplomatic_factor_agent_actions	
HOSTILE_AGENT_ACTION_TOWARDS_ALLY	diplomatic_factor_agent_actions	
JOINED_CONFEDERATION	diplomatic_factor_past_treaties	
MILITARY_ACCESS	diplomatic_factor_treaties	diplomatic_factor_past_treaties
MILITARY_ACCESS_BROKEN	diplomatic_factor_broken_treaties	
MILITARY_ACCESS_DISSOLVED	diplomatic_factor_broken_treaties	
MILITARY_ALLIANCE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
MILITARY_ALLIANCE_BROKEN	diplomatic_factor_broken_treaties	
MILITARY_ALLIANCE_PAST	diplomatic_factor_past_treaties	
NON_AGGRESSION_PACT	diplomatic_factor_treaties	diplomatic_factor_past_treaties
NON_AGGRESSION_PACT_BROKEN	diplomatic_factor_broken_treaties	
NON_AGGRESSION_PACT_PAST	diplomatic_factor_past_treaties	
PEACE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
RAIDING	diplomatic_factor_raiding	
STATE_GIFT_ACCEPTED	diplomatic_factor_gifts	
STATE_GIFT_LARGE	diplomatic_factor_gifts	
STATE_GIFT_MEDIUM	diplomatic_factor_gifts	
STATE_GIFT_REFUSED	diplomatic_factor_broken_treaties	
STATE_GIFT_SMALL	diplomatic_factor_gifts	
TRADE_AGREEMENT	diplomatic_factor_treaties	diplomatic_factor_past_treaties
TRADE_AGREEMENT_BROKEN	diplomatic_factor_broken_treaties	
TRADE_AGREEMENT_DISSOLVED	diplomatic_factor_broken_treaties	
TRADE_AGREEMENT_PAST	diplomatic_factor_past_treaties	
TRESSPASSING	diplomatic_factor_trespassing	
TROOPS_ENSLAVED	diplomatic_factor_war_atrocities	
TROOPS_EXECUTED	diplomatic_factor_war_atrocities	
TROOPS_RELEASED	diplomatic_factor_troops_released	
VASSALAGE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
VASSALAGE_BROKEN	diplomatic_factor_broken_treaties	
VASSALAGE_CANCELLED	diplomatic_factor_broken_treaties	
VASSALAGE_FORCED	diplomatic_factor_treaties	diplomatic_factor_past_treaties
WAR	diplomatic_factor_war	diplomatic_factor_past_war
WAR_PAST	diplomatic_factor_past_war	
WAR_TARGET	diplomatic_factor_war	diplomatic_factor_past_war
