id	friendly_towards_enemy_multiplier	friendly_towards_friend_multiplier	hostile_towards_enemy_multiplier	hostile_towards_friend_multiplier	max_friendly_attitude	max_hostile_attitude	unknown_faction_multiplier	max_merc_proportion	min_merc_cap	enemy_strength_modifier	enemy_threat_strength_modifier	min_retreat_ratio	min_retreat_to_settlement_ratio	strategic_balance_opportunism_factor	fortified_settlement_assault_strength_modifier	fortified_settlement_defend_strength_modifier
#cai_personality_strategic_components_tables;6;db/cai_personality_strategic_components_tables/cai_personality_strategic_components																
default	-0.6000	0.6000	0.4000	-0.6000	175.0000	-125.0000	0.3000	0.1000	0	0.9000	1.0000	0.5000	0.5000	0.4000	1.0000	3.7500
gaul_default	-0.6000	0.6000	0.4000	-0.6000	175.0000	-125.0000	0.3000	0.1000	0	0.9000	1.0000	0.5000	0.5000	0.5000	1.0000	3.7500
gaul_reckless	-0.6000	0.6000	0.4000	-0.6000	175.0000	-125.0000	0.3000	0.2500	0	0.8000	1.0000	0.5000	0.5000	0.5000	1.0000	0.5000
gaul_strategic_opportunist	-0.6000	0.6000	0.4000	-0.6000	175.0000	-125.0000	0.3000	0.1000	0	0.8500	1.0000	0.5000	0.5000	0.5000	1.0000	0.5000
reckless	-0.6000	0.6000	0.4000	-0.6000	175.0000	-125.0000	0.3000	0.2500	0	0.9000	1.0000	0.5000	0.5000	0.4000	1.0000	3.7500
resource_hoarder	-0.6000	0.6000	0.4000	-0.6000	175.0000	-125.0000	0.3000	0.0000	0	0.9000	1.0000	0.5000	0.5000	0.6500	1.0000	3.7500
self_centered	-0.4000	0.4000	0.3000	-0.4000	175.0000	-125.0000	0.3000	0.1000	0	0.9000	1.0000	0.5000	0.5000	0.6500	1.0000	3.7500
strategic_opportunist	-0.6000	0.6000	0.4000	-0.6000	175.0000	-125.0000	0.3000	0.1000	0	0.9000	1.0000	0.5000	0.5000	0.9000	1.0000	3.7500
strategist	-0.7500	0.7500	0.5500	-0.7500	175.0000	-125.0000	0.3000	0.2500	0	1.0000	1.0000	0.5000	0.5000	0.1000	1.0000	0.2500
