strategic_component	best_friends_attitude	best_friends_positive_factor	bitter_enemies_attitude	bitter_enemies_positive_factor	friendly_attitude	friendly_positive_factor	neutral_attitude	neutral_positive_factor	unfriendly_attitude	unfriendly_positive_factor	very_friendly_attitude	very_friendly_positive_factor	very_unfriendly_attitude	very_unfriendly_positive_factor	best_friends_negative_factor	very_friendly_negative_factor	friendly_negative_factor	neutral_negative_factor	unfriendly_negative_factor	very_unfriendly_negative_factor	bitter_enemies_negative_factor
#cai_personality_strategic_desired_attitudes_tables;1;db/cai_personality_strategic_desired_attitudes_tables/cai_personality_strategic_desired_attitudes																					
default	80.0000	0.3000	-110.0000	0.0000	15.0000	0.1500	0.0000	0.0400	-15.0000	0.0300	50.0000	0.2500	-50.0000	0.0100	0.4000	0.3000	0.2000	0.0400	0.0300	0.0100	0.0000
gaul_default	80.0000	0.3000	-110.0000	0.0000	15.0000	0.1500	0.0000	0.0400	-15.0000	0.0300	50.0000	0.2500	-50.0000	0.0100	0.4000	0.3000	0.2000	0.0400	0.0300	0.0100	0.0000
gaul_reckless	80.0000	0.2500	-110.0000	0.0000	15.0000	0.1000	0.0000	0.0300	-15.0000	0.0200	50.0000	0.2000	-50.0000	0.0100	0.2500	0.2000	0.1500	0.0000	0.0000	0.0000	0.0000
gaul_strategic_opportunist	80.0000	0.3500	-110.0000	0.0000	15.0000	0.2000	0.0000	0.0700	-15.0000	0.0300	50.0000	0.3000	-50.0000	0.0300	0.4500	0.3500	0.2500	0.0700	0.0300	0.0300	0.0000
reckless	80.0000	0.2500	-110.0000	0.0000	15.0000	0.1000	0.0000	0.0300	-15.0000	0.0200	50.0000	0.2000	-50.0000	0.0100	0.2500	0.2000	0.1500	0.0000	0.0000	0.0000	0.0000
resource_hoarder	80.0000	0.3000	-110.0000	0.0000	15.0000	0.1500	0.0000	0.0400	-15.0000	0.0300	50.0000	0.2500	-50.0000	0.0100	0.4000	0.3000	0.2000	0.0400	0.0300	0.0100	0.0000
self_centered	80.0000	0.3000	-110.0000	0.0000	15.0000	0.1500	0.0000	0.0400	-15.0000	0.0300	50.0000	0.2500	-50.0000	0.0100	0.4000	0.3000	0.2000	0.0400	0.0300	0.0100	0.0000
strategic_opportunist	80.0000	0.3500	-110.0000	0.0000	15.0000	0.2000	0.0000	0.0700	-15.0000	0.0300	50.0000	0.3000	-50.0000	0.0300	0.4500	0.3500	0.2500	0.0700	0.0300	0.0300	0.0000
strategist	80.0000	0.3000	-110.0000	0.0000	15.0000	0.1500	0.0000	0.0400	-15.0000	0.0300	50.0000	0.2500	-50.0000	0.0100	0.4000	0.3000	0.2000	0.0400	0.0300	0.0100	0.0000
