task_generator_group_key	task_generator_key	priority
#cai_task_management_system_task_generator_groups_generators_junctions_tables;0;db/cai_task_management_system_task_generator_groups_generators_junctions_tables/cai_task_management_system_task_generator_groups_generators_junctions		
basic_no_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_REGIONLESS_FACTION_FORCES_SHOULD_ATTACK_LOCAL_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_CAPITAL	0.2500
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_RECENTLY_CAPTURED_TERRITORY	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_THREATENED_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_AGENTS_IN_OWNED_REGIONS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_FORCES	0.1000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_SETTLEMENTS	0.1000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_AGENTS_LEVEL_SCALED	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_FORCES_SIZE_SCALED	0.5000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_HUMAN_AGENTS_LEVEL_SCALED	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_HUMAN_FORCES_SIZE_SCALED	0.5000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_LOCAL_HUMAN_SETTLEMENTS	1.0000
basic_with_regions_task_generator_group	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_OUT_CULTURE_CONVERTING_AGENTS_IN_OWNED_TERRITORY	1.0000
