key	value	description
#cai_variables_tables;0;db/cai_variables_tables/cai_variables		
CAI_VARIABLE_AGGR_RAMP_CHANCE_BASE	10.0000	(IN GAME) Base chance per round that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance)
CAI_VARIABLE_AGGR_RAMP_CHANCE_PER_ROUND	0.0000	(IN GAME) Additional per round chance that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance)
CAI_VARIABLE_AGGR_RAMP_ENABLED	0.0000	(IN GAME) Whether the aggression ramp is enable. 0=no, 1=yes
CAI_VARIABLE_AGGR_RAMP_FAME_MAX	100.0000	(IN GAME) Player fame level at which the ramp ends and the maximum level of aggression will be applied.
CAI_VARIABLE_AGGR_RAMP_FAME_MIN	20.0000	(IN GAME) Player fame level beyond which the aggression ramp will start to apply
CAI_VARIABLE_AGGR_RAMP_LEVEL_MAX	5.0000	(IN GAME) The ending level for the aggression ramp to use. 1-6. Should be equal to or greater than the minimum level selected. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH.
CAI_VARIABLE_AGGR_RAMP_LEVEL_MIN	1.0000	(IN GAME) The starting level for the aggression ramp to use. 1-6. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH.
CAI_VARIABLE_AGGR_RAMP_ROUNDS_MAX	100.0000	(IN GAME) Round at which the ramp should finish (and max level be used for aggression increases)
CAI_VARIABLE_AGGR_RAMP_ROUNDS_MIN	20.0000	(IN GAME) Round beyond which the aggression ramp will start (beginning with the minimum aggression level)
CAI_VARIABLE_BASIC_CTRL_BUILDING_CONVERSION_BONUS	20.0000	(IN GAME) Bonus applied to scoring of cultural conversion options in the construction system
CAI_VARIABLE_BASIC_CTRL_BUILDING_DEMOLITION_BONUS	20.0000	(IN GAME) Bonus applied to scoring of demolition options in the construction system
CAI_VARIABLE_CNSTR_PRIORITY_OVER_COST_MODIFICATION	0.1000	(IN GAME) When considering the importance of buildings for a specific context how much should value for money count versus raw priority (0.0, not a bit to 1.0, entirely)
CAI_VARIABLE_CONSIDER_MAJOR_OVER_REGIONS	3.0000	(IN GAME) In Gempei targetting and diplomatic adjustments the number of regions a minor faction must own before being considered major.
CAI_VARIABLE_COORDINATOR_MAJOR_FACTION_STRENGTH_BONUS	1.1000	(In game) Multiplier for strength of major factions
CAI_VARIABLE_DIPLOMACY_DISTANCE_GOAL_PRIORITY_MODIFIER	0.2500	(In game) Distance-based modifier for diplomatic goals
CAI_VARIABLE_FACTION_MANAGEMENT	1.0000	(IN GAME) Enables CAI faction controller management
CAI_VARIABLE_FACTION_MANAGEMENT_THRESHOLD	3.0000	(IN GAME) Specifies the CAI faction controller management threshold
CAI_VARIABLE_FINANCE_CONST_BIAS_EASY_LEVEL	4.0000	(IN GAME) CAI Budgeting bias, easy difficulty, levels to apply at
CAI_VARIABLE_FINANCE_CONST_BIAS_EASY_TURNS	12.0000	(IN GAME) CAI Budgeting bias,easy difficulty, rounds to apply for
CAI_VARIABLE_FINANCE_CONST_BIAS_HARD_LEVEL	2.0000	(IN GAME) CAI Budgeting bias, hard difficulty, levels to apply at
CAI_VARIABLE_FINANCE_CONST_BIAS_HARD_TURNS	3.0000	(IN GAME) CAI Budgeting bias, hard difficulty, rounds to apply for
CAI_VARIABLE_FINANCE_CONST_BIAS_LEGENDARY_LEVEL	1.0000	(IN GAME) CAI Budgeting bias, legendary difficulty, levels to apply at
CAI_VARIABLE_FINANCE_CONST_BIAS_LEGENDARY_TURNS	0.0000	(IN GAME) CAI Budgeting bias, legendary difficulty, rounds to apply for
CAI_VARIABLE_FINANCE_CONST_BIAS_NORMAL_LEVEL	2.0000	(IN GAME) CAI Budgeting bias, normal difficulty, levels to apply at
CAI_VARIABLE_FINANCE_CONST_BIAS_NORMAL_TURNS	6.0000	(IN GAME) CAI Budgeting bias, normal difficulty, rounds to apply for
