distribution_key	agent_manager_key	priority
#campaign_ai_character_skill_tree_distribution_junctions_tables;0;db/campaign_ai_character_skill_tree_distribution_junctions_tables/campaign_ai_character_skill_tree_distribution_junctions		
EVEN_HIGHEST	default	1
EVEN_LOWEST	default	1
EVEN_RANDOM	default	1
HIGHEST	default	1
LOWEST	default	1
RANDOM	default	1
EVEN_HIGHEST	general_ashigaru	1
EVEN_LOWEST	general_ashigaru	1
EVEN_RANDOM	general_ashigaru	1
HIGHEST	general_ashigaru	7
LOWEST	general_ashigaru	1
RANDOM	general_ashigaru	1
EVEN_HIGHEST	general_horseman	1
EVEN_LOWEST	general_horseman	1
EVEN_RANDOM	general_horseman	1
HIGHEST	general_horseman	7
LOWEST	general_horseman	1
RANDOM	general_horseman	1
EVEN_HIGHEST	general_ninja	1
EVEN_LOWEST	general_ninja	1
EVEN_RANDOM	general_ninja	1
HIGHEST	general_ninja	7
LOWEST	general_ninja	1
RANDOM	general_ninja	1
EVEN_HIGHEST	general_pirate	1
EVEN_LOWEST	general_pirate	1
EVEN_RANDOM	general_pirate	1
HIGHEST	general_pirate	7
LOWEST	general_pirate	1
RANDOM	general_pirate	1
EVEN_HIGHEST	general_poet	1
EVEN_LOWEST	general_poet	1
EVEN_RANDOM	general_poet	1
HIGHEST	general_poet	7
LOWEST	general_poet	1
RANDOM	general_poet	1
EVEN_HIGHEST	general_strategist	1
EVEN_LOWEST	general_strategist	1
EVEN_RANDOM	general_strategist	1
HIGHEST	general_strategist	7
LOWEST	general_strategist	1
RANDOM	general_strategist	1
EVEN_HIGHEST	general_warrior	1
EVEN_LOWEST	general_warrior	1
EVEN_RANDOM	general_warrior	7
HIGHEST	general_warrior	7
LOWEST	general_warrior	1
RANDOM	general_warrior	1
EVEN_HIGHEST	parent_army	1
EVEN_LOWEST	parent_army	1
EVEN_RANDOM	parent_army	1
HIGHEST	parent_army	1
LOWEST	parent_army	1
RANDOM	parent_army	1
