agent_manager_key	skill_key	priority
#campaign_ai_character_skill_tree_junctions_tables;0;db/campaign_ai_character_skill_tree_junctions_tables/campaign_ai_character_skill_tree_junctions		
general_ashigaru	general_admiral	10
general_ashigaru	general_ambush	10
general_ashigaru	general_ashigaru_general	70
general_ashigaru	general_cavalry_commander	10
general_ashigaru	general_diehard_fighter	10
general_ashigaru	general_field_attacker	10
general_ashigaru	general_field_defender	10
general_ashigaru	general_honourable	10
general_ashigaru	general_infantry_leader	60
general_ashigaru	general_inspirational	10
general_ashigaru	general_intimidating	10
general_ashigaru	general_legendary_warrior	10
general_ashigaru	general_living_treasure	10
general_ashigaru	general_master_horseman	30
general_ashigaru	general_master_swordsman	10
general_ashigaru	general_pirate	10
general_ashigaru	general_poet	10
general_ashigaru	general_religious	10
general_ashigaru	general_siege_attacker	60
general_ashigaru	general_siege_defender	40
general_ashigaru	general_strategist	50
general_ashigaru	general_warrior	10
general_horseman	general_admiral	10
general_horseman	general_ambush	10
general_horseman	general_ashigaru_general	10
general_horseman	general_cavalry_commander	60
general_horseman	general_diehard_fighter	60
general_horseman	general_field_attacker	70
general_horseman	general_field_defender	10
general_horseman	general_honourable	40
general_horseman	general_infantry_leader	10
general_horseman	general_inspirational	10
general_horseman	general_intimidating	50
general_horseman	general_legendary_warrior	10
general_horseman	general_living_treasure	10
general_horseman	general_master_horseman	70
general_horseman	general_master_swordsman	10
general_horseman	general_pirate	10
general_horseman	general_poet	30
general_horseman	general_religious	10
general_horseman	general_siege_attacker	10
general_horseman	general_siege_defender	10
general_horseman	general_strategist	50
general_horseman	general_warrior	50
general_ninja	general_admiral	1
general_ninja	general_ambush	100
general_ninja	general_ashigaru_general	20
general_ninja	general_cavalry_commander	20
general_ninja	general_diehard_fighter	20
general_ninja	general_field_attacker	20
general_ninja	general_field_defender	20
general_ninja	general_honourable	10
general_ninja	general_infantry_leader	20
general_ninja	general_inspirational	5
general_ninja	general_intimidating	20
general_ninja	general_legendary_warrior	20
general_ninja	general_living_treasure	5
general_ninja	general_master_horseman	20
general_ninja	general_master_swordsman	20
general_ninja	general_pirate	1
general_ninja	general_poet	10
general_ninja	general_religious	5
general_ninja	general_siege_attacker	20
general_ninja	general_siege_defender	20
general_ninja	general_strategist	20
general_ninja	general_warrior	20
general_pirate	general_admiral	60
general_pirate	general_ambush	60
general_pirate	general_ashigaru_general	10
