manager_key	path_key	priority
#campaign_ai_technology_manager_path_junctions_tables;0;db/campaign_ai_technology_manager_path_junctions_tables/campaign_ai_technology_manager_path_junctions		
balanced	pel_civics_aesthetics_entertainment_early	1000
balanced	pel_civics_aesthetics_entertainment_late	700
balanced	pel_civics_aesthetics_manufacture_last	100
balanced	pel_civics_aesthetics_slave_industry_early	1500
balanced	pel_civics_aesthetics_slave_industry_last	100
balanced	pel_civics_aesthetics_slave_industry_middle	500
balanced	pel_civics_basic	4000
balanced	pel_civics_mathematics_center_building_early	1500
balanced	pel_civics_mathematics_center_building_late	300
balanced	pel_civics_mathematics_center_building_middle	400
balanced	pel_civics_mathematics_health_buildings_early	1000
balanced	pel_civics_mathematics_health_last	50
balanced	pel_civics_mathematics_mining_religion_last	50
balanced	pel_civics_philosophy_learning_early	900
balanced	pel_civics_philosophy_learning_last	50
balanced	pel_civics_philosophy_learning_late	125
balanced	pel_civics_philosophy_tax_rate_early	3000
balanced	pel_civics_philosophy_tax_rate_last	175
balanced	pel_civics_philosophy_tax_rate_late	300
balanced	pel_mil_army_early	3500
balanced	pel_mil_army_mercenaries	800
balanced	pel_mil_army_morale	45
balanced	pel_mil_army_unit_unlock_last	150
balanced	pel_mil_army_unit_unlock_late	200
balanced	pel_mil_army_unit_unlock_middle	1500
balanced	pel_mil_basic	10000
balanced	pel_mil_navy_durability_early	900
balanced	pel_mil_navy_durability_late	75
balanced	pel_mil_navy_last	100
balanced	pel_mil_navy_ramming_early	900
balanced	pel_mil_navy_ramming_late	300
balanced	pel_mil_support_early	1000
balanced	pel_mil_support_last	40
balanced	pel_mil_support_late	100
balanced	pel_mil_support_middle	600
balanced	pel_mil_support_siege_early	3000
balanced	pel_mil_support_siege_last	50
balanced	rom_civ_basic	4000
balanced	rom_civ_construction_buff	250
balanced	rom_civ_construction_early	2000
balanced	rom_civ_construction_options	500
balanced	rom_civ_economy_food_early	1000
balanced	rom_civ_economy_food_late	250
balanced	rom_civ_economy_trade_early	2000
balanced	rom_civ_economy_trade_late	250
balanced	rom_civ_philosophy_dignitary_early	1000
balanced	rom_civ_philosophy_dignitary_late	250
balanced	rom_civ_philosophy_happiness_early	1000
balanced	rom_civ_philosophy_happiness_late	250
balanced	rom_mil_basic	10000
balanced	rom_mil_management_land_early	3000
balanced	rom_mil_management_land_late	500
balanced	rom_mil_management_naval_early	1000
balanced	rom_mil_management_naval_late	250
balanced	rom_mil_siege_defence_early	1000
balanced	rom_mil_siege_defence_late	250
balanced	rom_mil_siege_offence_early	4000
balanced	rom_mil_siege_offence_late	500
balanced	rom_mil_tactics_land_early	2000
balanced	rom_mil_tactics_land_late	250
balanced	rom_mil_tactics_naval_early	1000
balanced	rom_mil_tactics_naval_late	250
civilian	pel_civics_aesthetics_entertainment_early	1300
civilian	pel_civics_aesthetics_entertainment_late	1000
civilian	pel_civics_aesthetics_manufacture_last	250
civilian	pel_civics_aesthetics_slave_industry_early	1500
civilian	pel_civics_aesthetics_slave_industry_last	250
civilian	pel_civics_aesthetics_slave_industry_middle	700
civilian	pel_civics_basic	6000
civilian	pel_civics_mathematics_center_building_early	1500
civilian	pel_civics_mathematics_center_building_late	500
civilian	pel_civics_mathematics_center_building_middle	700
civilian	pel_civics_mathematics_health_buildings_early	1200
civilian	pel_civics_mathematics_health_last	150
civilian	pel_civics_mathematics_mining_religion_last	150
civilian	pel_civics_philosophy_learning_early	900
civilian	pel_civics_philosophy_learning_last	50
civilian	pel_civics_philosophy_learning_late	125
civilian	pel_civics_philosophy_tax_rate_early	3000
civilian	pel_civics_philosophy_tax_rate_last	250
civilian	pel_civics_philosophy_tax_rate_late	450
civilian	pel_mil_army_early	3000
civilian	pel_mil_army_mercenaries	400
civilian	pel_mil_army_morale	10
civilian	pel_mil_army_unit_unlock_last	50
civilian	pel_mil_army_unit_unlock_late	150
civilian	pel_mil_army_unit_unlock_middle	1000
civilian	pel_mil_basic	7000
civilian	pel_mil_navy_durability_early	400
civilian	pel_mil_navy_durability_late	10
civilian	pel_mil_navy_last	100
civilian	pel_mil_navy_ramming_early	600
civilian	pel_mil_navy_ramming_late	300
civilian	pel_mil_support_early	500
civilian	pel_mil_support_last	40
civilian	pel_mil_support_late	100
civilian	pel_mil_support_middle	200
civilian	pel_mil_support_siege_early	2000
civilian	pel_mil_support_siege_last	50
