id	group_id	modification_id	value
#campaign_autoresolver_mod_group_modifier_values_tables;0;db/campaign_autoresolver_mod_group_modifier_values_tables/campaign_autoresolver_mod_group_modifier_values			
100	moderate_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_pike_v_cav_mel	0.2000
110	moderate_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_pike_v_cav_shk	0.2000
112	moderate_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_spear_v_cav_mel	0.2000
114	moderate_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_spear_v_cav_shk	0.2000
124	minor_melee_kps_additive_bonus_cav	melee_kps_additive_cav_mel	0.1000
129	minor_melee_kps_additive_bonus_cav	melee_kps_additive_cav_shk	0.1000
134	minor_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_pike_v_cav_mel	0.1000
140	minor_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_pike_v_cav_shk	0.1000
150	minor_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_spear_v_cav_mel	0.1000
155	minor_melee_kps_additive_bonus_pike_spr_v_cav	melee_kps_additive_spear_v_cav_shk	0.1000
157	moderate_missile_kps_additive_bonus	missile_kps_additive_all_classes	0.2000
166	moderate_kps_additive_bonus	missile_kps_additive_all_classes	0.1500
168	moderate_kps_additive_bonus	melee_kps_additive_all_classes	0.1500
176	minor_kps_additive_bonus	missile_kps_additive_all_classes	0.0000
185	minor_kps_additive_bonus	melee_kps_additive_all_classes	0.0000
19	unit_dont_retreat	retreat_all_classes	-0.5000
190	minor_kps_multiplier_penalty	melee_kps_multi_all_classes	-0.0400
192	minor_kps_multiplier_penalty	missile_kps_multi_all_classes	-0.0400
22	minor_kps_multiplier_bonus	melee_kps_multi_all_classes	0.0200
27	minor_kps_multiplier_bonus	missile_kps_multi_all_classes	0.0200
34	ranged_class_missile_kps_multiplier_minor	cav_mis_missile_kps_multi	0.0500
43	ranged_class_missile_kps_multiplier_minor	inf_mis_missile_kps_multi	0.0500
86	moderate_missile_kps_multiplier_penalty	missile_kps_multi_all_classes	-0.2000
9	units_retreat_early	retreat_all_classes	0.2500
91	moderate_melee_kps_additive_bonus_cav	melee_kps_additive_cav_mel	0.2000
98	moderate_melee_kps_additive_bonus_cav	melee_kps_additive_cav_shk	0.2000
