id	group_id	group_target_id	situation_id
#campaign_autoresolver_situation_mod_groups_tables;0;db/campaign_autoresolver_situation_mod_groups_tables/campaign_autoresolver_situation_mod_groups			
260	minor_kps_multiplier_bonus	general_lvl_buff	generic_aggressive_stance
268	unit_dont_retreat	none	generic_aggressive_stance
277	moderate_missile_kps_multiplier_penalty	none	generic_aggressive_stance
278	minor_kps_multiplier_bonus	general_lvl_buff	generic_defensive_stance
279	units_retreat_early	none	generic_defensive_stance
286	moderate_missile_kps_additive_bonus	none	generic_defensive_stance
294	minor_kps_multiplier_bonus	general_lvl_buff	settlement_generic_land
297	minor_kps_multiplier_bonus	siege_eq_buff	settlement_generic_land
304	moderate_kps_additive_bonus	defender_target	settlement_generic_land
313	minor_kps_multiplier_bonus	general_lvl_buff	settlement_aggressive_land
316	minor_kps_multiplier_bonus	siege_eq_buff	settlement_aggressive_land
322	moderate_kps_additive_bonus	defender_target	settlement_aggressive_land
326	unit_dont_retreat	none	settlement_aggressive_land
328	moderate_missile_kps_multiplier_penalty	none	settlement_aggressive_land
330	minor_kps_multiplier_bonus	general_lvl_buff	settlement_defensive_land
337	minor_kps_multiplier_bonus	siege_eq_buff	settlement_defensive_land
338	moderate_kps_additive_bonus	defender_target	settlement_defensive_land
341	units_retreat_early	none	settlement_defensive_land
348	moderate_missile_kps_additive_bonus	none	settlement_defensive_land
358	minor_kps_multiplier_bonus	general_lvl_buff	settlement_generic_naval
368	minor_kps_multiplier_bonus	siege_eq_buff	settlement_generic_naval
373	moderate_kps_additive_bonus	defender_target	settlement_generic_naval
376	minor_kps_multiplier_bonus	general_lvl_buff	settlement_aggressive_naval
380	minor_kps_multiplier_bonus	siege_eq_buff	settlement_aggressive_naval
388	moderate_kps_additive_bonus	defender_target	settlement_aggressive_naval
393	unit_dont_retreat	none	settlement_aggressive_naval
396	moderate_missile_kps_multiplier_penalty	none	settlement_aggressive_naval
397	minor_kps_multiplier_bonus	general_lvl_buff	settlement_aggressive_naval
400	minor_kps_multiplier_bonus	siege_eq_buff	settlement_defensive_naval
406	moderate_kps_additive_bonus	defender_target	settlement_defensive_naval
416	units_retreat_early	none	settlement_defensive_naval
422	moderate_missile_kps_additive_bonus	none	settlement_defensive_naval
423	minor_kps_multiplier_bonus	general_lvl_buff	minor_settlement_generic_land
433	minor_kps_additive_bonus	defender_target	minor_settlement_generic_land
438	minor_kps_multiplier_bonus	general_lvl_buff	minor_settlement_aggressive_land
440	minor_kps_additive_bonus	defender_target	minor_settlement_aggressive_land
442	unit_dont_retreat	none	minor_settlement_aggressive_land
449	moderate_missile_kps_multiplier_penalty	none	minor_settlement_aggressive_land
451	minor_kps_multiplier_bonus	general_lvl_buff	minor_settlement_defensive_land
457	minor_kps_additive_bonus	defender_target	minor_settlement_defensive_land
459	units_retreat_early	none	minor_settlement_defensive_land
460	moderate_missile_kps_additive_bonus	none	minor_settlement_defensive_land
461	minor_kps_multiplier_bonus	general_lvl_buff	minor_settlement_generic_naval
467	minor_kps_additive_bonus	defender_target	minor_settlement_generic_naval
475	minor_kps_multiplier_bonus	general_lvl_buff	minor_settlement_aggressive_naval
478	minor_kps_additive_bonus	defender_target	minor_settlement_aggressive_naval
483	unit_dont_retreat	none	minor_settlement_aggressive_naval
489	moderate_missile_kps_multiplier_penalty	none	minor_settlement_aggressive_naval
492	minor_kps_multiplier_bonus	general_lvl_buff	minor_settlement_defensive_naval
496	minor_kps_additive_bonus	defender_target	minor_settlement_defensive_naval
500	units_retreat_early	none	minor_settlement_defensive_naval
503	moderate_missile_kps_additive_bonus	none	minor_settlement_defensive_naval
512	minor_kps_multiplier_bonus	general_lvl_buff	ambush_generic
518	unit_dont_retreat	defender_target	ambush_generic
522	moderate_kps_additive_bonus	attacker_target	ambush_generic
524	minor_kps_multiplier_bonus	general_lvl_buff	ambush_aggressive
529	unit_dont_retreat	defender_target	ambush_aggressive
539	moderate_kps_additive_bonus	attacker_target	ambush_aggressive
542	unit_dont_retreat	none	ambush_aggressive
545	moderate_missile_kps_multiplier_penalty	none	ambush_aggressive
552	minor_kps_multiplier_bonus	general_lvl_buff	ambush_defensive
558	unit_dont_retreat	defender_target	ambush_defensive
568	moderate_kps_additive_bonus	attacker_target	ambush_defensive
577	units_retreat_early	none	ambush_defensive
587	moderate_missile_kps_additive_bonus	none	ambush_defensive
595	minor_kps_multiplier_bonus	general_lvl_buff	bridge_generic
605	moderate_kps_additive_bonus	defender_target	bridge_generic
607	minor_kps_multiplier_bonus	general_lvl_buff	bridge_aggressive
616	moderate_kps_additive_bonus	defender_target	bridge_aggressive
626	unit_dont_retreat	none	bridge_aggressive
634	moderate_missile_kps_multiplier_penalty	none	bridge_aggressive
636	minor_kps_multiplier_bonus	general_lvl_buff	bridge_defensive
638	moderate_kps_additive_bonus	defender_target	bridge_defensive
642	units_retreat_early	none	bridge_defensive
652	moderate_missile_kps_additive_bonus	none	bridge_defensive
655	minor_kps_multiplier_bonus	general_lvl_buff	generic_battle
662	moderate_melee_kps_additive_bonus_cav	human_vs_ai	generic_aggressive_stance
663	moderate_melee_kps_additive_bonus_pike_spr_v_cav	ai_vs_human	generic_aggressive_stance
667	moderate_melee_kps_additive_bonus_pike_spr_v_cav	human_vs_ai	generic_defensive_stance
684	moderate_melee_kps_additive_bonus_cav	ai_vs_human	generic_defensive_stance
687	minor_melee_kps_additive_bonus_cav	human_vs_ai	settlement_aggressive_land
693	minor_melee_kps_additive_bonus_pike_spr_v_cav	ai_vs_human	settlement_aggressive_land
699	minor_melee_kps_additive_bonus_pike_spr_v_cav	human_vs_ai	settlement_defensive_land
703	minor_melee_kps_additive_bonus_cav	ai_vs_human	settlement_defensive_land
707	minor_melee_kps_additive_bonus_cav	human_vs_ai	settlement_aggressive_naval
709	minor_melee_kps_additive_bonus_pike_spr_v_cav	ai_vs_human	settlement_aggressive_naval
712	minor_melee_kps_additive_bonus_pike_spr_v_cav	human_vs_ai	settlement_defensive_naval
722	minor_melee_kps_additive_bonus_cav	ai_vs_human	settlement_defensive_naval
724	moderate_melee_kps_additive_bonus_cav	human_vs_ai	minor_settlement_aggressive_land
729	moderate_melee_kps_additive_bonus_pike_spr_v_cav	ai_vs_human	minor_settlement_aggressive_land
738	moderate_melee_kps_additive_bonus_pike_spr_v_cav	human_vs_ai	minor_settlement_defensive_land
741	moderate_melee_kps_additive_bonus_cav	ai_vs_human	minor_settlement_defensive_land
744	moderate_melee_kps_additive_bonus_cav	human_vs_ai	minor_settlement_aggressive_naval
747	moderate_melee_kps_additive_bonus_pike_spr_v_cav	ai_vs_human	minor_settlement_aggressive_naval
752	moderate_melee_kps_additive_bonus_pike_spr_v_cav	human_vs_ai	minor_settlement_defensive_naval
760	moderate_melee_kps_additive_bonus_cav	ai_vs_human	minor_settlement_defensive_naval
763	moderate_melee_kps_additive_bonus_cav	human_vs_ai	ambush_aggressive
768	moderate_melee_kps_additive_bonus_pike_spr_v_cav	ai_vs_human	ambush_aggressive
778	moderate_melee_kps_additive_bonus_pike_spr_v_cav	human_vs_ai	ambush_defensive
785	moderate_melee_kps_additive_bonus_cav	ai_vs_human	ambush_defensive
791	moderate_melee_kps_additive_bonus_cav	human_vs_ai	bridge_aggressive
794	moderate_melee_kps_additive_bonus_pike_spr_v_cav	ai_vs_human	bridge_aggressive
796	moderate_melee_kps_additive_bonus_pike_spr_v_cav	human_vs_ai	bridge_defensive
804	moderate_melee_kps_additive_bonus_cav	ai_vs_human	bridge_defensive
818	minor_kps_multiplier_penalty	human_vs_ai	ambush_aggressive
819	minor_kps_multiplier_penalty	human_vs_ai	ambush_defensive
824	minor_kps_multiplier_penalty	human_vs_ai	ambush_generic
825	minor_kps_multiplier_penalty	human_vs_ai	bridge_aggressive
833	minor_kps_multiplier_penalty	human_vs_ai	bridge_defensive
841	minor_kps_multiplier_penalty	human_vs_ai	bridge_generic
847	minor_kps_multiplier_penalty	human_vs_ai	generic_aggressive_stance
856	minor_kps_multiplier_penalty	human_vs_ai	generic_battle
860	minor_kps_multiplier_penalty	human_vs_ai	generic_defensive_stance
867	minor_kps_multiplier_penalty	human_vs_ai	minor_settlement_aggressive_land
870	minor_kps_multiplier_penalty	human_vs_ai	minor_settlement_aggressive_naval
879	minor_kps_multiplier_penalty	human_vs_ai	minor_settlement_defensive_land
884	minor_kps_multiplier_penalty	human_vs_ai	minor_settlement_defensive_naval
890	minor_kps_multiplier_penalty	human_vs_ai	minor_settlement_generic_land
900	minor_kps_multiplier_penalty	human_vs_ai	minor_settlement_generic_naval
910	minor_kps_multiplier_penalty	human_vs_ai	settlement_aggressive_land
916	minor_kps_multiplier_penalty	human_vs_ai	settlement_aggressive_naval
917	minor_kps_multiplier_penalty	human_vs_ai	settlement_defensive_land
923	minor_kps_multiplier_penalty	human_vs_ai	settlement_defensive_naval
924	minor_kps_multiplier_penalty	human_vs_ai	settlement_generic_land
933	minor_kps_multiplier_penalty	human_vs_ai	settlement_generic_naval
