key	battle_type	coord_x	coord_y	tile_upgrade	is_unique_settlement	campaign_map
#campaign_battle_presets_tables;4;db/campaign_battle_presets_tables/campaign_battle_presets						
amaseia	land_normal	0.6140	0.4890		false	1564135515
ambush_1	land_ambush	0.4160	0.4360		false	1564135515
ambush_2	land_ambush	0.2730	0.2540		false	1564135515
ambush_3	land_ambush	0.2040	0.4220		false	1564135515
ambush_4	land_ambush	0.2470	0.6300		false	1564135515
ambush_5	land_ambush	0.4470	0.4740		false	1564135515
antheia	land_normal	0.5170	0.4810		false	1564135515
ariminium	land_normal	0.3130	0.4470		false	1564135515
baktra	land_normal	0.9500	0.5870		false	1564135515
bam_citadel	land_normal	0.8590	0.6880		false	1564135515
barbarian_city_a	settlement_standard	0.1230	0.1160		false	1564135515
barbarian_city_b	settlement_standard	0.5130	0.2290		false	1564135515
barbarian_city_c	settlement_standard	0.2730	0.3850		false	1564135515
barbarian_city_d	settlement_standard	0.2780	0.2150		false	1564135515
barbarian_city_e	settlement_standard	0.5770	0.5170		false	1564135515
barbarian_minor_city_a	settlement_unfortified	0.1360	0.1590		false	1564135515
barbarian_minor_city_b	settlement_unfortified	0.1570	0.3600		false	1564135515
barbarian_minor_city_c	settlement_unfortified	0.3780	0.3760		false	1564135515
barbarian_minor_port_a	unfortified_port	0.4090	0.1300		false	1564135515
barbarian_minor_port_b	unfortified_port	0.0980	0.2190		false	1564135515
barbarian_port_a	settlement_standard	0.1470	0.3990		false	1564135515
barbarian_port_a_assault	port_assault	0.1470	0.3990		false	1564135515
barbarian_port_b	settlement_standard	0.1690	0.2160		false	1564135515
barbarian_port_b_assault	port_assault	0.1690	0.2160		false	1564135515
battle_of_nile	coastal_battle	0.5450	0.7430		false	1564135515
bukhara	land_normal	0.9190	0.4810		false	1564135515
charax	land_normal	0.7580	0.6730		false	1564135515
coastal_1	coastal_battle	0.3320	0.5950		false	1564135515
coastal_2	coastal_battle	0.3090	0.4880		false	1564135515
coastal_3	coastal_battle	0.3600	0.4240		false	1564135515
coastal_4	coastal_battle	0.1260	0.6080		false	1564135515
colossus_of_rhodes	unfortified_port	0.5160	0.5900		false	1564135515
dimmidi	land_normal	0.1920	0.6670		false	1564135515
dolmens_of_carnac	land_normal	0.1150	0.3230		false	1564135515
eblana	land_normal	0.0790	0.1340		false	1564135515
egyptian_alexandria	settlement_standard	0.5270	0.7120		true	1564135515
egyptian_alexandria_port_assault	port_assault	0.5270	0.7120		false	1564135515
egyptian_city_a	settlement_standard	0.5900	0.9210		false	1564135515
egyptian_city_b	settlement_standard	0.3160	0.7700		false	1564135515
egyptian_city_c	settlement_standard	0.6130	0.7220		false	1564135515
egyptian_minor_city_b	settlement_unfortified	0.5330	0.7460		false	1564135515
egyptian_minor_port_a	unfortified_port	0.5800	0.7740		false	1564135515
egyptian_minor_port_c	unfortified_port	0.6010	0.6440		false	1564135515
egyptian_port_a	settlement_standard	0.4180	0.6910		false	1564135515
egyptian_port_a_assault	port_assault	0.4180	0.6910		false	1564135515
gadeira	land_normal	0.1090	0.6100		false	1564135515
gaul_barbarian_city_a	settlement_standard	0.5430	0.2130		false	1564135533
gaul_barbarian_city_b	settlement_standard	0.6580	0.2050		false	1564135533
gaul_barbarian_city_c	settlement_standard	0.9180	0.2970		false	1564135533
gaul_barbarian_city_d	settlement_standard	0.7590	0.2640		false	1564135533
gaul_barbarian_city_e	settlement_standard	0.4910	0.4190		false	1564135533
gaul_barbarian_minor_city_a	settlement_unfortified	0.6110	0.2830		false	1564135533
gaul_barbarian_minor_city_b	settlement_unfortified	0.4250	0.1430		false	1564135533
gaul_barbarian_minor_city_c	settlement_unfortified	0.3160	0.1350		false	1564135533
gaul_barbarian_minor_port_a	settlement_unfortified	0.4930	0.1660		false	1564135533
gaul_barbarian_minor_port_a_assault	unfortified_port	0.4930	0.1660		false	1564135533
gaul_barbarian_minor_port_b	settlement_unfortified	0.3270	0.2890		false	1564135533
gaul_barbarian_minor_port_b_assault	unfortified_port	0.3270	0.2890		false	1564135533
gaul_barbarian_port_a	settlement_standard	0.2910	0.4760		false	1564135533
gaul_barbarian_port_a_assault	port_assault	0.2910	0.4760		false	1564135533
gaul_barbarian_port_b	settlement_standard	0.2140	0.2010		false	1564135533
gaul_barbarian_port_b_assault	port_assault	0.2140	0.2010		false	1564135533
