battle_context_key	ground_type_key
#campaign_bonus_value_battle_context_ground_type_junctions_tables;0;db/campaign_bonus_value_battle_context_ground_type_junctions_tables/campaign_bonus_value_battle_context_ground_type_junctions	
fighting_force_status_yours_ambushing_ground_type_desert	desert
fighting_force_status_yours_ambushing_ground_type_forest	dense_forest
fighting_force_status_yours_ambushing_ground_type_forest	hilly_light_forest
fighting_force_status_yours_ambushing_ground_type_forest	light_forest
fighting_ground_type_desert	desert
fighting_ground_type_forest	dense_forest
fighting_ground_type_forest	hilly_light_forest
fighting_ground_type_forest	light_forest
fighting_ground_type_hills_and_mountains	hills
fighting_ground_type_hills_and_mountains	hilly_light_forest
fighting_ground_type_hills_and_mountains	mountain
fighting_in_forests	dense_forest
fighting_in_forests	light_forest
fighting_on_hills	hills
fighting_on_hills	hilly_light_forest
fighting_on_plains	grassland
fighting_on_plains	plains
