key	night_battles_only
#campaign_bonus_value_battle_context_specifiers_tables;1;db/campaign_bonus_value_battle_context_specifiers_tables/campaign_bonus_value_battle_context_specifiers	
fighting_culture_barbarians	false
fighting_culture_celtic	false
fighting_culture_eastern	false
fighting_culture_etruscans	false
fighting_culture_gauls	false
fighting_culture_greeks	false
fighting_culture_hellenic	false
fighting_culture_illyrian_pirates	false
fighting_culture_italians	false
fighting_culture_nuragic	false
fighting_culture_roman	false
fighting_faction_carthage	false
fighting_faction_egypt	false
fighting_faction_greeks_successors	false
fighting_force_non_barbarian	false
fighting_force_status_theirs_besieging	false
fighting_force_status_theirs_blockading	false
fighting_force_status_theirs_raiding_army	false
fighting_force_status_theirs_raiding_fleet	false
fighting_force_status_theirs_rebels	false
fighting_force_status_yours_ambushing	false
fighting_force_status_yours_ambushing_ground_type_desert	false
fighting_force_status_yours_ambushing_ground_type_forest	false
fighting_force_status_yours_attacking	false
fighting_force_status_yours_attacking_at_sea	false
fighting_force_status_yours_attacking_battle_type_break_out	false
fighting_force_status_yours_attacking_battle_type_sally_out	false
fighting_force_status_yours_besieging	false
fighting_force_status_yours_blockading	false
fighting_force_status_yours_defending	false
fighting_force_status_yours_defending_at_sea	false
fighting_force_status_yours_escorting	false
fighting_force_status_yours_night	true
fighting_force_status_yours_night_ground_type_desert	true
fighting_force_status_yours_night_ground_type_forest	true
fighting_ground_type_desert	false
fighting_ground_type_forest	false
fighting_ground_type_hills_and_mountains	false
fighting_in_forests	false
fighting_marines_on_land	false
fighting_on_hills	false
fighting_on_plains	false
fighting_territory_enemy	false
fighting_territory_enemy_or_neutral	false
fighting_territory_enemy_or_neutral_army	false
fighting_territory_enemy_or_neutral_navy	false
fighting_territory_neutral_navy	false
fighting_territory_own_only	false
fighting_territory_own_or_allied	false
fighting_territory_own_or_allied_army	false
fighting_territory_own_or_allied_navy	false
