campaign	group
#campaign_character_art_sets_group_junctions_tables;0;db/campaign_character_art_sets_group_junctions_tables/campaign_character_art_sets_group_junctions	
main_emperor	all_but_greek
main_gaul	all_but_greek
main_invasion	all_but_greek
main_punic	all_but_greek
main_rome	all_but_greek
prologue_01	all_but_greek
prologue_02	all_but_greek
prologue_03	all_but_greek
main_3c	all_but_main
main_emperor	all_but_main
main_gaul	all_but_main
main_punic	all_but_main
prologue_01	all_but_main
prologue_02	all_but_main
prologue_03	all_but_main
main_3c	all
main_emperor	all
main_gaul	all
main_greek	all
main_invasion	all
main_punic	all
main_rome	all
prologue_01	all
prologue_02	all
prologue_03	all
main_emperor	arabian
main_rome	arabian
main_emperor	dacian
main_rome	dacian
main_emperor	emp_only
main_gaul	gaul_only
main_emperor	germanic
main_gaul	germanic
main_rome	germanic
main_greek	greek_only
main_emperor	greeks
main_gaul	greeks
main_punic	greeks
main_rome	greeks
prologue_01	greeks
prologue_02	greeks
prologue_03	greeks
main_3c	main_3c_only
main_emperor	main_emp_gaul
main_gaul	main_emp_gaul
main_rome	main_emp_gaul
main_emperor	main_emp_greek
main_greek	main_emp_greek
main_punic	main_emp_greek
main_rome	main_emp_greek
main_emperor	main_emp_punic
main_punic	main_emp_punic
main_rome	main_emp_punic
main_emperor	main_emperor
main_rome	main_emperor
main_invasion	main_invasion
main_rome	main_only
main_punic	main_punic
main_rome	main_punic
prologue_01	prologue_only
prologue_02	prologue_only
prologue_03	prologue_only
main_punic	punic_only
