art_set_id	level	age	season	portrait	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation
#campaign_character_arts_tables;5;db/campaign_character_arts_tables/campaign_character_arts												
3c_Afr_General_01_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_01	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_01_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_01	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_01_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_01	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_01_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_01	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_01_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_01	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_02_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_02	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_02_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_02	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_02_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_02	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_02_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_02	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_02_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_02	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_03_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_03	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_03_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_03	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_03_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_03	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_03_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_03	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_03_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_03	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_04_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_04	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_04_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_04	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_04_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_04	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_04_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_04	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_04_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_04	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_05_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_05	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_05_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_05	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_05_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_05	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_05_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_05	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_05_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_05	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_06_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_06	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_06_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_06	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_06_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_06	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_06_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_06	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_06_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_06	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_07_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_07	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_07_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_07	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_07_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_07	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_07_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_07	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_07_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_07	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_08_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_08	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_08_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_08	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_08_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_08	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_08_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_08	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_08_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_08	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_09_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_09	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_09_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_09	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_09_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_09	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_09_mauri	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_09	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_09_meroe	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_09	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_10_afrebels	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_10	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_10_axum	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_10	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
3c_Afr_General_10_blemmyes	0	0	none	UI\Portraits\portrait_PH.png	3c_Afr_General_10	UI\Portraits\portrait_PH.png	UI\Portraits\portrait_PH.png	campaign_ship_civ_army	campaign_ship_civ_fleet	general	ship_general	ship_navy
