agent_record	attribute_level	attribute_record	culture_record	effect_record	effect_scope	faction_record	subculture_record	campaign_record	effect_value
#campaign_character_attribute_effects_tables;1;db/campaign_character_attribute_effects_tables/campaign_character_attribute_effects									
champion	10	authority		rom_agent_action_cost_mod	this_agent				-14.0000
champion	11	authority		rom_agent_action_cost_mod	this_agent				-16.0000
champion	12	authority		rom_agent_action_cost_mod	this_agent				-18.0000
champion	13	authority		rom_agent_action_cost_mod	this_agent				-20.0000
champion	14	authority		rom_agent_action_cost_mod	this_agent				-22.0000
champion	15	authority		rom_agent_action_cost_mod	this_agent				-24.0000
champion	16	authority		rom_agent_action_cost_mod	this_agent				-26.0000
champion	17	authority		rom_agent_action_cost_mod	this_agent				-28.0000
champion	18	authority		rom_agent_action_cost_mod	this_agent				-30.0000
champion	19	authority		rom_agent_action_cost_mod	this_agent				-32.0000
champion	1	authority		rom_agent_action_cost_mod	this_agent				10.0000
champion	20	authority		rom_agent_action_cost_mod	this_agent				-34.0000
champion	2	authority		rom_agent_action_cost_mod	this_agent				5.0000
champion	4	authority		rom_agent_action_cost_mod	this_agent				-2.0000
champion	5	authority		rom_agent_action_cost_mod	this_agent				-4.0000
champion	6	authority		rom_agent_action_cost_mod	this_agent				-6.0000
champion	7	authority		rom_agent_action_cost_mod	this_agent				-8.0000
champion	8	authority		rom_agent_action_cost_mod	this_agent				-10.0000
champion	9	authority		rom_agent_action_cost_mod	this_agent				-12.0000
champion	10	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				14.0000
champion	11	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				16.0000
champion	12	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				18.0000
champion	13	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				20.0000
champion	14	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				22.0000
champion	15	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				24.0000
champion	16	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				26.0000
champion	17	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				28.0000
champion	18	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				30.0000
champion	19	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				32.0000
champion	1	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				-20.0000
champion	20	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				34.0000
champion	2	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				-10.0000
champion	4	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				2.0000
champion	5	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				4.0000
champion	6	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				6.0000
champion	7	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				8.0000
champion	8	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				10.0000
champion	9	subterfuge		rom_agent_field_line_of_sight_mod	this_agent				12.0000
champion	10	zeal		rom_agent_defence_wound_chance_mod	this_agent				14.0000
champion	11	zeal		rom_agent_defence_wound_chance_mod	this_agent				16.0000
champion	12	zeal		rom_agent_defence_wound_chance_mod	this_agent				18.0000
champion	13	zeal		rom_agent_defence_wound_chance_mod	this_agent				20.0000
champion	14	zeal		rom_agent_defence_wound_chance_mod	this_agent				22.0000
champion	15	zeal		rom_agent_defence_wound_chance_mod	this_agent				24.0000
champion	16	zeal		rom_agent_defence_wound_chance_mod	this_agent				26.0000
champion	17	zeal		rom_agent_defence_wound_chance_mod	this_agent				28.0000
champion	18	zeal		rom_agent_defence_wound_chance_mod	this_agent				30.0000
champion	19	zeal		rom_agent_defence_wound_chance_mod	this_agent				32.0000
champion	1	zeal		rom_agent_defence_wound_chance_mod	this_agent				-20.0000
champion	20	zeal		rom_agent_defence_wound_chance_mod	this_agent				34.0000
champion	2	zeal		rom_agent_defence_wound_chance_mod	this_agent				-10.0000
champion	4	zeal		rom_agent_defence_wound_chance_mod	this_agent				2.0000
champion	5	zeal		rom_agent_defence_wound_chance_mod	this_agent				4.0000
champion	6	zeal		rom_agent_defence_wound_chance_mod	this_agent				6.0000
champion	7	zeal		rom_agent_defence_wound_chance_mod	this_agent				8.0000
champion	8	zeal		rom_agent_defence_wound_chance_mod	this_agent				10.0000
champion	9	zeal		rom_agent_defence_wound_chance_mod	this_agent				12.0000
dignitary	10	authority		rom_agent_action_cost_mod	this_agent				-14.0000
dignitary	11	authority		rom_agent_action_cost_mod	this_agent				-16.0000
dignitary	12	authority		rom_agent_action_cost_mod	this_agent				-18.0000
dignitary	13	authority		rom_agent_action_cost_mod	this_agent				-20.0000
dignitary	14	authority		rom_agent_action_cost_mod	this_agent				-22.0000
dignitary	15	authority		rom_agent_action_cost_mod	this_agent				-24.0000
dignitary	16	authority		rom_agent_action_cost_mod	this_agent				-26.0000
dignitary	17	authority		rom_agent_action_cost_mod	this_agent				-28.0000
dignitary	18	authority		rom_agent_action_cost_mod	this_agent				-30.0000
dignitary	19	authority		rom_agent_action_cost_mod	this_agent				-32.0000
