key	location	order	ownership	source	target
#campaign_effect_scopes_tables;0;db/campaign_effect_scopes_tables/campaign_effect_scopes					
3c_event_character	character	0	yours	faction	character
all_agents	factionwide	0	yours	faction	character
all_characters_in_this_region	regionwide	0	any	region	character
all_enemy_forces	regionwide	0	enemy	force	force
all_enemy_forces_in_this_province	provincewide	0	enemy	character	force
all_generals_enemy_force	forcewide	0	enemy	faction	force
all_your_generals	factionwide	0	yours	faction	character
building_adjacent_provinces	neighbour_faction_province	0	yours	building	province
building_to_forces_adjacent_province	neighbour_faction_province	0	yours	building	force
building_to_sea_region	sea_regionwide	0	yours	building	sea_region
enemy_characters_in_this_region	regionwide	0	enemy	faction	character
in_all_your_armies	factionwide	0	yours	faction	army
in_all_your_armies_in_this_province	provincewide	0	yours	faction	army
in_all_your_forces	factionwide	0	yours	faction	force
in_all_your_navies	factionwide	0	yours	faction	navy
in_all_your_provinces	factionwide	0	yours	faction	province
in_all_your_provinces_unseen	factionwide	0	yours	faction	province
in_all_your_regions	factionwide	0	yours	faction	region
in_all_your_regions_in_adjacent_provinces	neighbour_faction_province	0	yours	building	region
in_all_your_regions_unseen	factionwide	0	yours	faction	region
in_all_your_sea_regions	factionwide	0	yours	faction	sea_region
only_agents	factionwide	0	yours	faction	character
regions_in_this_province	provincewide	0	yours	province	region
regions_in_this_province_any	provincewide	0	any	province	region
regions_in_this_province_enemy	provincewide	0	enemy	province	region
regions_in_this_province_neutral	provincewide	0	neutral	province	region
regions_in_this_province_seen	provincewide	0	yours	province	region
this_agent	character	0	yours	character	character
this_agent_action	character	0	yours	character	character
this_agent_action_passive	character	0	yours	character	character
this_agent_authority	character	0	yours	character	character
this_agent_cunning	character	0	yours	character	character
this_agent_parent_army	forcewide	0	yours	character	force
this_agent_parent_general	forcewide	0	yours	character	character_when_commanding_army
this_agent_zeal	character	0	yours	character	character
this_army	forcewide	0	yours	army	army
this_building	buildingwide	0	yours	faction	building
this_buildings_province_to_adjacent_sea_regions	provincewide	0	yours	building	sea_region
this_character_all_provinces	factionwide	0	yours	character	province
this_character_allied_forces	factionwide	0	yours	character	force
this_character_enemy_forces	regionwide	0	enemy	character	force
this_character_faction	factionwide	0	yours	character	faction
this_character_local_province	provincewide	0	yours	character	province
this_character_local_province_edict	provincewide	0	yours	character	province
this_character_local_region	regionwide	0	yours	character	region
this_character_local_region_province	provincewide	0	yours	character	region
this_character_local_region_pseudo_province	regionwide	0	yours	character	region
this_character_neighbour_provinces	neighbour_faction_province	0	yours	character	province
this_character_neighbour_provinces_enemy	neighbour_faction_province	0	enemy	character	province
this_character_neutral_forces	regionwide	0	neutral	character	force
this_faction	factionwide	0	yours	faction	faction
this_force	forcewide	0	yours	force	force
this_force_enemy_force	forcewide	0	enemy	force	force
this_force_enemy_force_regionwide	regionwide	0	enemy	force	force
this_force_general	forcewide	0	yours	force	character
this_force_local_enemy_province	provincewide	0	enemy	force	province
this_force_local_province	provincewide	0	yours	force	province
this_force_local_province_any	provincewide	0	any	force	province
this_force_local_region_any	regionwide	0	any	force	region
this_force_local_region_province	provincewide	0	yours	force	region
this_general	character	0	yours	character	character
this_general_army	forcewide_when_commanding	0	yours	character	army
this_general_conquered_region	regionwide	0	yours	character	region
this_general_enemy_force	forcewide	0	enemy	character	force
this_general_enemy_force_regionwide	regionwide	0	enemy	character	force
this_general_fleet	forcewide_when_commanding	0	yours	character	navy
this_general_force	forcewide_when_commanding	0	yours	character	force
this_general_local_province	provincewide	0	yours	character	province
this_general_when_at_sea	character	0	yours	character	character_when_commanding_navy
this_general_when_on_land	character	0	yours	character	character_when_commanding_army
this_navy	forcewide	0	yours	navy	navy
this_navy_local_sea_region	sea_regionwide	0	yours	navy	sea_region
this_province	provincewide	0	yours	faction	province
this_province_all_forces_any_faction	provincewide	0	any	province	army
this_province_any	provincewide	0	any	faction	province
this_province_enemy	provincewide	0	enemy	faction	province
this_province_faction	factionwide	0	yours	province	faction
this_province_faction_all_armies	factionwide	0	yours	province	army
this_province_faction_all_fleets	factionwide	0	yours	province	navy
this_province_faction_all_forces	factionwide	0	yours	province	force
this_province_faction_all_generals_armies	factionwide	0	yours	province	character_when_commanding_army
this_province_faction_all_generals_fleets	factionwide	0	yours	province	character_when_commanding_navy
this_province_faction_all_generals_forces	factionwide	0	yours	province	character_when_commanding
this_province_faction_all_provinces	factionwide	0	yours	province	province
this_province_faction_all_regions	factionwide	0	yours	province	region
this_province_faction_all_sea_regions	factionwide	0	yours	province	sea_region
this_province_neutral	provincewide	0	neutral	faction	province
this_province_to_adjacent_sea_regions	sea_regionwide	0	yours	province	sea_region
this_region	regionwide	0	yours	faction	region
this_region_all_local_forces	regionwide	0	any	region	force
this_region_enemy_forces	regionwide	0	enemy	region	force
this_region_faction	factionwide	0	yours	region	faction
this_region_faction_enemy	factionwide	0	enemy	region	faction
this_region_neutral_forces	regionwide	0	neutral	region	force
this_region_province	provincewide	0	yours	region	province
this_region_province_edict	provincewide	0	yours	region	province
this_region_regions_in_this_province	provincewide	0	yours	region	region
this_region_to_sea_region	sea_regionwide	0	yours	faction	sea_region
units_in_this_characters_force	forcewide	0	yours	faction	character
units_under_this_characters_command	forcewide_when_commanding	0	yours	faction	force
your_characters_in_this_province	provincewide	0	yours	province	character
your_characters_in_this_region	regionwide	0	yours	region	character
your_forces_in_this_region	regionwide	0	yours	region	force
