attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/campaign_map_attrition_faction_immunities	
desert	3c_axum
desert	3c_blemmyes
desert	3c_egypt
desert	3c_garamantia
desert	3c_gerrhea
desert	3c_himyar
desert	3c_lakhmids
desert	3c_ma_in
desert	3c_mascat
desert	3c_mauretania
desert	3c_mauri
desert	3c_meroe
desert	3c_nabatea
desert	3c_nasamones
desert	3c_numidia
desert	3c_palmyra
desert	3c_palmyra_civil_war
desert	3c_palmyra_secession
desert	3c_saba
desert	3c_sakastan
desert	emp_axum
desert	emp_blemmyes
desert	emp_characene
desert	emp_drangiana
desert	emp_egypt
desert	emp_gaetuli
desert	emp_garamantia
desert	emp_gerrhea
desert	emp_ma_in
desert	emp_mascat
desert	emp_mauri
desert	emp_meroe
desert	emp_nabatea
desert	emp_nasamones
desert	emp_numidia
desert	emp_palmyra
desert	emp_parthia
desert	emp_persia
desert	emp_qidri
desert	emp_saba
desert	rom_axum
desert	rom_blemmyes
desert	rom_carthage
desert	rom_carthage_civil_war
desert	rom_cyrenaica
desert	rom_gaetuli
desert	rom_garamantia
desert	rom_gerrhaea
desert	rom_himyar
desert	rom_kush
desert	rom_kush_civil_war
desert	rom_kush_secession
desert	rom_libya
desert	rom_ma_in
desert	rom_masaesyli
desert	rom_masaesyli_civil_war
desert	rom_masaesyli_secession
desert	rom_mascat
desert	rom_meroe
desert	rom_nabatea
desert	rom_nabatea_civil_war
desert	rom_nabatea_secession
desert	rom_nasamones
desert	rom_nova_carthago
desert	rom_ptolemaics
desert	rom_ptolemaics_civil_war
desert	rom_qidri
desert	rom_saba
desert	rom_saba_civil_war
desert	rom_saba_secession
mountain	emp_helvetii
mountain	emp_nori
mountain	emp_raeti
mountain	rom_helvetii
mountain	rom_nori
mountain	rom_raeti
regionless	inv_inc_helvetii
regionless	inv_inc_hirpini
regionless	inv_inc_histri
regionless	inv_inc_massylii
regionless	inv_inc_nurrensi
regionless	inv_inc_sikelians
regionless	inv_pirate_illyrian
snow	3c_alani
snow	3c_alani_civil_war
snow	3c_alani_secession
snow	3c_alemanni
snow	3c_burgundii
snow	3c_buri
snow	3c_caledoni
snow	3c_caledoni_civil_war
snow	3c_caledoni_secession
snow	3c_ebdani
snow	3c_franci
snow	3c_gothi
snow	3c_gothi_civil_war
snow	3c_gothi_secession
snow	3c_heruli
snow	3c_iastae
snow	3c_langobardi
snow	3c_marcomanni
snow	3c_marcomanni_civil_war
snow	3c_marcomanni_secession
snow	3c_nahanarvali
snow	3c_quadi
snow	3c_rugii
snow	3c_saxoni
snow	3c_saxoni_civil_war
snow	3c_saxoni_secession
snow	3c_semnones
snow	3c_vandali
snow	3c_varini
snow	emp_alani
snow	emp_aorsoi
snow	emp_arii
snow	emp_belgae
snow	emp_brigantes
snow	emp_buri
snow	emp_caledones
snow	emp_cherusci
snow	emp_cimbri
snow	emp_demetae
snow	emp_ebdani
snow	emp_frisii
snow	emp_gutones
snow	emp_helisii
snow	emp_helveconae
snow	emp_iastae
snow	emp_marcomanni
snow	emp_nahanarvali
snow	emp_quadi
snow	emp_roxolani
snow	emp_rugii
snow	emp_semnones
snow	emp_vindelici
snow	rom_aestii
snow	rom_boii
snow	rom_boii_civil_war
snow	rom_brigantes
snow	rom_budini
snow	rom_caledones
snow	rom_catiaroi
snow	rom_cherusci
snow	rom_cimbri
snow	rom_demetae
snow	rom_dumnonii
snow	rom_ebdani
snow	rom_frisii
snow	rom_gutones
snow	rom_helvetii
snow	rom_iceni
snow	rom_iceni_civil_war
snow	rom_lugii
snow	rom_marcomanni
snow	rom_nervii
snow	rom_nervii_civil_war
snow	rom_nori
snow	rom_raeti
snow	rom_roxolani
snow	rom_rugii
snow	rom_scythia
snow	rom_suebi
snow	rom_thyssagetae
