attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/campaign_map_attrition_unit_immunities	
desert	3c_Mer_African_Elephants
desert	3c_Mer_Arabian_Spearmen
desert	3c_Mer_Egyptian_Archers
desert	3c_Mer_Egyptian_Infantry
desert	3c_Mer_Egyptian_Pikemen
desert	3c_Mer_Numidian_Cavalry
desert	3c_Mer_Numidian_Infantry
desert	3c_Mer_Numidian_Javelinmen
desert	3c_Mer_Persian_Archers
desert	3c_Mer_Persian_Cataphracts
desert	3c_Mer_Persian_Cavalry
desert	3c_Mer_Persian_Light_Infantry
desert	3c_Mer_Sabean_Archers
desert	3c_Mer_Sabean_Cavalry
desert	3c_Mer_Sabean_Javelinmen
desert	3c_Mer_Sabean_Spearmen
desert	3c_Mer_Syrian_Archers
desert	3c_Mer_Syrian_Armoured_Elephants
desert	Mer_Afr_Archers
desert	Mer_Afr_Cav
desert	Mer_Afr_Elephants
desert	Mer_Afr_Spear
desert	Mer_Ara_Camel_Archers
desert	Mer_Ara_Camel_Spear
desert	Mer_Ara_Cav
desert	Mer_Ara_Spear
desert	Mer_Egy_Archers
desert	Mer_Egy_Inf
desert	Mer_Num_Cav
desert	Mer_Num_Javelinmen
desert	Mer_Per_Archers
desert	Mer_Per_Cav
mountain	Mer_Cel_Axe_Warriors
mountain	Mer_Cel_Light_Horse
mountain	Mer_Cel_Skirm
mountain	Mer_Cel_Warriors
snow	3c_Mer_Armoured_Germanic_Swordsmen
snow	3c_Mer_Celtic_Horsemen
snow	3c_Mer_Germanic_Band
snow	3c_Mer_Germanic_Hunters
snow	3c_Mer_Germanic_Mounted_Warband
snow	3c_Mer_Highland_Archers
snow	3c_Mer_Sarmatian_Horse_Archers
snow	3c_Mer_Sarmatian_Light_Cavalry
snow	3c_Mer_Steppe_Cavalry
snow	Mer_Bri_Scout_Riders
snow	Mer_Bri_Slingers
snow	Mer_Bri_Spear_Band
snow	Mer_Ger_Longbow_Hunters
snow	Mer_Ger_Scout_Riders
snow	Mer_Ger_Spear_Brothers
snow	Mer_Sar_Armour_Lancers
snow	Mer_Sar_Horse_Archers
snow	Mer_Sar_Lancers
snow	Mer_Scy_Armour_Horse_Archers
snow	Mer_Scy_Horse_Archers
