key	damage	type	message_event_association
#campaign_map_attritions_tables;2;db/campaign_map_attritions_tables/campaign_map_attritions			
besieged	rom_attrition_besieged	besieged	attrition_besieged
besieging	rom_attrition_sieging	besieging	attrition_besieging
blockaded	rom_attrition_light	blockaded	attrition_blockaded
blockading	rom_attrition_light	blockading	attrition_blockading
deap_sea	rom_attrition_heavy	terrain_sea	attrition_high_seas
desert	rom_attrition_medium	terrain_land	attrition_desert
desertion	rom_attrition_desertion	desertion	campmap_bankrupt_desertion
discipline	rom_attrition_discipline	discipline	attrition_discipline
disease	rom_attrition_disease	disease	attrition_disease
faction_heavy_attrition_3	rom_attrition_faction_heavy	faction_territory	
faction_light_attrition_1	rom_attrition_faction_light	faction_territory	
faction_medium_attrition_2	rom_attrition_faction_medium	faction_territory	
mountain	rom_attrition_medium	terrain_land	attrition_mountain
regionless	rom_attrition_desertion	regionless	campmap_bankrupt_desertion
sabotage	rom_attrition_heavy	army_sabotage	
snow	rom_attrition_heavy	terrain_land	attrition_winter
swamp	rom_attrition_light	terrain_land	attrition_swamp
