select_context	over_context	tooltip_line	advice_line	main_line
#campaign_map_tooltips_tables;2;db/campaign_map_tooltips_tables/campaign_map_tooltips				
agent	contested_sea_region	rome2_tltip_right_clk_move	rome2_tltip_contested_sea_region_self	rome2_tltip_main_contested_sea_region
agent	enemy_agent	rome2_tltip_right_clk_act_against_character_left_clk_select_inspection		
agent	enemy_army	rome2_tltip_right_clk_act_against_army_left_clk_select_inspection		rome2_tltip_main_enemy_general
agent	enemy_major_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_province_capital
agent	enemy_major_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_enemy_province_capital
agent	enemy_major_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_province_capital
agent	enemy_major_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_province_capital
agent	enemy_minor_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_minor_settlement
agent	enemy_minor_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_enemy_minor_settlement
agent	enemy_minor_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_minor_settlement
agent	enemy_minor_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_minor_settlement
agent	enemy_region	rome2_tltip_right_clk_move		rome2_tltip_main_province
agent	hostile_sea_region	rome2_tltip_right_clk_move	rome2_tltip_hostile_sea_region_self	rome2_tltip_main_hostile_sea_region
agent	non_player_agent	rome2_tltip_right_clk_act_against_character_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	
agent	non_player_army	rome2_tltip_right_clk_act_against_army_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_general
agent	non_player_major_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_province_capital
agent	non_player_major_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_non_player_province_capital
agent	non_player_major_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_province_capital
agent	non_player_major_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_province_capital
agent	non_player_minor_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_minor_settlement
agent	non_player_minor_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_non_player_minor_settlement
agent	non_player_minor_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_minor_settlement
agent	non_player_minor_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_minor_settlement
agent	non_player_region	rome2_tltip_right_clk_move		rome2_tltip_main_province
agent	non_player_region_allied	rome2_tltip_right_clk_move		rome2_tltip_main_province
agent	non_player_region_without_access	rome2_tltip_right_clk_move	rome2_tltip_warning_no_access	rome2_tltip_main_province
agent	own_sea_region	rome2_tltip_right_clk_move		rome2_tltip_main_own_sea_region
agent	player_army	rome2_tltip_right_clk_embed_agent_left_clk_select		rome2_tltip_main_player_general
agent	player_army_containing_agent	rome2_tltip_player_army_cannot_embed_agent_accompanied		rome2_tltip_main_player_general
agent	player_major_settlement_land_besieged	rome2_tltip_left_clk_select	rome2_tltip_warning_agent_cannot_act_own_settlement	rome2_tltip_main_player_province_capital
