faction_key	mp_coop_group
#campaign_mp_coop_groups_to_factions_tables;0;db/campaign_mp_coop_groups_to_factions_tables/campaign_mp_coop_groups_to_factions	
3c_alani	main_3c_coop
3c_armenia	main_3c_coop
3c_caledoni	main_3c_coop
3c_gallicemp	main_3c_coop
3c_gothi	main_3c_coop
3c_marcomanni	main_3c_coop
3c_palmyra	main_3c_coop
3c_rome	main_3c_coop
3c_sassanid	main_3c_coop
3c_saxoni	main_3c_coop
emp_antony	main_emperor_coop
emp_armenia	main_emperor_coop
emp_dacia	main_emperor_coop
emp_egypt	main_emperor_coop
emp_iceni	main_emperor_coop
emp_lepidus	main_emperor_coop
emp_marcomanni	main_emperor_coop
emp_octavian	main_emperor_coop
emp_parthia	main_emperor_coop
emp_pompey	main_emperor_coop
gaul_arverni	main_gaul_coop
gaul_nervii	main_gaul_coop
inv_insubres	main_inv_coop
inv_iolei	main_inv_coop
inv_rome	main_inv_coop
inv_samnites	main_inv_coop
inv_senones	main_inv_coop
inv_syracuse	main_inv_coop
inv_taranto	main_inv_coop
inv_tarchuna	main_inv_coop
inv_veneti	main_inv_coop
pel_athenai	main_greek_coop
pel_boiotia	main_greek_coop
pel_korinthos	main_greek_coop
pel_sparta	main_greek_coop
pun_arevaci	main_punic_coop
pun_carthage	main_punic_coop
pun_lusitani	main_punic_coop
pun_rome	main_punic_coop
pun_syracuse	main_punic_coop
rom_ardiaei	main_rome_coop
rom_arevaci	main_rome_coop
rom_armenia	main_rome_coop
rom_arverni	main_rome_coop
rom_athens	main_rome_coop
rom_baktria	main_rome_coop
rom_boii	main_rome_coop
rom_carthage	main_rome_coop
rom_cimmeria	main_rome_coop
rom_colchis	main_rome_coop
rom_epirus	main_rome_coop
rom_galatia	main_rome_coop
rom_getae	main_rome_coop
rom_iceni	main_rome_coop
rom_kush	main_rome_coop
rom_lusitani	main_rome_coop
rom_macedon	main_rome_coop
rom_masaesyli	main_rome_coop
rom_massagetae	main_rome_coop
rom_massilia	main_rome_coop
rom_nabatea	main_rome_coop
rom_nervii	main_rome_coop
rom_odryssia	main_rome_coop
rom_parthia	main_rome_coop
rom_pergamon	main_rome_coop
rom_pontus	main_rome_coop
rom_ptolemaics	main_rome_coop
rom_rome	main_rome_coop
rom_roxolani	main_rome_coop
rom_saba	main_rome_coop
rom_scythia	main_rome_coop
rom_seleucid	main_rome_coop
rom_sparta	main_rome_coop
rom_suebi	main_rome_coop
rom_syracuse	main_rome_coop
rom_tylis	main_rome_coop
