culture	populace_happiness	effect_bundle
#campaign_public_order_populace_effects_tables;0;db/campaign_public_order_populace_effects_tables/campaign_public_order_populace_effects		
rom_Barbarian	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	rom_public_order_barbarian_5_content
rom_Eastern	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	rom_public_order_eastern_5_content
rom_Hellenistic	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	rom_public_order_hellenistic_5_content
rom_Roman	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	rom_public_order_roman_5_content
rom_Barbarian	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	rom_public_order_barbarian_6_happy
rom_Eastern	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	rom_public_order_eastern_6_happy
rom_Hellenistic	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	rom_public_order_hellenistic_6_happy
rom_Roman	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	rom_public_order_roman_6_happy
rom_Barbarian	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	rom_public_order_barbarian_4_indifferent
rom_Eastern	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	rom_public_order_eastern_4_indifferent
rom_Hellenistic	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	rom_public_order_hellenistic_4_indifferent
rom_Roman	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	rom_public_order_roman_4_indifferent
rom_Barbarian	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	rom_public_order_barbarian_7_jubilant
rom_Eastern	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	rom_public_order_eastern_7_jubilant
rom_Hellenistic	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	rom_public_order_hellenistic_7_jubilant
rom_Roman	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	rom_public_order_roman_7_jubilant
rom_Barbarian	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	rom_public_order_barbarian_1_outraged
rom_Eastern	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	rom_public_order_eastern_1_outraged
rom_Hellenistic	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	rom_public_order_hellenistic_1_outraged
rom_Roman	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	rom_public_order_roman_1_outraged
rom_Barbarian	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	rom_public_order_barbarian_3_troubled
rom_Eastern	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	rom_public_order_eastern_3_troubled
rom_Hellenistic	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	rom_public_order_hellenistic_3_troubled
rom_Roman	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	rom_public_order_roman_3_troubled
rom_Barbarian	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	rom_public_order_barbarian_2_unhappy
rom_Eastern	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	rom_public_order_eastern_2_unhappy
rom_Hellenistic	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	rom_public_order_hellenistic_2_unhappy
rom_Roman	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	rom_public_order_roman_2_unhappy
